Participant,Difficulty,Technique,Time,Perceived_Efficiency
P01,Level1,A,0.2,efficient
P01,Level1,B,0.17,somewhat efficient
P01,Level1,C,0.14,neutral
P01,Level2,A,0.45,efficient
P01,Level2,B,0.5,efficient
P01,Level2,C,0.27,neutral
P01,Level3,A,0.64,efficient
P01,Level3,B,0.63,efficient
P01,Level3,C,0.83,somewhat efficient
P01,Level4,A,0.75,efficient
P01,Level4,B,1.35,neutral
P01,Level4,C,1.25,somewhat efficient
P02,Level1,A,0.71,efficient
P02,Level1,B,0.47,efficient
P02,Level1,C,0.59,efficient
P02,Level2,A,1.82,efficient
P02,Level2,B,0.87,efficient
P02,Level2,C,1.29,efficient
P02,Level3,A,1.35,efficient
P02,Level3,B,4.44,efficient
P02,Level3,C,1.92,efficient
P02,Level4,A,3.22,efficient
P02,Level4,B,9.62,efficient
P02,Level4,C,5.33,efficient
P03,Level1,A,0.55,efficient
P03,Level1,B,0.21,efficient
P03,Level1,C,0.43,efficient
P03,Level2,A,0.88,efficient
P03,Level2,B,1.07,efficient
P03,Level2,C,1.36,efficient
P03,Level3,A,0.85,efficient
P03,Level3,B,0.66,efficient
P03,Level3,C,2.19,efficient
P03,Level4,A,3.21,efficient
P03,Level4,B,3.44,efficient
P03,Level4,C,2.07,efficient
P04,Level1,A,0.54,efficient
P04,Level1,B,0.41,efficient
P04,Level1,C,0.52,neutral
P04,Level2,A,1.02,somewhat efficient
P04,Level2,B,0.61,efficient
P04,Level2,C,0.8,efficient
P04,Level3,A,2.19,neutral
P04,Level3,B,1.75,efficient
P04,Level3,C,2.36,efficient
P04,Level4,A,9.82,efficient
P04,Level4,B,4.32,efficient
P04,Level4,C,3.58,efficient
P05,Level1,A,0.79,efficient
P05,Level1,B,0.78,efficient
P05,Level1,C,0.45,neutral
P05,Level2,A,2.41,efficient
P05,Level2,B,0.99,efficient
P05,Level2,C,1.8,efficient
P05,Level3,A,2.7,efficient
P05,Level3,B,2.85,efficient
P05,Level3,C,2.25,efficient
P05,Level4,A,3.13,efficient
P05,Level4,B,5.38,somewhat efficient
P05,Level4,C,6.24,efficient
P06,Level1,A,0.64,efficient
P06,Level1,B,0.23,efficient
P06,Level1,C,0.34,efficient
P06,Level2,A,0.9,efficient
P06,Level2,B,0.93,efficient
P06,Level2,C,0.45,efficient
P06,Level3,A,1.32,efficient
P06,Level3,B,1.34,efficient
P06,Level3,C,1.8,efficient
P06,Level4,A,5.47,efficient
P06,Level4,B,4.64,efficient
P06,Level4,C,2.5,efficient
P07,Level1,A,0.17,efficient
P07,Level1,B,0.17,efficient
P07,Level1,C,0.16,efficient
P07,Level2,A,0.24,efficient
P07,Level2,B,0.3,neutral
P07,Level2,C,0.27,efficient
P07,Level3,A,0.72,inefficient
P07,Level3,B,1.3,efficient
P07,Level3,C,0.36,efficient
P07,Level4,A,1.06,neutral
P07,Level4,B,1.01,efficient
P07,Level4,C,0.55,efficient
P08,Level1,A,0.36,efficient
P08,Level1,B,0.38,efficient
P08,Level1,C,0.22,efficient
P08,Level2,A,0.69,efficient
P08,Level2,B,1.02,efficient
P08,Level2,C,0.89,neutral
P08,Level3,A,0.99,efficient
P08,Level3,B,1.75,efficient
P08,Level3,C,1.15,efficient
P08,Level4,A,3.87,efficient
P08,Level4,B,4.63,efficient
P08,Level4,C,4.89,efficient
P09,Level1,A,0.33,efficient
P09,Level1,B,0.24,efficient
P09,Level1,C,0.21,efficient
P09,Level2,A,0.39,efficient
P09,Level2,B,1.01,efficient
P09,Level2,C,0.42,efficient
P09,Level3,A,0.79,efficient
P09,Level3,B,1.17,efficient
P09,Level3,C,1.86,efficient
P09,Level4,A,3.47,neutral
P09,Level4,B,2.86,efficient
P09,Level4,C,1.21,efficient
P10,Level1,A,0.18,efficient
P10,Level1,B,0.24,efficient
P10,Level1,C,0.59,neutral
P10,Level2,A,0.27,efficient
P10,Level2,B,0.77,neutral
P10,Level2,C,0.61,efficient
P10,Level3,A,1.57,efficient
P10,Level3,B,0.9,efficient
P10,Level3,C,1.43,somewhat efficient
P10,Level4,A,4.73,efficient
P10,Level4,B,3.71,efficient
P10,Level4,C,1.13,efficient
P11,Level1,A,0.15,somewhat efficient
P11,Level1,B,0.57,somewhat efficient
P11,Level1,C,0.38,somewhat inefficient
P11,Level2,A,1.43,neutral
P11,Level2,B,0.39,efficient
P11,Level2,C,0.79,efficient
P11,Level3,A,1.9,efficient
P11,Level3,B,2.14,neutral
P11,Level3,C,0.89,somewhat inefficient
P11,Level4,A,3.92,neutral
P11,Level4,B,7.19,somewhat efficient
P11,Level4,C,3.62,inefficient
P12,Level1,A,0.23,efficient
P12,Level1,B,0.41,efficient
P12,Level1,C,0.56,efficient
P12,Level2,A,1.09,efficient
P12,Level2,B,1.06,efficient
P12,Level2,C,0.98,efficient
P12,Level3,A,1.7,efficient
P12,Level3,B,1.39,efficient
P12,Level3,C,1.42,efficient
P12,Level4,A,3.09,efficient
P12,Level4,B,6.24,efficient
P12,Level4,C,1.14,efficient
