n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,PAR,0.05,0,0,0.5,0.0538,0.05,0.128
20,4x3,norm,RNK,0.05,0,0,0.5,0.0536,0.0476,0.1212
20,4x3,norm,ART,0.05,0,0,0.5,0.0528,0.0466,0.1236
20,4x3,norm,INT,0.05,0,0,0.5,0.0508,0.0512,0.128
20,4x3,norm,PAR,0.01,0,0,0.5,0.0098,0.0096,0.0368
20,4x3,norm,RNK,0.01,0,0,0.5,0.0086,0.0102,0.0386
20,4x3,norm,ART,0.01,0,0,0.5,0.0086,0.0098,0.0372
20,4x3,norm,INT,0.01,0,0,0.5,0.0082,0.009,0.0368
20,4x3,norm,PAR,0.05,0,0,1,0.0484,0.0472,0.4454
20,4x3,norm,RNK,0.05,0,0,1,0.0512,0.046,0.4246
20,4x3,norm,ART,0.05,0,0,1,0.051,0.0448,0.4228
20,4x3,norm,INT,0.05,0,0,1,0.0494,0.0454,0.4426
20,4x3,norm,PAR,0.01,0,0,1,0.0098,0.008,0.2306
20,4x3,norm,RNK,0.01,0,0,1,0.0102,0.0092,0.2098
20,4x3,norm,ART,0.01,0,0,1,0.0102,0.0078,0.2082
20,4x3,norm,INT,0.01,0,0,1,0.0108,0.0092,0.2296
20,4x3,norm,PAR,0.05,0,0,1.5,0.0478,0.0474,0.8344
20,4x3,norm,RNK,0.05,0,0,1.5,0.051,0.0474,0.8138
20,4x3,norm,ART,0.05,0,0,1.5,0.0488,0.0458,0.8154
20,4x3,norm,INT,0.05,0,0,1.5,0.0458,0.0456,0.8346
20,4x3,norm,PAR,0.01,0,0,1.5,0.0102,0.0108,0.6504
20,4x3,norm,RNK,0.01,0,0,1.5,0.0108,0.011,0.6146
20,4x3,norm,ART,0.01,0,0,1.5,0.011,0.0118,0.6122
20,4x3,norm,INT,0.01,0,0,1.5,0.0104,0.0106,0.6468
20,4x3,norm,PAR,0.05,0,0,2,0.053,0.0482,0.981
20,4x3,norm,RNK,0.05,0,0,2,0.0498,0.0486,0.9746
20,4x3,norm,ART,0.05,0,0,2,0.054,0.0472,0.9742
20,4x3,norm,INT,0.05,0,0,2,0.0514,0.0484,0.9806
20,4x3,norm,PAR,0.01,0,0,2,0.0124,0.0086,0.9306
20,4x3,norm,RNK,0.01,0,0,2,0.0108,0.0088,0.9134
20,4x3,norm,ART,0.01,0,0,2,0.011,0.0096,0.9144
20,4x3,norm,INT,0.01,0,0,2,0.0116,0.0084,0.9312
