n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,PAR,0.05,0.6,0,0,0.8732,0.0408,0.0548
20,4x3,norm,RNK,0.05,0.6,0,0,0.8536,0.0404,0.0506
20,4x3,norm,ATS,0.05,0.6,0,0,0.8386,0.0508,0.0426
20,4x3,norm,INT,0.05,0.6,0,0,0.8696,0.0418,0.0538
20,4x3,norm,PAR,0.01,0.6,0,0,0.7068,0.0052,0.0116
20,4x3,norm,RNK,0.01,0.6,0,0,0.6734,0.0058,0.011
20,4x3,norm,ATS,0.01,0.6,0,0,0.6476,0.011,0.0088
20,4x3,norm,INT,0.01,0.6,0,0,0.6986,0.0058,0.0104
20,4x3,norm,PAR,0.05,0.6,1,0,0.866,1,0.0486
20,4x3,norm,RNK,0.05,0.6,1,0,0.8422,1,0.049
20,4x3,norm,ATS,0.05,0.6,1,0,0.822,1,0.0368
20,4x3,norm,INT,0.05,0.6,1,0,0.861,1,0.0472
20,4x3,norm,PAR,0.01,0.6,1,0,0.6948,1,0.0084
20,4x3,norm,RNK,0.01,0.6,1,0,0.662,0.9996,0.0104
20,4x3,norm,ATS,0.01,0.6,1,0,0.634,0.9994,0.005
20,4x3,norm,INT,0.01,0.6,1,0,0.692,1,0.0086
20,4x3,norm,PAR,0.05,0.6,2,0,0.8766,1,0.0532
20,4x3,norm,RNK,0.05,0.6,2,0,0.8502,1,0.0612
20,4x3,norm,ATS,0.05,0.6,2,0,0.8326,1,0.048
20,4x3,norm,INT,0.05,0.6,2,0,0.8702,1,0.0522
20,4x3,norm,PAR,0.01,0.6,2,0,0.707,1,0.0122
20,4x3,norm,RNK,0.01,0.6,2,0,0.6592,1,0.0136
20,4x3,norm,ATS,0.01,0.6,2,0,0.6398,1,0.0102
20,4x3,norm,INT,0.01,0.6,2,0,0.6992,1,0.0124
20,4x3,norm,PAR,0.05,0.6,4,0,0.8708,1,0.0478
20,4x3,norm,RNK,0.05,0.6,4,0,0.8342,1,0.0686
20,4x3,norm,ATS,0.05,0.6,4,0,0.8224,1,0.0572
20,4x3,norm,INT,0.05,0.6,4,0,0.848,1,0.055
20,4x3,norm,PAR,0.01,0.6,4,0,0.7006,1,0.0106
20,4x3,norm,RNK,0.01,0.6,4,0,0.6504,1,0.0178
20,4x3,norm,ATS,0.01,0.6,4,0,0.62,1,0.0108
20,4x3,norm,INT,0.01,0.6,4,0,0.6624,1,0.0118
20,4x3,norm,PAR,0.05,0.6,8,0,0.8664,1,0.0474
20,4x3,norm,RNK,0.05,0.6,8,0,0.8354,1,0.0648
20,4x3,norm,ATS,0.05,0.6,8,0,0.8166,1,0.052
20,4x3,norm,INT,0.05,0.6,8,0,0.823,1,0.0632
20,4x3,norm,PAR,0.01,0.6,8,0,0.6944,1,0.0118
20,4x3,norm,RNK,0.01,0.6,8,0,0.645,1,0.0144
20,4x3,norm,ATS,0.01,0.6,8,0,0.6176,1,0.0086
20,4x3,norm,INT,0.01,0.6,8,0,0.6218,1,0.0162
20,4x3,norm,PAR,0.05,0,0.6,0,0.0482,0.9544,0.0512
20,4x3,norm,RNK,0.05,0,0.6,0,0.0506,0.9442,0.0534
20,4x3,norm,ATS,0.05,0,0.6,0,0.05,0.9342,0.0428
20,4x3,norm,INT,0.05,0,0.6,0,0.049,0.9538,0.0528
20,4x3,norm,PAR,0.01,0,0.6,0,0.0098,0.854,0.0108
20,4x3,norm,RNK,0.01,0,0.6,0,0.0098,0.8276,0.0114
20,4x3,norm,ATS,0.01,0,0.6,0,0.0088,0.8168,0.0078
20,4x3,norm,INT,0.01,0,0.6,0,0.0088,0.8508,0.0108
20,4x3,norm,PAR,0.05,1,0.6,0,0.9996,0.9514,0.0416
20,4x3,norm,RNK,0.05,1,0.6,0,0.9992,0.9384,0.0454
20,4x3,norm,ATS,0.05,1,0.6,0,0.9988,0.9306,0.0338
20,4x3,norm,INT,0.05,1,0.6,0,0.9996,0.949,0.0428
20,4x3,norm,PAR,0.01,1,0.6,0,0.9968,0.8484,0.008
20,4x3,norm,RNK,0.01,1,0.6,0,0.9962,0.8222,0.0076
20,4x3,norm,ATS,0.01,1,0.6,0,0.9924,0.8034,0.0052
20,4x3,norm,INT,0.01,1,0.6,0,0.9972,0.8464,0.0082
20,4x3,norm,PAR,0.05,2,0.6,0,1,0.9458,0.0496
20,4x3,norm,RNK,0.05,2,0.6,0,1,0.929,0.0572
20,4x3,norm,ATS,0.05,2,0.6,0,1,0.922,0.0466
20,4x3,norm,INT,0.05,2,0.6,0,1,0.941,0.0478
20,4x3,norm,PAR,0.01,2,0.6,0,1,0.8446,0.0108
20,4x3,norm,RNK,0.01,2,0.6,0,1,0.8116,0.0098
20,4x3,norm,ATS,0.01,2,0.6,0,1,0.7982,0.0056
20,4x3,norm,INT,0.01,2,0.6,0,1,0.837,0.0096
20,4x3,norm,PAR,0.05,4,0.6,0,1,0.9528,0.0488
20,4x3,norm,RNK,0.05,4,0.6,0,1,0.936,0.0662
20,4x3,norm,ATS,0.05,4,0.6,0,1,0.929,0.052
20,4x3,norm,INT,0.05,4,0.6,0,1,0.9414,0.0526
20,4x3,norm,PAR,0.01,4,0.6,0,1,0.8522,0.0092
20,4x3,norm,RNK,0.01,4,0.6,0,1,0.812,0.0152
20,4x3,norm,ATS,0.01,4,0.6,0,1,0.7996,0.0084
20,4x3,norm,INT,0.01,4,0.6,0,1,0.8314,0.0094
20,4x3,norm,PAR,0.05,8,0.6,0,1,0.952,0.0522
20,4x3,norm,RNK,0.05,8,0.6,0,1,0.9288,0.082
20,4x3,norm,ATS,0.05,8,0.6,0,1,0.9218,0.066
20,4x3,norm,INT,0.05,8,0.6,0,1,0.9218,0.0762
20,4x3,norm,PAR,0.01,8,0.6,0,1,0.8588,0.0086
20,4x3,norm,RNK,0.01,8,0.6,0,1,0.8042,0.0196
20,4x3,norm,ATS,0.01,8,0.6,0,1,0.79,0.0132
20,4x3,norm,INT,0.01,8,0.6,0,1,0.7966,0.019
20,4x3,norm,PAR,0.05,0,0,1.5,0.0556,0.0492,0.8382
20,4x3,norm,RNK,0.05,0,0,1.5,0.053,0.0504,0.8178
20,4x3,norm,ATS,0.05,0,0,1.5,0.055,0.0594,0.7798
20,4x3,norm,INT,0.05,0,0,1.5,0.055,0.051,0.8364
20,4x3,norm,PAR,0.01,0,0,1.5,0.0098,0.0114,0.6522
20,4x3,norm,RNK,0.01,0,0,1.5,0.0118,0.012,0.6206
20,4x3,norm,ATS,0.01,0,0,1.5,0.012,0.0148,0.5558
20,4x3,norm,INT,0.01,0,0,1.5,0.0092,0.0124,0.6476
20,4x3,norm,PAR,0.05,0,1,1.5,0.0516,1,0.8386
20,4x3,norm,RNK,0.05,0,1,1.5,0.0478,1,0.7966
20,4x3,norm,ATS,0.05,0,1,1.5,0.0496,1,0.7538
