n,design,family,method,alpha,effect,rate
20,within-2,norm,PAR,0.05,0,0.0504
20,within-2,norm,RNK,0.05,0,0.048
20,within-2,norm,INT,0.05,0,0.0508
20,within-2,norm,NON,0.05,0,0.0486
20,within-2,norm,PAR,0.01,0,0.0124
20,within-2,norm,RNK,0.01,0,0.012
20,within-2,norm,INT,0.01,0,0.012
20,within-2,norm,NON,0.01,0,0.0104
20,within-2,norm,PAR,0.05,0.5,0.3284
20,within-2,norm,RNK,0.05,0.5,0.312
20,within-2,norm,INT,0.05,0.5,0.3162
20,within-2,norm,NON,0.05,0.5,0.3094
20,within-2,norm,PAR,0.01,0.5,0.1266
20,within-2,norm,RNK,0.01,0.5,0.1232
20,within-2,norm,INT,0.01,0.5,0.125
20,within-2,norm,NON,0.01,0.5,0.1178
20,within-2,norm,PAR,0.05,1,0.8518
20,within-2,norm,RNK,0.05,1,0.8362
20,within-2,norm,INT,0.05,1,0.8442
20,within-2,norm,NON,0.05,1,0.8382
20,within-2,norm,PAR,0.01,1,0.6324
20,within-2,norm,RNK,0.01,1,0.6114
20,within-2,norm,INT,0.01,1,0.6144
20,within-2,norm,NON,0.01,1,0.5998
20,within-2,norm,PAR,0.05,1.5,0.9944
20,within-2,norm,RNK,0.05,1.5,0.9916
20,within-2,norm,INT,0.05,1.5,0.9928
20,within-2,norm,NON,0.05,1.5,0.993
20,within-2,norm,PAR,0.01,1.5,0.9552
20,within-2,norm,RNK,0.01,1.5,0.9524
20,within-2,norm,INT,0.01,1.5,0.953
20,within-2,norm,NON,0.01,1.5,0.9456
20,within-2,lnorm,PAR,0.05,0,0.0388
20,within-2,lnorm,RNK,0.05,0,0.053
20,within-2,lnorm,INT,0.05,0,0.0552
20,within-2,lnorm,NON,0.05,0,0.0506
20,within-2,lnorm,PAR,0.01,0,0.004
20,within-2,lnorm,RNK,0.01,0,0.011
20,within-2,lnorm,INT,0.01,0,0.0108
20,within-2,lnorm,NON,0.01,0,0.0116
20,within-2,lnorm,PAR,0.05,0.5,0.2008
20,within-2,lnorm,RNK,0.05,0.5,0.3068
20,within-2,lnorm,INT,0.05,0.5,0.3142
20,within-2,lnorm,NON,0.05,0.5,0.2722
20,within-2,lnorm,PAR,0.01,0.5,0.0416
20,within-2,lnorm,RNK,0.01,0.5,0.1294
20,within-2,lnorm,INT,0.01,0.5,0.1318
20,within-2,lnorm,NON,0.01,0.5,0.1036
20,within-2,lnorm,PAR,0.05,1,0.6356
20,within-2,lnorm,RNK,0.05,1,0.8398
20,within-2,lnorm,INT,0.05,1,0.8468
20,within-2,lnorm,NON,0.05,1,0.7858
20,within-2,lnorm,PAR,0.01,1,0.283
20,within-2,lnorm,RNK,0.01,1,0.6156
20,within-2,lnorm,INT,0.01,1,0.6144
20,within-2,lnorm,NON,0.01,1,0.541
20,within-2,lnorm,PAR,0.05,1.5,0.8904
20,within-2,lnorm,RNK,0.05,1.5,0.9904
20,within-2,lnorm,INT,0.05,1.5,0.9932
20,within-2,lnorm,NON,0.05,1.5,0.9828
20,within-2,lnorm,PAR,0.01,1.5,0.6092
20,within-2,lnorm,RNK,0.01,1.5,0.952
20,within-2,lnorm,INT,0.01,1.5,0.9526
20,within-2,lnorm,NON,0.01,1.5,0.9054
20,within-2,exp,PAR,0.05,0,0.0444
20,within-2,exp,RNK,0.05,0,0.0522
20,within-2,exp,INT,0.05,0,0.052
20,within-2,exp,NON,0.05,0,0.0474
20,within-2,exp,PAR,0.01,0,0.0094
20,within-2,exp,RNK,0.01,0,0.0114
20,within-2,exp,INT,0.01,0,0.0112
20,within-2,exp,NON,0.01,0,0.011
