n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,RNK,0.05,0.6,0,0,0.8374,0.0508,0.0556
20,4x3,norm,INT,0.05,0.6,0,0,0.8524,0.0526,0.0542
20,4x3,norm,VDW,0.05,0.6,0,0,0.7978,0.0464,0.0476
20,4x3,norm,KWF,0.05,0.6,0,0,0.7902,0.0456,0.0498
20,4x3,norm,RNK,0.01,0.6,0,0,0.6262,0.0092,0.0116
20,4x3,norm,INT,0.01,0.6,0,0,0.656,0.0096,0.0112
20,4x3,norm,VDW,0.01,0.6,0,0,0.5602,0.0062,0.0104
20,4x3,norm,KWF,0.01,0.6,0,0,0.5502,0.0064,0.0102
20,4x3,norm,RNK,0.05,0.6,1,0,0.8348,0.9996,0.046
20,4x3,norm,INT,0.05,0.6,1,0,0.8538,0.9996,0.0456
20,4x3,norm,VDW,0.05,0.6,1,0,0.8012,0.999,0.0454
20,4x3,norm,KWF,0.05,0.6,1,0,0.7976,0.999,0.0446
20,4x3,norm,RNK,0.01,0.6,1,0,0.636,0.9988,0.0096
20,4x3,norm,INT,0.01,0.6,1,0,0.6636,0.999,0.0112
20,4x3,norm,VDW,0.01,0.6,1,0,0.5618,0.9956,0.0078
20,4x3,norm,KWF,0.01,0.6,1,0,0.5448,0.9956,0.0072
20,4x3,norm,RNK,0.05,0.6,2,0,0.8226,1,0.0588
20,4x3,norm,INT,0.05,0.6,2,0,0.8428,1,0.0544
20,4x3,norm,VDW,0.05,0.6,2,0,0.7782,1,0.052
20,4x3,norm,KWF,0.05,0.6,2,0,0.767,1,0.0526
20,4x3,norm,RNK,0.01,0.6,2,0,0.6172,1,0.0132
20,4x3,norm,INT,0.01,0.6,2,0,0.6494,1,0.0106
20,4x3,norm,VDW,0.01,0.6,2,0,0.5294,1,0.007
20,4x3,norm,KWF,0.01,0.6,2,0,0.5154,1,0.01
20,4x3,norm,RNK,0.05,0.6,4,0,0.8248,1,0.066
20,4x3,norm,INT,0.05,0.6,4,0,0.8356,1,0.0536
20,4x3,norm,VDW,0.05,0.6,4,0,0.7546,1,0.0524
20,4x3,norm,KWF,0.05,0.6,4,0,0.7476,1,0.0622
20,4x3,norm,RNK,0.01,0.6,4,0,0.6076,1,0.0144
20,4x3,norm,INT,0.01,0.6,4,0,0.6244,1,0.0104
20,4x3,norm,VDW,0.01,0.6,4,0,0.4936,1,0.0082
20,4x3,norm,KWF,0.01,0.6,4,0,0.4844,1,0.0106
20,4x3,norm,RNK,0.05,0.6,8,0,0.8282,1,0.0716
20,4x3,norm,INT,0.05,0.6,8,0,0.8066,1,0.0754
20,4x3,norm,VDW,0.05,0.6,8,0,0.728,1,0.0602
20,4x3,norm,KWF,0.05,0.6,8,0,0.74,1,0.0666
20,4x3,norm,RNK,0.01,0.6,8,0,0.613,1,0.0182
20,4x3,norm,INT,0.01,0.6,8,0,0.5864,1,0.0196
20,4x3,norm,VDW,0.01,0.6,8,0,0.466,1,0.014
20,4x3,norm,KWF,0.01,0.6,8,0,0.4678,1,0.0144
20,4x3,norm,RNK,0.05,0,0,1.5,0.052,0.0554,0.8022
20,4x3,norm,INT,0.05,0,0,1.5,0.0526,0.0562,0.821
20,4x3,norm,VDW,0.05,0,0,1.5,0.0458,0.0522,0.7642
20,4x3,norm,KWF,0.05,0,0,1.5,0.0468,0.052,0.7558
20,4x3,norm,RNK,0.01,0,0,1.5,0.0108,0.0122,0.5904
20,4x3,norm,INT,0.01,0,0,1.5,0.01,0.0118,0.6174
20,4x3,norm,VDW,0.01,0,0,1.5,0.0068,0.0066,0.5194
20,4x3,norm,KWF,0.01,0,0,1.5,0.0074,0.0066,0.508
20,4x3,norm,RNK,0.05,0,1,1.5,0.0492,0.9998,0.7796
20,4x3,norm,INT,0.05,0,1,1.5,0.0458,0.9998,0.8156
20,4x3,norm,VDW,0.05,0,1,1.5,0.0496,0.9996,0.7534
20,4x3,norm,KWF,0.05,0,1,1.5,0.048,0.9996,0.733
20,4x3,norm,RNK,0.01,0,1,1.5,0.0094,0.9978,0.5688
20,4x3,norm,INT,0.01,0,1,1.5,0.0096,0.9984,0.6282
20,4x3,norm,VDW,0.01,0,1,1.5,0.007,0.9964,0.5086
20,4x3,norm,KWF,0.01,0,1,1.5,0.0072,0.996,0.4846
20,4x3,norm,RNK,0.05,0,2,1.5,0.0578,1,0.7316
20,4x3,norm,INT,0.05,0,2,1.5,0.0544,1,0.8026
20,4x3,norm,VDW,0.05,0,2,1.5,0.0502,1,0.699
20,4x3,norm,KWF,0.05,0,2,1.5,0.053,1,0.6554
20,4x3,norm,RNK,0.01,0,2,1.5,0.0122,1,0.4868
20,4x3,norm,INT,0.01,0,2,1.5,0.0096,1,0.5904
20,4x3,norm,VDW,0.01,0,2,1.5,0.0094,1,0.4368
20,4x3,norm,KWF,0.01,0,2,1.5,0.0108,1,0.3814
20,4x3,norm,RNK,0.05,0,4,1.5,0.0826,1,0.6608
20,4x3,norm,INT,0.05,0,4,1.5,0.0524,1,0.7858
20,4x3,norm,VDW,0.05,0,4,1.5,0.0608,1,0.655
20,4x3,norm,KWF,0.05,0,4,1.5,0.073,1,0.5638
20,4x3,norm,RNK,0.01,0,4,1.5,0.018,1,0.3944
20,4x3,norm,INT,0.01,0,4,1.5,0.0122,1,0.5686
20,4x3,norm,VDW,0.01,0,4,1.5,0.011,1,0.3998
20,4x3,norm,KWF,0.01,0,4,1.5,0.0168,1,0.2872
20,4x3,norm,RNK,0.05,0,8,1.5,0.0782,1,0.6956
20,4x3,norm,INT,0.05,0,8,1.5,0.0514,1,0.8088
20,4x3,norm,VDW,0.05,0,8,1.5,0.0542,1,0.6938
20,4x3,norm,KWF,0.05,0,8,1.5,0.068,1,0.6024
20,4x3,norm,RNK,0.01,0,8,1.5,0.0186,1,0.4412
20,4x3,norm,INT,0.01,0,8,1.5,0.0094,1,0.6116
20,4x3,norm,VDW,0.01,0,8,1.5,0.0084,1,0.435
20,4x3,norm,KWF,0.01,0,8,1.5,0.0128,1,0.3158
20,4x3,lnorm,RNK,0.05,0.6,0,0,0.8352,0.0484,0.0468
20,4x3,lnorm,INT,0.05,0.6,0,0,0.852,0.046,0.0468
20,4x3,lnorm,VDW,0.05,0.6,0,0,0.7946,0.0422,0.042
20,4x3,lnorm,KWF,0.05,0.6,0,0,0.79,0.043,0.0432
20,4x3,lnorm,RNK,0.01,0.6,0,0,0.6326,0.0088,0.01
20,4x3,lnorm,INT,0.01,0.6,0,0,0.652,0.0086,0.0106
20,4x3,lnorm,VDW,0.01,0.6,0,0,0.5644,0.0046,0.0076
20,4x3,lnorm,KWF,0.01,0.6,0,0,0.5508,0.003,0.0086
20,4x3,lnorm,RNK,0.05,0.6,1,0,0.8254,1,0.0524
20,4x3,lnorm,INT,0.05,0.6,1,0,0.845,1,0.0464
20,4x3,lnorm,VDW,0.05,0.6,1,0,0.789,1,0.0452
