n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
10,4x3,norm,PAR,0.05,0,0,0,0.0486,0.0462,0.0532
10,4x3,norm,RNK,0.05,0,0,0,0.0496,0.0484,0.0536
10,4x3,norm,ART,0.05,0,0,0,0.05,0.046,0.053
10,4x3,norm,INT,0.05,0,0,0,0.0506,0.0464,0.0546
10,4x3,norm,PAR,0.01,0,0,0,0.0106,0.0086,0.013
10,4x3,norm,RNK,0.01,0,0,0,0.0108,0.0092,0.0116
10,4x3,norm,ART,0.01,0,0,0,0.0112,0.009,0.013
10,4x3,norm,INT,0.01,0,0,0,0.0108,0.0086,0.0118
10,4x3,norm,PAR,0.05,0.5,0,0,0.3882,0.0474,0.0508
10,4x3,norm,RNK,0.05,0.5,0,0,0.3762,0.0468,0.0426
10,4x3,norm,ART,0.05,0.5,0,0,0.3776,0.0454,0.0454
10,4x3,norm,INT,0.05,0.5,0,0,0.388,0.047,0.0476
10,4x3,norm,PAR,0.01,0.5,0,0,0.1782,0.0086,0.0082
10,4x3,norm,RNK,0.01,0.5,0,0,0.1706,0.0102,0.0082
10,4x3,norm,ART,0.01,0.5,0,0,0.1738,0.0098,0.009
10,4x3,norm,INT,0.01,0.5,0,0,0.1796,0.0094,0.0092
10,4x3,norm,PAR,0.05,1,0,0,0.957,0.0528,0.0466
10,4x3,norm,RNK,0.05,1,0,0,0.9462,0.0544,0.0484
10,4x3,norm,ART,0.05,1,0,0,0.9466,0.053,0.0482
10,4x3,norm,INT,0.05,1,0,0,0.9546,0.0544,0.0472
10,4x3,norm,PAR,0.01,1,0,0,0.8622,0.0104,0.0086
10,4x3,norm,RNK,0.01,1,0,0,0.834,0.0108,0.008
10,4x3,norm,ART,0.01,1,0,0,0.8386,0.0104,0.0072
10,4x3,norm,INT,0.01,1,0,0,0.8538,0.01,0.0076
10,4x3,norm,PAR,0.05,2,0,0,1,0.0482,0.0526
10,4x3,norm,RNK,0.05,2,0,0,1,0.048,0.0522
10,4x3,norm,ART,0.05,2,0,0,1,0.0462,0.0536
10,4x3,norm,INT,0.05,2,0,0,1,0.048,0.0516
10,4x3,norm,PAR,0.01,2,0,0,1,0.0062,0.0104
10,4x3,norm,RNK,0.01,2,0,0,1,0.0058,0.011
10,4x3,norm,ART,0.01,2,0,0,1,0.007,0.0104
10,4x3,norm,INT,0.01,2,0,0,1,0.0054,0.011
10,4x3,norm,PAR,0.05,4,0,0,1,0.0506,0.0518
10,4x3,norm,RNK,0.05,4,0,0,1,0.0512,0.0576
10,4x3,norm,ART,0.05,4,0,0,1,0.051,0.0538
10,4x3,norm,INT,0.05,4,0,0,1,0.0512,0.0516
10,4x3,norm,PAR,0.01,4,0,0,1,0.0106,0.0096
10,4x3,norm,RNK,0.01,4,0,0,1,0.0098,0.0112
10,4x3,norm,ART,0.01,4,0,0,1,0.012,0.009
