n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX2
10,4x3,norm,PAR,0.05,0,0,0,0.0521
10,4x3,norm,RNK,0.05,0,0,0,0.0509
10,4x3,norm,ART,0.05,0,0,0,0.0517
10,4x3,norm,INT,0.05,0,0,0,0.0514
10,4x3,norm,PAR,0.01,0,0,0,0.0103
10,4x3,norm,RNK,0.01,0,0,0,0.0101
10,4x3,norm,ART,0.01,0,0,0,0.0103
10,4x3,norm,INT,0.01,0,0,0,0.0102
10,4x3,norm,PAR,0.05,0.5,0,0,0.0515
10,4x3,norm,RNK,0.05,0.5,0,0,0.0521
10,4x3,norm,ART,0.05,0.5,0,0,0.0529
10,4x3,norm,INT,0.05,0.5,0,0,0.0517
10,4x3,norm,PAR,0.01,0.5,0,0,0.0119
10,4x3,norm,RNK,0.01,0.5,0,0,0.012
10,4x3,norm,ART,0.01,0.5,0,0,0.0119
10,4x3,norm,INT,0.01,0.5,0,0,0.0118
10,4x3,norm,PAR,0.05,1,0,0,0.0461
10,4x3,norm,RNK,0.05,1,0,0,0.0459
10,4x3,norm,ART,0.05,1,0,0,0.0479
10,4x3,norm,INT,0.05,1,0,0,0.0459
10,4x3,norm,PAR,0.01,1,0,0,0.0094
10,4x3,norm,RNK,0.01,1,0,0,0.0089
10,4x3,norm,ART,0.01,1,0,0,0.0093
10,4x3,norm,INT,0.01,1,0,0,0.0091
10,4x3,norm,PAR,0.05,2,0,0,0.0499
10,4x3,norm,RNK,0.05,2,0,0,0.0492
10,4x3,norm,ART,0.05,2,0,0,0.0487
10,4x3,norm,INT,0.05,2,0,0,0.0494
10,4x3,norm,PAR,0.01,2,0,0,0.0109
10,4x3,norm,RNK,0.01,2,0,0,0.0103
10,4x3,norm,ART,0.01,2,0,0,0.0097
10,4x3,norm,INT,0.01,2,0,0,0.01
10,4x3,norm,PAR,0.05,4,0,0,0.0502
10,4x3,norm,RNK,0.05,4,0,0,0.0523
10,4x3,norm,ART,0.05,4,0,0,0.0516
10,4x3,norm,INT,0.05,4,0,0,0.0502
10,4x3,norm,PAR,0.01,4,0,0,0.01
10,4x3,norm,RNK,0.01,4,0,0,0.0101
10,4x3,norm,ART,0.01,4,0,0,0.0113
10,4x3,norm,INT,0.01,4,0,0,0.011
10,4x3,norm,PAR,0.05,8,0,0,0.0505
10,4x3,norm,RNK,0.05,8,0,0,0.0486
10,4x3,norm,ART,0.05,8,0,0,0.0499
10,4x3,norm,INT,0.05,8,0,0,0.0515
10,4x3,norm,PAR,0.01,8,0,0,0.0094
10,4x3,norm,RNK,0.01,8,0,0,0.0093
10,4x3,norm,ART,0.01,8,0,0,0.0103
10,4x3,norm,INT,0.01,8,0,0,0.0103
20,4x3,norm,PAR,0.05,0,0,0,0.0511
20,4x3,norm,RNK,0.05,0,0,0,0.0513
20,4x3,norm,ART,0.05,0,0,0,0.0525
20,4x3,norm,INT,0.05,0,0,0,0.0506
20,4x3,norm,PAR,0.01,0,0,0,0.0098
20,4x3,norm,RNK,0.01,0,0,0,0.0106
20,4x3,norm,ART,0.01,0,0,0,0.0108
20,4x3,norm,INT,0.01,0,0,0,0.0101
20,4x3,norm,PAR,0.05,0.5,0,0,0.0493
20,4x3,norm,RNK,0.05,0.5,0,0,0.0501
20,4x3,norm,ART,0.05,0.5,0,0,0.0491
20,4x3,norm,INT,0.05,0.5,0,0,0.0505
20,4x3,norm,PAR,0.01,0.5,0,0,0.0105
20,4x3,norm,RNK,0.01,0.5,0,0,0.0106
20,4x3,norm,ART,0.01,0.5,0,0,0.0112
20,4x3,norm,INT,0.01,0.5,0,0,0.011
20,4x3,norm,PAR,0.05,1,0,0,0.0509
20,4x3,norm,RNK,0.05,1,0,0,0.053
20,4x3,norm,ART,0.05,1,0,0,0.0523
20,4x3,norm,INT,0.05,1,0,0,0.0513
20,4x3,norm,PAR,0.01,1,0,0,0.0102
20,4x3,norm,RNK,0.01,1,0,0,0.0114
20,4x3,norm,ART,0.01,1,0,0,0.0107
20,4x3,norm,INT,0.01,1,0,0,0.0107
20,4x3,norm,PAR,0.05,2,0,0,0.0502
20,4x3,norm,RNK,0.05,2,0,0,0.0503
20,4x3,norm,ART,0.05,2,0,0,0.0521
20,4x3,norm,INT,0.05,2,0,0,0.0509
20,4x3,norm,PAR,0.01,2,0,0,0.0104
20,4x3,norm,RNK,0.01,2,0,0,0.0108
20,4x3,norm,ART,0.01,2,0,0,0.0105
20,4x3,norm,INT,0.01,2,0,0,0.0107
20,4x3,norm,PAR,0.05,4,0,0,0.0511
20,4x3,norm,RNK,0.05,4,0,0,0.0525
20,4x3,norm,ART,0.05,4,0,0,0.0513
20,4x3,norm,INT,0.05,4,0,0,0.0515
20,4x3,norm,PAR,0.01,4,0,0,0.0098
20,4x3,norm,RNK,0.01,4,0,0,0.0107
20,4x3,norm,ART,0.01,4,0,0,0.0103
20,4x3,norm,INT,0.01,4,0,0,0.0097
20,4x3,norm,PAR,0.05,8,0,0,0.0485
20,4x3,norm,RNK,0.05,8,0,0,0.0492
20,4x3,norm,ART,0.05,8,0,0,0.0495
20,4x3,norm,INT,0.05,8,0,0,0.0479
20,4x3,norm,PAR,0.01,8,0,0,0.0099
20,4x3,norm,RNK,0.01,8,0,0,0.0092
20,4x3,norm,ART,0.01,8,0,0,0.0097
20,4x3,norm,INT,0.01,8,0,0,0.0096
30,4x3,norm,PAR,0.05,0,0,0,0.0505
30,4x3,norm,RNK,0.05,0,0,0,0.0491
30,4x3,norm,ART,0.05,0,0,0,0.0497
30,4x3,norm,INT,0.05,0,0,0,0.0509
30,4x3,norm,PAR,0.01,0,0,0,0.0099
30,4x3,norm,RNK,0.01,0,0,0,0.0113
30,4x3,norm,ART,0.01,0,0,0,0.0116
30,4x3,norm,INT,0.01,0,0,0,0.0102
30,4x3,norm,PAR,0.05,0.5,0,0,0.0491
30,4x3,norm,RNK,0.05,0.5,0,0,0.049
30,4x3,norm,ART,0.05,0.5,0,0,0.0501
30,4x3,norm,INT,0.05,0.5,0,0,0.0487
30,4x3,norm,PAR,0.01,0.5,0,0,0.0101
30,4x3,norm,RNK,0.01,0.5,0,0,0.0104
30,4x3,norm,ART,0.01,0.5,0,0,0.0101
30,4x3,norm,INT,0.01,0.5,0,0,0.0097
30,4x3,norm,PAR,0.05,1,0,0,0.0507
30,4x3,norm,RNK,0.05,1,0,0,0.0525
30,4x3,norm,ART,0.05,1,0,0,0.0533
30,4x3,norm,INT,0.05,1,0,0,0.0519
30,4x3,norm,PAR,0.01,1,0,0,0.0101
30,4x3,norm,RNK,0.01,1,0,0,0.0096
30,4x3,norm,ART,0.01,1,0,0,0.0107
30,4x3,norm,INT,0.01,1,0,0,0.0105
30,4x3,norm,PAR,0.05,2,0,0,0.0511
30,4x3,norm,RNK,0.05,2,0,0,0.051
30,4x3,norm,ART,0.05,2,0,0,0.0518
30,4x3,norm,INT,0.05,2,0,0,0.0519
30,4x3,norm,PAR,0.01,2,0,0,0.0105
30,4x3,norm,RNK,0.01,2,0,0,0.0103
30,4x3,norm,ART,0.01,2,0,0,0.0101
30,4x3,norm,INT,0.01,2,0,0,0.0099
30,4x3,norm,PAR,0.05,4,0,0,0.0503
30,4x3,norm,RNK,0.05,4,0,0,0.0515
30,4x3,norm,ART,0.05,4,0,0,0.0517
30,4x3,norm,INT,0.05,4,0,0,0.0493
30,4x3,norm,PAR,0.01,4,0,0,0.0107
30,4x3,norm,RNK,0.01,4,0,0,0.0097
30,4x3,norm,ART,0.01,4,0,0,0.0102
30,4x3,norm,INT,0.01,4,0,0,0.0105
30,4x3,norm,PAR,0.05,8,0,0,0.0513
30,4x3,norm,RNK,0.05,8,0,0,0.0496
30,4x3,norm,ART,0.05,8,0,0,0.0501
30,4x3,norm,INT,0.05,8,0,0,0.0514
30,4x3,norm,PAR,0.01,8,0,0,0.0095
30,4x3,norm,RNK,0.01,8,0,0,0.0097
30,4x3,norm,ART,0.01,8,0,0,0.0102
30,4x3,norm,INT,0.01,8,0,0,0.0086
10,4x3,lnorm,PAR,0.05,0,0,0,0.0434
10,4x3,lnorm,RNK,0.05,0,0,0,0.0475
10,4x3,lnorm,ART,0.05,0,0,0,0.0784
10,4x3,lnorm,INT,0.05,0,0,0,0.0477
10,4x3,lnorm,PAR,0.01,0,0,0,0.0073
10,4x3,lnorm,RNK,0.01,0,0,0,0.0097
10,4x3,lnorm,ART,0.01,0,0,0,0.0239
10,4x3,lnorm,INT,0.01,0,0,0,0.0103
10,4x3,lnorm,PAR,0.05,0.5,0,0,0.0451
10,4x3,lnorm,RNK,0.05,0.5,0,0,0.0483
10,4x3,lnorm,ART,0.05,0.5,0,0,0.0995
10,4x3,lnorm,INT,0.05,0.5,0,0,0.0475
10,4x3,lnorm,PAR,0.01,0.5,0,0,0.0069
10,4x3,lnorm,RNK,0.01,0.5,0,0,0.0097
10,4x3,lnorm,ART,0.01,0.5,0,0,0.0354
