n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
32,4x3,norm,PAR,0.05,1,0,0,1,0.0522,0.052
32,4x3,norm,RNK,0.05,1,0,0,1,0.0486,0.055
32,4x3,norm,ART,0.05,1,0,0,1,0.052,0.053
32,4x3,norm,INT,0.05,1,0,0,1,0.053,0.051
32,4x3,norm,PAR,0.01,1,0,0,1,0.011,0.0106
32,4x3,norm,RNK,0.01,1,0,0,1,0.0096,0.0096
32,4x3,norm,ART,0.01,1,0,0,1,0.0096,0.0084
32,4x3,norm,INT,0.01,1,0,0,1,0.0106,0.0106
64,4x3,norm,PAR,0.05,1,0,0,1,0.052,0.0518
64,4x3,norm,RNK,0.05,1,0,0,1,0.0506,0.0488
64,4x3,norm,ART,0.05,1,0,0,1,0.0512,0.0476
64,4x3,norm,INT,0.05,1,0,0,1,0.0518,0.0506
64,4x3,norm,PAR,0.01,1,0,0,1,0.0092,0.0092
64,4x3,norm,RNK,0.01,1,0,0,1,0.009,0.0084
64,4x3,norm,ART,0.01,1,0,0,1,0.0092,0.0088
64,4x3,norm,INT,0.01,1,0,0,1,0.0102,0.0092
128,4x3,norm,PAR,0.05,1,0,0,1,0.0488,0.0516
128,4x3,norm,RNK,0.05,1,0,0,1,0.0482,0.0506
128,4x3,norm,ART,0.05,1,0,0,1,0.0486,0.0484
128,4x3,norm,INT,0.05,1,0,0,1,0.0484,0.0512
128,4x3,norm,PAR,0.01,1,0,0,1,0.0106,0.011
128,4x3,norm,RNK,0.01,1,0,0,1,0.01,0.0106
128,4x3,norm,ART,0.01,1,0,0,1,0.0098,0.0114
128,4x3,norm,INT,0.01,1,0,0,1,0.0106,0.0114
256,4x3,norm,PAR,0.05,1,0,0,1,0.0526,0.048
256,4x3,norm,RNK,0.05,1,0,0,1,0.053,0.0486
256,4x3,norm,ART,0.05,1,0,0,1,0.0548,0.048
256,4x3,norm,INT,0.05,1,0,0,1,0.051,0.0468
256,4x3,norm,PAR,0.01,1,0,0,1,0.011,0.0106
256,4x3,norm,RNK,0.01,1,0,0,1,0.013,0.01
256,4x3,norm,ART,0.01,1,0,0,1,0.0124,0.0092
256,4x3,norm,INT,0.01,1,0,0,1,0.0106,0.0108
512,4x3,norm,PAR,0.05,1,0,0,1,0.0448,0.0476
512,4x3,norm,RNK,0.05,1,0,0,1,0.048,0.0466
512,4x3,norm,ART,0.05,1,0,0,1,0.0486,0.0466
512,4x3,norm,INT,0.05,1,0,0,1,0.0452,0.0468
512,4x3,norm,PAR,0.01,1,0,0,1,0.0092,0.0092
512,4x3,norm,RNK,0.01,1,0,0,1,0.0092,0.011
512,4x3,norm,ART,0.01,1,0,0,1,0.0088,0.01
512,4x3,norm,INT,0.01,1,0,0,1,0.0088,0.0092
32,4x3,lnorm,PAR,0.05,1,0,0,0.992,0.0428,0.0596
32,4x3,lnorm,RNK,0.05,1,0,0,1,0.0512,0.053
32,4x3,lnorm,ART,0.05,1,0,0,1,0.2178,0.1268
32,4x3,lnorm,INT,0.05,1,0,0,1,0.0532,0.0498
32,4x3,lnorm,PAR,0.01,1,0,0,0.9744,0.0084,0.0142
32,4x3,lnorm,RNK,0.01,1,0,0,1,0.009,0.0108
32,4x3,lnorm,ART,0.01,1,0,0,1,0.1004,0.049
32,4x3,lnorm,INT,0.01,1,0,0,1,0.009,0.0094
64,4x3,lnorm,PAR,0.05,1,0,0,1,0.0454,0.0528
64,4x3,lnorm,RNK,0.05,1,0,0,1,0.0456,0.0462
64,4x3,lnorm,ART,0.05,1,0,0,1,0.213,0.1376
64,4x3,lnorm,INT,0.05,1,0,0,1,0.0504,0.0472
64,4x3,lnorm,PAR,0.01,1,0,0,0.9998,0.0094,0.0148
64,4x3,lnorm,RNK,0.01,1,0,0,1,0.0108,0.0104
64,4x3,lnorm,ART,0.01,1,0,0,1,0.097,0.0528
64,4x3,lnorm,INT,0.01,1,0,0,1,0.0126,0.0096
128,4x3,lnorm,PAR,0.05,1,0,0,1,0.0468,0.0678
128,4x3,lnorm,RNK,0.05,1,0,0,1,0.048,0.0526
128,4x3,lnorm,ART,0.05,1,0,0,1,0.2288,0.1494
128,4x3,lnorm,INT,0.05,1,0,0,1,0.0482,0.0554
128,4x3,lnorm,PAR,0.01,1,0,0,0.9998,0.008,0.0228
128,4x3,lnorm,RNK,0.01,1,0,0,1,0.0076,0.0102
128,4x3,lnorm,ART,0.01,1,0,0,1,0.1096,0.0548
128,4x3,lnorm,INT,0.01,1,0,0,1,0.0086,0.0108
256,4x3,lnorm,PAR,0.05,1,0,0,1,0.0448,0.0632
256,4x3,lnorm,RNK,0.05,1,0,0,1,0.0548,0.0514
256,4x3,lnorm,ART,0.05,1,0,0,1,0.2302,0.1442
256,4x3,lnorm,INT,0.05,1,0,0,1,0.0538,0.0502
256,4x3,lnorm,PAR,0.01,1,0,0,1,0.0066,0.0184
256,4x3,lnorm,RNK,0.01,1,0,0,1,0.0104,0.0092
256,4x3,lnorm,ART,0.01,1,0,0,1,0.1122,0.0606
256,4x3,lnorm,INT,0.01,1,0,0,1,0.009,0.0084
512,4x3,lnorm,PAR,0.05,1,0,0,1,0.043,0.0688
512,4x3,lnorm,RNK,0.05,1,0,0,1,0.0472,0.05
512,4x3,lnorm,ART,0.05,1,0,0,1,0.2366,0.1582
