n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,PAR,0.05,0,0,0,0.0544,0.0456,0.0498
20,4x3,norm,RNK,0.05,0,0,0,0.057,0.0464,0.0478
20,4x3,norm,ATS,0.05,0,0,0,0.0568,0.051,0.0398
20,4x3,norm,INT,0.05,0,0,0,0.053,0.0472,0.0488
20,4x3,norm,PAR,0.01,0,0,0,0.01,0.0094,0.0082
20,4x3,norm,RNK,0.01,0,0,0,0.0094,0.01,0.0084
20,4x3,norm,ATS,0.01,0,0,0,0.0138,0.0116,0.0064
20,4x3,norm,INT,0.01,0,0,0,0.0104,0.0102,0.0084
20,4x3,norm,PAR,0.05,0.5,0,0,0.7172,0.0514,0.0504
20,4x3,norm,RNK,0.05,0.5,0,0,0.6884,0.0506,0.0476
20,4x3,norm,ATS,0.05,0.5,0,0,0.6704,0.0534,0.0386
20,4x3,norm,INT,0.05,0.5,0,0,0.71,0.0508,0.0502
20,4x3,norm,PAR,0.01,0.5,0,0,0.4876,0.0062,0.0096
20,4x3,norm,RNK,0.01,0.5,0,0,0.4628,0.0068,0.0092
20,4x3,norm,ATS,0.01,0.5,0,0,0.4386,0.0112,0.0082
20,4x3,norm,INT,0.01,0.5,0,0,0.4866,0.007,0.0086
20,4x3,norm,PAR,0.05,1,0,0,0.999,0.0514,0.0466
20,4x3,norm,RNK,0.05,1,0,0,0.9992,0.049,0.0512
20,4x3,norm,ATS,0.05,1,0,0,0.9986,0.0596,0.0396
20,4x3,norm,INT,0.05,1,0,0,0.9988,0.0516,0.0454
20,4x3,norm,PAR,0.01,1,0,0,0.997,0.0114,0.0104
20,4x3,norm,RNK,0.01,1,0,0,0.995,0.0098,0.009
20,4x3,norm,ATS,0.01,1,0,0,0.992,0.0126,0.0066
20,4x3,norm,INT,0.01,1,0,0,0.9968,0.011,0.0102
20,4x3,norm,PAR,0.05,2,0,0,1,0.045,0.0504
20,4x3,norm,RNK,0.05,2,0,0,1,0.0452,0.0514
20,4x3,norm,ATS,0.05,2,0,0,1,0.0538,0.041
20,4x3,norm,INT,0.05,2,0,0,1,0.0442,0.051
20,4x3,norm,PAR,0.01,2,0,0,1,0.0074,0.009
20,4x3,norm,RNK,0.01,2,0,0,1,0.0088,0.009
20,4x3,norm,ATS,0.01,2,0,0,1,0.0106,0.0068
20,4x3,norm,INT,0.01,2,0,0,1,0.008,0.009
20,4x3,norm,PAR,0.05,4,0,0,1,0.051,0.0468
20,4x3,norm,RNK,0.05,4,0,0,1,0.0542,0.053
20,4x3,norm,ATS,0.05,4,0,0,1,0.0592,0.041
20,4x3,norm,INT,0.05,4,0,0,1,0.0532,0.0468
20,4x3,norm,PAR,0.01,4,0,0,1,0.0088,0.0094
20,4x3,norm,RNK,0.01,4,0,0,1,0.0072,0.0116
20,4x3,norm,ATS,0.01,4,0,0,1,0.012,0.0068
20,4x3,norm,INT,0.01,4,0,0,1,0.009,0.012
20,4x3,norm,PAR,0.05,8,0,0,1,0.0448,0.0482
20,4x3,norm,RNK,0.05,8,0,0,1,0.0472,0.0564
20,4x3,norm,ATS,0.05,8,0,0,1,0.0554,0.0408
20,4x3,norm,INT,0.05,8,0,0,1,0.0474,0.0564
20,4x3,norm,PAR,0.01,8,0,0,1,0.007,0.0078
