n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
10,4x3,lnorm,PAR,0.05,0,0,0,0.0388,0.0364,0.0362
10,4x3,lnorm,ART,0.05,0,0,0,0.0794,0.0912,0.0626
10,4x3,lnorm,ART-MED,0.05,0,0,0,0.1148,0.116,0.0582
10,4x3,lnorm,INT,0.05,0,0,0,0.0522,0.0474,0.0476
10,4x3,lnorm,PAR,0.01,0,0,0,0.0056,0.006,0.0054
10,4x3,lnorm,ART,0.01,0,0,0,0.02,0.027,0.016
10,4x3,lnorm,ART-MED,0.01,0,0,0,0.0358,0.0402,0.0118
10,4x3,lnorm,INT,0.01,0,0,0,0.0094,0.0112,0.0084
10,4x3,lnorm,PAR,0.05,0.5,0,0,0.227,0.0392,0.0432
10,4x3,lnorm,ART,0.05,0.5,0,0,0.394,0.1204,0.0802
10,4x3,lnorm,ART-MED,0.05,0.5,0,0,0.4424,0.1324,0.0534
10,4x3,lnorm,INT,0.05,0.5,0,0,0.3914,0.0482,0.0482
10,4x3,lnorm,PAR,0.01,0.5,0,0,0.0704,0.0052,0.0092
10,4x3,lnorm,ART,0.01,0.5,0,0,0.1876,0.0432,0.0228
10,4x3,lnorm,ART-MED,0.01,0.5,0,0,0.239,0.0422,0.014
10,4x3,lnorm,INT,0.01,0.5,0,0,0.175,0.0096,0.0128
10,4x3,lnorm,PAR,0.05,1,0,0,0.7358,0.0406,0.0532
10,4x3,lnorm,ART,0.05,1,0,0,0.9204,0.1896,0.1154
10,4x3,lnorm,ART-MED,0.05,1,0,0,0.9154,0.1578,0.0648
10,4x3,lnorm,INT,0.05,1,0,0,0.9524,0.0504,0.0524
10,4x3,lnorm,PAR,0.01,1,0,0,0.4844,0.0064,0.0108
10,4x3,lnorm,ART,0.01,1,0,0,0.7882,0.0838,0.0426
10,4x3,lnorm,ART-MED,0.01,1,0,0,0.7882,0.0644,0.0162
10,4x3,lnorm,INT,0.01,1,0,0,0.8514,0.013,0.0094
10,4x3,lnorm,PAR,0.05,2,0,0,0.9884,0.0348,0.065
10,4x3,lnorm,ART,0.05,2,0,0,1,0.4294,0.2454
10,4x3,lnorm,ART-MED,0.05,2,0,0,0.9998,0.2136,0.09
10,4x3,lnorm,INT,0.05,2,0,0,1,0.0506,0.049
10,4x3,lnorm,PAR,0.01,2,0,0,0.9462,0.0054,0.0192
10,4x3,lnorm,ART,0.01,2,0,0,0.9998,0.2736,0.1232
10,4x3,lnorm,ART-MED,0.01,2,0,0,0.999,0.0838,0.0278
10,4x3,lnorm,INT,0.01,2,0,0,1,0.0098,0.0096
10,4x3,lnorm,PAR,0.05,4,0,0,0.998,0.039,0.0756
10,4x3,lnorm,ART,0.05,4,0,0,1,0.78,0.5454
10,4x3,lnorm,ART-MED,0.05,4,0,0,1,0.34,0.1544
10,4x3,lnorm,INT,0.05,4,0,0,1,0.0552,0.0484
10,4x3,lnorm,PAR,0.01,4,0,0,0.9872,0.007,0.029
10,4x3,lnorm,ART,0.01,4,0,0,1,0.6498,0.362
10,4x3,lnorm,ART-MED,0.01,4,0,0,1,0.1614,0.0592
10,4x3,lnorm,INT,0.01,4,0,0,1,0.0116,0.0116
10,4x3,lnorm,PAR,0.05,8,0,0,0.9988,0.0382,0.0892
10,4x3,lnorm,ART,0.05,8,0,0,1,0.9408,0.777
10,4x3,lnorm,ART-MED,0.05,8,0,0,1,0.5216,0.2728
10,4x3,lnorm,INT,0.05,8,0,0,1,0.0532,0.0662
10,4x3,lnorm,PAR,0.01,8,0,0,0.992,0.006,0.0336
10,4x3,lnorm,ART,0.01,8,0,0,1,0.879,0.6252
10,4x3,lnorm,ART-MED,0.01,8,0,0,1,0.2198,0.1238
10,4x3,lnorm,INT,0.01,8,0,0,1,0.011,0.0156
10,4x3,lnorm,PAR,0.05,0.5,0.5,0,0.2136,0.3252,0.046
10,4x3,lnorm,ART,0.05,0.5,0.5,0,0.4404,0.5452,0.1074
10,4x3,lnorm,ART-MED,0.05,0.5,0.5,0,0.4514,0.545,0.0652
10,4x3,lnorm,INT,0.05,0.5,0.5,0,0.4082,0.5426,0.048
10,4x3,lnorm,PAR,0.01,0.5,0.5,0,0.0764,0.1232,0.0096
10,4x3,lnorm,ART,0.01,0.5,0.5,0,0.2158,0.3224,0.0376
10,4x3,lnorm,ART-MED,0.01,0.5,0.5,0,0.2536,0.3336,0.0202
10,4x3,lnorm,INT,0.01,0.5,0.5,0,0.1858,0.2916,0.011
10,4x3,lnorm,PAR,0.05,1,1,0,0.6736,0.8204,0.0992
10,4x3,lnorm,ART,0.05,1,1,0,0.9334,0.9742,0.3224
10,4x3,lnorm,ART-MED,0.05,1,1,0,0.8894,0.9534,0.1804
10,4x3,lnorm,INT,0.05,1,1,0,0.9502,0.9882,0.0474
10,4x3,lnorm,PAR,0.01,1,1,0,0.4152,0.5824,0.0326
10,4x3,lnorm,ART,0.01,1,1,0,0.8206,0.9166,0.164
10,4x3,lnorm,ART-MED,0.01,1,1,0,0.7686,0.8716,0.0652
10,4x3,lnorm,INT,0.01,1,1,0,0.8438,0.947,0.0084
10,4x3,lnorm,PAR,0.05,2,2,0,0.9436,0.975,0.5084
10,4x3,lnorm,ART,0.05,2,2,0,1,1,0.9486
10,4x3,lnorm,ART-MED,0.05,2,2,0,0.9996,1,0.8758
10,4x3,lnorm,INT,0.05,2,2,0,1,1,0.0398
10,4x3,lnorm,PAR,0.01,2,2,0,0.8404,0.913,0.302
10,4x3,lnorm,ART,0.01,2,2,0,0.999,1,0.8706
10,4x3,lnorm,ART-MED,0.01,2,2,0,0.9968,0.9998,0.7276
10,4x3,lnorm,INT,0.01,2,2,0,1,1,0.008
10,4x3,lnorm,PAR,0.05,4,4,0,0.9682,0.9778,0.924
10,4x3,lnorm,ART,0.05,4,4,0,0.9998,1,0.9996
10,4x3,lnorm,ART-MED,0.05,4,4,0,0.9998,1,1
10,4x3,lnorm,INT,0.05,4,4,0,1,1,0.0352
10,4x3,lnorm,PAR,0.01,4,4,0,0.8938,0.9226,0.816
10,4x3,lnorm,ART,0.01,4,4,0,0.9998,1,0.9988
10,4x3,lnorm,ART-MED,0.01,4,4,0,0.9998,1,1
10,4x3,lnorm,INT,0.01,4,4,0,1,1,0.007
10,4x3,lnorm,PAR,0.05,8,8,0,0.97,0.9718,0.9698
10,4x3,lnorm,ART,0.05,8,8,0,1,1,1
10,4x3,lnorm,ART-MED,0.05,8,8,0,1,1,1
10,4x3,lnorm,INT,0.05,8,8,0,1,1,0.1112
10,4x3,lnorm,PAR,0.01,8,8,0,0.912,0.8946,0.9218
10,4x3,lnorm,ART,0.01,8,8,0,1,1,1
10,4x3,lnorm,ART-MED,0.01,8,8,0,1,1,1
10,4x3,lnorm,INT,0.01,8,8,0,1,1,0.0256
20,4x3,lnorm,PAR,0.05,0,0,0,0.0436,0.0438,0.0444
20,4x3,lnorm,ART,0.05,0,0,0,0.065,0.0772,0.0584
20,4x3,lnorm,ART-MED,0.05,0,0,0,0.1218,0.1114,0.0534
20,4x3,lnorm,INT,0.05,0,0,0,0.0484,0.051,0.0516
20,4x3,lnorm,PAR,0.01,0,0,0,0.0084,0.0062,0.007
20,4x3,lnorm,ART,0.01,0,0,0,0.0164,0.0192,0.0146
20,4x3,lnorm,ART-MED,0.01,0,0,0,0.0398,0.0338,0.012
20,4x3,lnorm,INT,0.01,0,0,0,0.0082,0.009,0.01
20,4x3,lnorm,PAR,0.05,0.5,0,0,0.4446,0.0408,0.0426
20,4x3,lnorm,ART,0.05,0.5,0,0,0.671,0.1076,0.0768
20,4x3,lnorm,ART-MED,0.05,0.5,0,0,0.676,0.1264,0.0582
20,4x3,lnorm,INT,0.05,0.5,0,0,0.7076,0.0484,0.0466
20,4x3,lnorm,PAR,0.01,0.5,0,0,0.2126,0.0058,0.0084
20,4x3,lnorm,ART,0.01,0.5,0,0,0.4334,0.035,0.0214
20,4x3,lnorm,ART-MED,0.01,0.5,0,0,0.4764,0.0434,0.0138
20,4x3,lnorm,INT,0.01,0.5,0,0,0.4706,0.0106,0.0108
20,4x3,lnorm,PAR,0.05,1,0,0,0.9586,0.0442,0.0542
20,4x3,lnorm,ART,0.05,1,0,0,0.999,0.1958,0.1182
20,4x3,lnorm,ART-MED,0.05,1,0,0,0.9956,0.1738,0.0642
20,4x3,lnorm,INT,0.05,1,0,0,0.9998,0.0516,0.0488
20,4x3,lnorm,PAR,0.01,1,0,0,0.8618,0.0062,0.0134
20,4x3,lnorm,ART,0.01,1,0,0,0.991,0.0938,0.04
20,4x3,lnorm,ART-MED,0.01,1,0,0,0.9848,0.0662,0.0166
20,4x3,lnorm,INT,0.01,1,0,0,0.9964,0.0102,0.0108
20,4x3,lnorm,PAR,0.05,2,0,0,0.9994,0.0392,0.0638
20,4x3,lnorm,ART,0.05,2,0,0,1,0.479,0.3004
20,4x3,lnorm,ART-MED,0.05,2,0,0,1,0.2396,0.0956
20,4x3,lnorm,INT,0.05,2,0,0,1,0.0554,0.0498
20,4x3,lnorm,PAR,0.01,2,0,0,0.9962,0.0054,0.0234
20,4x3,lnorm,ART,0.01,2,0,0,1,0.323,0.1586
20,4x3,lnorm,ART-MED,0.01,2,0,0,1,0.1092,0.0302
20,4x3,lnorm,INT,0.01,2,0,0,1,0.011,0.0104
20,4x3,lnorm,PAR,0.05,4,0,0,0.9998,0.0356,0.0812
20,4x3,lnorm,ART,0.05,4,0,0,1,0.8454,0.7118
20,4x3,lnorm,ART-MED,0.05,4,0,0,1,0.4442,0.2044
20,4x3,lnorm,INT,0.05,4,0,0,1,0.0458,0.05
20,4x3,lnorm,PAR,0.01,4,0,0,0.9988,0.0044,0.0296
20,4x3,lnorm,ART,0.01,4,0,0,1,0.768,0.56
20,4x3,lnorm,ART-MED,0.01,4,0,0,1,0.252,0.0806
20,4x3,lnorm,INT,0.01,4,0,0,1,0.0076,0.011
20,4x3,lnorm,PAR,0.05,8,0,0,0.9994,0.0356,0.0894
20,4x3,lnorm,ART,0.05,8,0,0,1,0.9628,0.914
20,4x3,lnorm,ART-MED,0.05,8,0,0,1,0.6876,0.4496
20,4x3,lnorm,INT,0.05,8,0,0,1,0.0516,0.0566
20,4x3,lnorm,PAR,0.01,8,0,0,0.9982,0.0056,0.0364
20,4x3,lnorm,ART,0.01,8,0,0,1,0.9394,0.835
20,4x3,lnorm,ART-MED,0.01,8,0,0,1,0.5332,0.2696
20,4x3,lnorm,INT,0.01,8,0,0,1,0.0098,0.0126
20,4x3,lnorm,PAR,0.05,0.5,0.5,0,0.4368,0.5818,0.0494
20,4x3,lnorm,ART,0.05,0.5,0.5,0,0.6952,0.821,0.1318
20,4x3,lnorm,ART-MED,0.05,0.5,0.5,0,0.6952,0.7986,0.0792
20,4x3,lnorm,INT,0.05,0.5,0.5,0,0.7008,0.8472,0.0482
20,4x3,lnorm,PAR,0.01,0.5,0.5,0,0.2078,0.3284,0.0136
20,4x3,lnorm,ART,0.01,0.5,0.5,0,0.4856,0.6392,0.0454
20,4x3,lnorm,ART-MED,0.01,0.5,0.5,0,0.5024,0.6242,0.0224
20,4x3,lnorm,INT,0.01,0.5,0.5,0,0.4776,0.6684,0.0112
20,4x3,lnorm,PAR,0.05,1,1,0,0.9286,0.9774,0.1662
20,4x3,lnorm,ART,0.05,1,1,0,0.997,0.999,0.5522
20,4x3,lnorm,ART-MED,0.05,1,1,0,0.993,0.9988,0.3374
20,4x3,lnorm,INT,0.05,1,1,0,0.9996,1,0.0438
20,4x3,lnorm,PAR,0.01,1,1,0,0.8008,0.9204,0.066
20,4x3,lnorm,ART,0.01,1,1,0,0.99,0.997,0.3656
20,4x3,lnorm,ART-MED,0.01,1,1,0,0.9716,0.9956,0.1616
20,4x3,lnorm,INT,0.01,1,1,0,0.997,0.9996,0.0106
20,4x3,lnorm,PAR,0.05,2,2,0,0.9962,0.9984,0.8328
20,4x3,lnorm,ART,0.05,2,2,0,1,1,0.9988
20,4x3,lnorm,ART-MED,0.05,2,2,0,1,1,0.9974
20,4x3,lnorm,INT,0.05,2,2,0,1,1,0.0436
20,4x3,lnorm,PAR,0.01,2,2,0,0.9774,0.9904,0.6468
