n,design,family,method,alpha,effectX1,effectX2,effectX1X2,effectX3,rateX1,rateX2,rateX1X2,rateX3,rateX1X3,rateX2X3,rateX1X2X3
20,2x3,norm,PAR,0.05,0,0,0,0,0.0544,0.045,0.0502,0,0,0,0
20,2x3,norm,RNK,0.05,0,0,0,0,0.053,0.0478,0.0502,0,0,0,0
20,2x3,norm,ART,0.05,0,0,0,0,0.0542,0.0462,0.051,0,0,0,0
20,2x3,norm,INT,0.05,0,0,0,0,0.0518,0.0448,0.0512,0,0,0,0
20,2x3,norm,PAR,0.01,0,0,0,0,0.0118,0.0076,0.0094,0,0,0,0
20,2x3,norm,RNK,0.01,0,0,0,0,0.0104,0.0076,0.01,0,0,0,0
20,2x3,norm,ART,0.01,0,0,0,0,0.0098,0.0078,0.0094,0,0,0,0
20,2x3,norm,INT,0.01,0,0,0,0,0.0116,0.0074,0.0096,0,0,0,0
20,2x3,norm,PAR,0.05,0.5,0.5,0,0,0.7358,0.4974,0.0486,0,0,0,0
20,2x3,norm,RNK,0.05,0.5,0.5,0,0,0.7124,0.4804,0.0468,0,0,0,0
20,2x3,norm,ART,0.05,0.5,0.5,0,0,0.7122,0.485,0.0488,0,0,0,0
20,2x3,norm,INT,0.05,0.5,0.5,0,0,0.7352,0.4944,0.0472,0,0,0,0
20,2x3,norm,PAR,0.01,0.5,0.5,0,0,0.4968,0.2652,0.011,0,0,0,0
20,2x3,norm,RNK,0.01,0.5,0.5,0,0,0.4802,0.2532,0.0132,0,0,0,0
20,2x3,norm,ART,0.01,0.5,0.5,0,0,0.481,0.25,0.013,0,0,0,0
20,2x3,norm,INT,0.01,0.5,0.5,0,0,0.4918,0.2636,0.0116,0,0,0,0
20,2x3,norm,PAR,0.05,1,1,0,0,0.9988,0.982,0.049,0,0,0,0
20,2x3,norm,RNK,0.05,1,1,0,0,0.998,0.9746,0.0516,0,0,0,0
20,2x3,norm,ART,0.05,1,1,0,0,0.9974,0.9748,0.0512,0,0,0,0
20,2x3,norm,INT,0.05,1,1,0,0,0.999,0.9792,0.0454,0,0,0,0
20,2x3,norm,PAR,0.01,1,1,0,0,0.9936,0.9254,0.0112,0,0,0,0
20,2x3,norm,RNK,0.01,1,1,0,0,0.9904,0.912,0.0116,0,0,0,0
20,2x3,norm,ART,0.01,1,1,0,0,0.9914,0.9166,0.0112,0,0,0,0
20,2x3,norm,INT,0.01,1,1,0,0,0.9924,0.9238,0.0098,0,0,0,0
20,2x3,norm,PAR,0.05,2,2,0,0,1,1,0.0552,0,0,0,0
20,2x3,norm,RNK,0.05,2,2,0,0,1,1,0.0596,0,0,0,0
20,2x3,norm,ART,0.05,2,2,0,0,1,1,0.059,0,0,0,0
20,2x3,norm,INT,0.05,2,2,0,0,1,1,0.0298,0,0,0,0
20,2x3,norm,PAR,0.01,2,2,0,0,1,1,0.0116,0,0,0,0
20,2x3,norm,RNK,0.01,2,2,0,0,1,1,0.0148,0,0,0,0
20,2x3,norm,ART,0.01,2,2,0,0,1,1,0.0136,0,0,0,0
20,2x3,norm,INT,0.01,2,2,0,0,1,1,0.0036,0,0,0,0
20,2x3,norm,PAR,0.05,4,4,0,0,1,1,0.0482,0,0,0,0
20,2x3,norm,RNK,0.05,4,4,0,0,1,1,0.1414,0,0,0,0
20,2x3,norm,ART,0.05,4,4,0,0,1,1,0.0504,0,0,0,0
20,2x3,norm,INT,0.05,4,4,0,0,1,1,0.0126,0,0,0,0
