n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,lnorm_0.2,PAR,0.05,0,0,0,0.0524,0.0482,0.0532
20,4x3,lnorm_0.2,RNK,0.05,0,0,0,0.0526,0.0488,0.0578
20,4x3,lnorm_0.2,ART,0.05,0,0,0,0.0536,0.0488,0.057
20,4x3,lnorm_0.2,INT,0.05,0,0,0,0.0534,0.0476,0.0542
20,4x3,lnorm_0.2,PAR,0.01,0,0,0,0.0108,0.0094,0.0116
20,4x3,lnorm_0.2,RNK,0.01,0,0,0,0.0112,0.0104,0.0126
20,4x3,lnorm_0.2,ART,0.01,0,0,0,0.0112,0.0108,0.013
20,4x3,lnorm_0.2,INT,0.01,0,0,0,0.0088,0.0102,0.0118
20,4x3,lnorm_0.2,PAR,0.05,0.5,0,0,0.706,0.0474,0.0462
20,4x3,lnorm_0.2,RNK,0.05,0.5,0,0,0.6996,0.0504,0.0472
20,4x3,lnorm_0.2,ART,0.05,0.5,0,0,0.6988,0.0514,0.0482
20,4x3,lnorm_0.2,INT,0.05,0.5,0,0,0.7166,0.0486,0.047
20,4x3,lnorm_0.2,PAR,0.01,0.5,0,0,0.4686,0.0106,0.0088
20,4x3,lnorm_0.2,RNK,0.01,0.5,0,0,0.4596,0.0112,0.0092
20,4x3,lnorm_0.2,ART,0.01,0.5,0,0,0.4614,0.0104,0.0084
20,4x3,lnorm_0.2,INT,0.01,0.5,0,0,0.4802,0.011,0.0082
20,4x3,lnorm_0.2,PAR,0.05,1,0,0,0.9996,0.0486,0.0456
20,4x3,lnorm_0.2,RNK,0.05,1,0,0,0.9992,0.0496,0.0546
20,4x3,lnorm_0.2,ART,0.05,1,0,0,0.9992,0.047,0.053
20,4x3,lnorm_0.2,INT,0.05,1,0,0,0.9996,0.0492,0.0478
20,4x3,lnorm_0.2,PAR,0.01,1,0,0,0.9968,0.0096,0.0082
20,4x3,lnorm_0.2,RNK,0.01,1,0,0,0.9952,0.0076,0.0096
20,4x3,lnorm_0.2,ART,0.01,1,0,0,0.996,0.0092,0.0094
20,4x3,lnorm_0.2,INT,0.01,1,0,0,0.9978,0.0086,0.0086
20,4x3,lnorm_0.2,PAR,0.05,2,0,0,1,0.0518,0.0564
20,4x3,lnorm_0.2,RNK,0.05,2,0,0,1,0.0486,0.0526
20,4x3,lnorm_0.2,ART,0.05,2,0,0,1,0.0574,0.0582
20,4x3,lnorm_0.2,INT,0.05,2,0,0,1,0.0536,0.0534
20,4x3,lnorm_0.2,PAR,0.01,2,0,0,1,0.0106,0.0126
20,4x3,lnorm_0.2,RNK,0.01,2,0,0,1,0.011,0.0112
20,4x3,lnorm_0.2,ART,0.01,2,0,0,1,0.0136,0.0138
20,4x3,lnorm_0.2,INT,0.01,2,0,0,1,0.0106,0.0112
20,4x3,lnorm_0.2,PAR,0.05,4,0,0,1,0.0432,0.068
20,4x3,lnorm_0.2,RNK,0.05,4,0,0,1,0.0464,0.0538
20,4x3,lnorm_0.2,ART,0.05,4,0,0,1,0.08,0.0752
20,4x3,lnorm_0.2,INT,0.05,4,0,0,1,0.0506,0.0484
