n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
10,4x3,likert_5,PAR,0.05,0,0,0,0.046,0.045,0.05
10,4x3,likert_5,RNK,0.05,0,0,0,0.0448,0.0468,0.0516
10,4x3,likert_5,ART,0.05,0,0,0,0.0562,0.0568,0.0562
10,4x3,likert_5,INT,0.05,0,0,0,0.0462,0.0452,0.0482
10,4x3,likert_5,PAR,0.01,0,0,0,0.0082,0.0088,0.0124
10,4x3,likert_5,RNK,0.01,0,0,0,0.0084,0.008,0.0132
10,4x3,likert_5,ART,0.01,0,0,0,0.0114,0.0126,0.0142
10,4x3,likert_5,INT,0.01,0,0,0,0.0082,0.0086,0.0122
10,4x3,likert_5,PAR,0.05,0.5,0,0,0.3624,0.0516,0.0508
10,4x3,likert_5,RNK,0.05,0.5,0,0,0.3608,0.0516,0.0504
10,4x3,likert_5,ART,0.05,0.5,0,0,0.3654,0.0602,0.0558
10,4x3,likert_5,INT,0.05,0.5,0,0,0.363,0.0506,0.0504
10,4x3,likert_5,PAR,0.01,0.5,0,0,0.1682,0.0104,0.011
10,4x3,likert_5,RNK,0.01,0.5,0,0,0.1634,0.0102,0.0134
10,4x3,likert_5,ART,0.01,0.5,0,0,0.1704,0.0126,0.0142
10,4x3,likert_5,INT,0.01,0.5,0,0,0.1686,0.0096,0.0118
10,4x3,likert_5,PAR,0.05,1,0,0,0.933,0.0462,0.0488
10,4x3,likert_5,RNK,0.05,1,0,0,0.9292,0.0462,0.0492
10,4x3,likert_5,ART,0.05,1,0,0,0.927,0.0582,0.0576
10,4x3,likert_5,INT,0.05,1,0,0,0.9328,0.0466,0.0498
10,4x3,likert_5,PAR,0.01,1,0,0,0.826,0.0092,0.01
10,4x3,likert_5,RNK,0.01,1,0,0,0.8116,0.0086,0.0092
10,4x3,likert_5,ART,0.01,1,0,0,0.8068,0.0106,0.0124
10,4x3,likert_5,INT,0.01,1,0,0,0.8258,0.0094,0.0098
10,4x3,likert_5,PAR,0.05,2,0,0,1,0.0502,0.0504
10,4x3,likert_5,RNK,0.05,2,0,0,1,0.051,0.0492
10,4x3,likert_5,ART,0.05,2,0,0,1,0.064,0.0568
10,4x3,likert_5,INT,0.05,2,0,0,1,0.0506,0.0482
10,4x3,likert_5,PAR,0.01,2,0,0,1,0.0102,0.01
10,4x3,likert_5,RNK,0.01,2,0,0,1,0.0088,0.0108
10,4x3,likert_5,ART,0.01,2,0,0,1,0.0144,0.0136
10,4x3,likert_5,INT,0.01,2,0,0,1,0.01,0.0106
10,4x3,likert_5,PAR,0.05,4,0,0,1,0.045,0.053
10,4x3,likert_5,RNK,0.05,4,0,0,1,0.0458,0.055
10,4x3,likert_5,ART,0.05,4,0,0,1,0.072,0.0662
10,4x3,likert_5,INT,0.05,4,0,0,1,0.0452,0.0554
10,4x3,likert_5,PAR,0.01,4,0,0,1,0.007,0.01
10,4x3,likert_5,RNK,0.01,4,0,0,1,0.0092,0.011
10,4x3,likert_5,ART,0.01,4,0,0,1,0.0208,0.015
10,4x3,likert_5,INT,0.01,4,0,0,1,0.0084,0.0104
