n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,RNK,0.05,0,0,0,0.0462,0.0504,0.0498
20,4x3,norm,INT,0.05,0,0,0,0.0428,0.0486,0.0492
20,4x3,norm,VDW,0.05,0,0,0,0.0452,0.0422,0.0426
20,4x3,norm,KWF,0.05,0,0,0,0.0432,0.041,0.0448
20,4x3,norm,RNK,0.01,0,0,0,0.007,0.0106,0.009
20,4x3,norm,INT,0.01,0,0,0,0.0066,0.0082,0.0088
20,4x3,norm,VDW,0.01,0,0,0,0.005,0.0068,0.0078
20,4x3,norm,KWF,0.01,0,0,0,0.005,0.0062,0.0078
20,4x3,norm,RNK,0.05,0.5,0.5,0,0.6698,0.7966,0.0508
20,4x3,norm,INT,0.05,0.5,0.5,0,0.692,0.82,0.0544
20,4x3,norm,VDW,0.05,0.5,0.5,0,0.6326,0.7584,0.047
20,4x3,norm,KWF,0.05,0.5,0.5,0,0.6262,0.7512,0.0466
20,4x3,norm,RNK,0.01,0.5,0.5,0,0.4322,0.554,0.0096
20,4x3,norm,INT,0.01,0.5,0.5,0,0.4518,0.579,0.0116
20,4x3,norm,VDW,0.01,0.5,0.5,0,0.359,0.4828,0.0096
20,4x3,norm,KWF,0.01,0.5,0.5,0,0.351,0.47,0.0084
20,4x3,norm,RNK,0.05,1,1,0,0.9992,1,0.0522
20,4x3,norm,INT,0.05,1,1,0,0.9996,1,0.0464
20,4x3,norm,VDW,0.05,1,1,0,0.9988,1,0.047
20,4x3,norm,KWF,0.05,1,1,0,0.9986,1,0.047
20,4x3,norm,RNK,0.01,1,1,0,0.99,0.9982,0.008
20,4x3,norm,INT,0.01,1,1,0,0.995,0.9996,0.0088
20,4x3,norm,VDW,0.01,1,1,0,0.9792,0.997,0.0082
20,4x3,norm,KWF,0.01,1,1,0,0.9782,0.9968,0.0086
20,4x3,norm,RNK,0.05,2,2,0,1,1,0.1002
20,4x3,norm,INT,0.05,2,2,0,1,1,0.037
20,4x3,norm,VDW,0.05,2,2,0,1,1,0.054
20,4x3,norm,KWF,0.05,2,2,0,1,1,0.1024
20,4x3,norm,RNK,0.01,2,2,0,1,1,0.0202
20,4x3,norm,INT,0.01,2,2,0,1,1,0.0072
20,4x3,norm,VDW,0.01,2,2,0,1,1,0.0088
20,4x3,norm,KWF,0.01,2,2,0,1,1,0.0212
20,4x3,norm,RNK,0.05,4,4,0,1,1,0.7316
20,4x3,norm,INT,0.05,4,4,0,1,1,0.0536
20,4x3,norm,VDW,0.05,4,4,0,1,1,0.1764
20,4x3,norm,KWF,0.05,4,4,0,1,1,0.7556
20,4x3,norm,RNK,0.01,4,4,0,1,1,0.5118
20,4x3,norm,INT,0.01,4,4,0,1,1,0.011
20,4x3,norm,VDW,0.01,4,4,0,1,1,0.0518
20,4x3,norm,KWF,0.01,4,4,0,1,1,0.5392
20,4x3,norm,RNK,0.05,8,8,0,1,1,0.9886
20,4x3,norm,INT,0.05,8,8,0,1,1,0.3838
20,4x3,norm,VDW,0.05,8,8,0,1,1,0.7232
20,4x3,norm,KWF,0.05,8,8,0,1,1,0.9878
20,4x3,norm,RNK,0.01,8,8,0,1,1,0.9748
20,4x3,norm,INT,0.01,8,8,0,1,1,0.1892
20,4x3,norm,VDW,0.01,8,8,0,1,1,0.5334
20,4x3,norm,KWF,0.01,8,8,0,1,1,0.9724
20,4x3,norm,RNK,0.05,0.5,0,0,0.659,0.047,0.052
20,4x3,norm,INT,0.05,0.5,0,0,0.6788,0.0458,0.0512
20,4x3,norm,VDW,0.05,0.5,0,0,0.6148,0.0398,0.0464
20,4x3,norm,KWF,0.05,0.5,0,0,0.6076,0.04,0.0456
20,4x3,norm,RNK,0.01,0.5,0,0,0.4144,0.0094,0.0112
20,4x3,norm,INT,0.01,0.5,0,0,0.44,0.0102,0.0096
20,4x3,norm,VDW,0.01,0.5,0,0,0.3522,0.0072,0.0074
20,4x3,norm,KWF,0.01,0.5,0,0,0.342,0.0078,0.0076
