n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,4.2558,2.7879,0,1.644,1.222,0.1608,1.6578,1.205,0.261,1.6728,1.2354,0.1527,1.563,1.1718,0.1696,1.644,1.222,0.1608
20,4x3,norm,-4.8776,3.3815,0,1.7478,1.5137,0.2019,1.6585,1.436,0.2676,1.757,1.4574,0.1933,1.6587,1.4224,0.1588,1.7478,1.5137,0.2019
20,4x3,norm,6.8281,-2.8402,0,3.0723,1.6983,0.0746,2.3117,1.4622,0.4614,1.7059,1.58,0.0898,2.2938,1.5507,0.3087,3.0723,1.6983,0.0746
20,4x3,norm,4.328,2.7928,0,1.95,1.235,0.1545,1.8649,1.1544,0.1286,1.923,1.2189,0.156,1.8398,1.2211,0.1888,1.95,1.235,0.1545
20,4x3,norm,-2.0021,5.444,0,0.7025,2.4624,0.184,0.6765,2.5321,0.1702,0.6915,2.4588,0.1668,0.6673,2.1092,0.2265,0.7025,2.4624,0.184
20,4x3,norm,-2.1402,-4.7461,0,0.9543,2.0839,0.1725,0.9262,2.153,0.1666,1.0034,2.1623,0.1747,0.9095,1.8904,0.1411,0.9543,2.0839,0.1725
20,4x3,norm,-3.3663,-1.3634,0,1.6173,0.5848,0.2189,1.7258,0.556,0.2634,1.6625,0.5679,0.2642,1.5408,0.5965,0.1991,1.6173,0.5848,0.2189
20,4x3,norm,-3.8874,5.5482,0,1.7083,2.3941,0.147,1.7151,2.489,0.3826,1.7676,2.212,0.1157,1.5966,2.1568,0.1278,1.7083,2.3941,0.147
20,4x3,norm,-3.8967,7.1823,0,1.8779,3.7801,0.2127,1.7807,3.4233,0.4113,1.8923,2.6769,0.1979,1.6241,2.7576,0.2857,1.8779,3.7801,0.2127
20,4x3,norm,4.4157,-1.1068,0,1.7037,0.3245,0.2728,1.7709,0.3406,0.3131,1.7407,0.3267,0.2637,1.6016,0.3019,0.2548,1.7037,0.3245,0.2728
20,4x3,norm,1.4841,0.9416,0,0.7105,0.3869,0.233,0.6793,0.3617,0.1908,0.6963,0.3787,0.2199,0.707,0.3869,0.233,0.7105,0.3869,0.233
20,4x3,norm,4.0999,3.9714,0,1.7328,1.9835,0.1927,1.7479,2.0002,0.4101,1.7917,1.6035,0.2046,1.663,1.8374,0.2274,1.7328,1.9835,0.1927
20,4x3,norm,6.4875,5.4103,0,2.5702,2.3643,0.0981,2.183,2.1039,0.4951,1.3001,2.3139,0.1193,1.9676,1.902,0.1969,2.5702,2.3643,0.0981
20,4x3,norm,-3.0035,3.4449,0,1.4768,1.6639,0.1153,1.4474,1.6528,0.2168,1.5245,1.6245,0.1312,1.4041,1.5854,0.126,1.4768,1.6639,0.1153
20,4x3,norm,5.1671,-6.8427,0,2.5124,3.0584,0.2177,2.0041,2.5505,0.4116,2.1287,1.9846,0.2012,1.7847,2.2078,0.2277,2.5124,3.0584,0.2177
20,4x3,norm,-7.2268,2.0311,0,3.4403,0.9633,0.1669,2.307,0.9006,0.3083,2.0024,1.0124,0.1534,2.0722,0.9145,0.2655,3.4403,0.9633,0.1669
20,4x3,norm,3.471,3.4642,0,1.2674,1.4249,0.1409,1.2797,1.5109,0.2642,1.2953,1.5146,0.1547,1.2615,1.4141,0.1283,1.2674,1.4249,0.1409
20,4x3,norm,0.6404,-0.8277,0,0.2897,0.4279,0.1418,0.2937,0.4272,0.1621,0.3007,0.4365,0.1435,0.287,0.4306,0.1484,0.2897,0.4279,0.1418
20,4x3,norm,7.0015,-1.3933,0,2.8884,0.6057,0.213,2.6072,0.6221,0.2756,2.5261,0.5852,0.217,2.1503,0.5794,0.2629,2.8884,0.6057,0.213
20,4x3,norm,-3.4792,1.7248,0,1.4729,0.7701,0.1312,1.3453,0.7338,0.2079,1.3023,0.7588,0.124,1.3159,0.7281,0.0988,1.4729,0.7701,0.1312
20,4x3,norm,-1.3818,-5.2516,0,0.694,2.6097,0.0974,0.625,2.067,0.1963,0.6515,1.8718,0.0807,0.6571,1.795,0.1775,0.694,2.6097,0.0974
20,4x3,norm,-7.0371,1.018,0,3.3515,0.4899,0.2305,2.669,0.4362,0.2205,2.5229,0.4722,0.2197,2.0821,0.458,0.2886,3.3515,0.4899,0.2305
20,4x3,norm,-1.317,7.1718,0,0.4893,3.2795,0.1852,0.4198,1.792,0.1125,0.4926,1.6929,0.1882,0.4619,1.575,0.1452,0.4893,3.2795,0.1852
20,4x3,norm,6.3307,-0.6006,0,3.161,0.1917,0.1766,2.3274,0.1549,0.1496,2.3033,0.1546,0.1627,1.7955,0.1904,0.2121,3.161,0.1917,0.1766
20,4x3,norm,-0.8836,-4.474,0,0.47,1.8251,0.116,0.4204,1.9216,0.0831,0.4404,1.9525,0.1129,0.4583,1.7214,0.1395,0.47,1.8251,0.116
20,4x3,norm,2.776,-7.8243,0,1.1762,3.913,0.2094,1.0925,2.3482,0.3789,1.1156,1.7011,0.1857,1.0773,1.9819,0.2488,1.1762,3.913,0.2094
20,4x3,norm,-0.3175,-1.6662,0,0.1163,0.6276,0.1152,0.0921,0.6467,0.0953,0.0974,0.6487,0.1055,0.1165,0.6457,0.1134,0.1163,0.6276,0.1152
20,4x3,norm,6.193,-3.763,0,2.7385,1.7708,0.1465,2.3486,1.627,0.4437,1.8205,1.6561,0.1496,2.207,1.6032,0.2899,2.7385,1.7708,0.1465
20,4x3,norm,-4.5703,-4.3497,0,1.8194,1.9129,0.1758,1.7259,1.8162,0.3443,1.5265,1.9534,0.1612,1.693,1.7702,0.141,1.8194,1.9129,0.1758
20,4x3,norm,-4.3419,-0.1997,0,2.0963,0.1721,0.2327,1.9672,0.1801,0.2436,1.9223,0.1729,0.2268,1.5307,0.1642,0.1842,2.0963,0.1721,0.2327
20,4x3,norm,4.3401,6.5521,0,2.1233,3.0663,0.1116,2.088,3.1187,0.3909,2.0025,2.8227,0.1144,1.8233,2.5688,0.1516,2.1233,3.0663,0.1116
20,4x3,norm,2.2062,0.6392,0,0.9545,0.361,0.2627,0.9052,0.3559,0.2934,0.8667,0.3734,0.2881,0.9274,0.3671,0.2683,0.9545,0.361,0.2627
20,4x3,norm,-0.7223,0.8157,0,0.3052,0.343,0.1432,0.3053,0.3328,0.1303,0.2896,0.3297,0.1364,0.3014,0.349,0.151,0.3052,0.343,0.1432
20,4x3,norm,-5.0568,4.1875,0,1.9624,1.8035,0.1617,1.8236,1.6945,0.4034,1.665,1.5955,0.1903,1.6841,1.5456,0.2394,1.9624,1.8035,0.1617
20,4x3,norm,-7.9879,-7.7718,0,3.1741,3.7663,0.137,3.0568,3.6985,0.6416,2.7232,2.5134,0.1305,2.6684,3.0508,0.234,3.1741,3.7663,0.137
20,4x3,norm,-7.7219,5.4543,0,3.1852,2.6203,0.2722,3.0309,2.3975,0.6392,2.6348,1.6146,0.2759,2.3479,1.8726,0.2831,3.1852,2.6203,0.2722
20,4x3,norm,-0.4228,2.8876,0,0.1766,1.3909,0.2103,0.1943,1.4082,0.2169,0.1785,1.4049,0.2236,0.1589,1.2805,0.1889,0.1766,1.3909,0.2103
20,4x3,norm,4.2383,-4.4407,0,1.6379,2.2081,0.2555,1.4058,1.9965,0.4125,1.4405,1.6641,0.2317,1.3364,1.7785,0.2486,1.6379,2.2081,0.2555
20,4x3,norm,6.8323,-0.8696,0,3.0481,0.4695,0.1264,1.9113,0.4344,0.1918,1.7968,0.4644,0.1154,1.6989,0.4401,0.1651,3.0481,0.4695,0.1264
20,4x3,norm,7.8125,6.776,0,3.1848,2.7001,0.1791,3.1816,2.5993,0.511,2.6143,2.6522,0.1748,2.7131,2.3086,0.2677,3.1848,2.7001,0.1791
20,4x3,norm,2.46,-3.6471,0,1.0419,1.6916,0.1102,0.991,1.7253,0.2212,1.0292,1.6804,0.1371,1.025,1.6165,0.1337,1.0419,1.6916,0.1102
20,4x3,norm,-3.4062,-0.9835,0,1.4131,0.4099,0.1427,1.2254,0.4042,0.1749,1.196,0.398,0.1374,1.1806,0.4079,0.1242,1.4131,0.4099,0.1427
20,4x3,norm,-3.9216,-7.5764,0,1.4839,3.3695,0.1471,1.3828,3.0626,0.2821,1.4345,2.6905,0.1507,1.3608,2.5801,0.266,1.4839,3.3695,0.1471
20,4x3,norm,0.5807,-1.8868,0,0.3427,0.8525,0.1137,0.3296,0.8161,0.1044,0.3517,0.8428,0.12,0.3251,0.7905,0.0898,0.3427,0.8525,0.1137
20,4x3,norm,-7.573,-1.4483,0,3.2616,0.5899,0.1549,2.6868,0.5587,0.1568,2.4872,0.5631,0.1703,2.072,0.5395,0.1683,3.2616,0.5899,0.1549
20,4x3,norm,-2.5763,2.7417,0,1.056,1.2998,0.1372,0.982,1.2685,0.1688,1.0646,1.2395,0.1571,1.0248,1.2122,0.1537,1.056,1.2998,0.1372
20,4x3,norm,-5.6575,-1.284,0,2.5235,0.7385,0.1681,1.8217,0.6696,0.2595,1.6932,0.725,0.1825,1.7785,0.7398,0.2564,2.5235,0.7385,0.1681
20,4x3,norm,-7.0401,5.6761,0,3.2273,2.7676,0.1322,2.408,2.0177,0.5622,1.8609,1.8625,0.1447,2.0036,1.6493,0.1954,3.2273,2.7676,0.1322
20,4x3,norm,-0.1173,2.7091,0,0.1092,1.3361,0.1289,0.1151,1.3181,0.1181,0.1061,1.3087,0.1299,0.099,1.2072,0.122,0.1092,1.3361,0.1289
20,4x3,norm,-2.0765,-2.5287,0,0.9916,1.2485,0.1305,0.9676,1.2178,0.1313,1.0255,1.2539,0.1836,0.9596,1.1966,0.1484,0.9916,1.2485,0.1305
20,4x3,norm,-2.0322,-6.8564,0,1.0734,3.7477,0.1119,1.0113,2.3814,0.3551,1.0403,1.8559,0.0995,1.018,2.0743,0.22,1.0734,3.7477,0.1119
20,4x3,norm,-2.9094,7.5925,0,1.2608,3.4841,0.1698,1.1557,3.4593,0.2421,1.1302,3.1638,0.1943,1.0581,2.6556,0.2501,1.2608,3.4841,0.1698
20,4x3,norm,3.1381,6.3936,0,1.3819,2.9961,0.1766,1.2948,3.1558,0.2145,1.3239,3.0665,0.1443,1.273,2.6588,0.206,1.3819,2.9961,0.1766
20,4x3,norm,-4.1394,-0.1688,0,1.5892,0.0785,0.1473,1.6165,0.078,0.141,1.6083,0.0558,0.1508,1.4426,0.0855,0.1539,1.5892,0.0785,0.1473
20,4x3,norm,-4.0528,-0.4878,0,1.818,0.1688,0.1345,1.9378,0.1832,0.1215,1.9214,0.1379,0.1416,1.6274,0.1767,0.1377,1.818,0.1688,0.1345
20,4x3,norm,-3.9068,2.2142,0,1.9248,1.0668,0.1689,1.9743,1.0252,0.2053,1.8796,1.0146,0.1743,1.7139,1.0209,0.1567,1.9248,1.0668,0.1689
20,4x3,norm,-0.9835,6.0462,0,0.3572,2.7967,0.1281,0.3547,2.5986,0.082,0.3526,2.5539,0.1392,0.3527,2.0958,0.1495,0.3572,2.7967,0.1281
20,4x3,norm,6.6154,2.4646,0,2.8945,1.2366,0.1372,2.0883,1.1328,0.3366,1.6522,1.2795,0.1436,1.9621,1.1254,0.2052,2.8945,1.2366,0.1372
20,4x3,norm,-2.257,-3.2327,0,0.8078,1.5437,0.1906,0.735,1.5015,0.1685,0.794,1.53,0.1789,0.7769,1.4449,0.1675,0.8078,1.5437,0.1906
20,4x3,norm,7.8352,-0.7223,0,3.3915,0.3949,0.1556,2.6118,0.4287,0.2821,2.4627,0.3799,0.1596,2.2902,0.3783,0.1406,3.3915,0.3949,0.1556
20,4x3,norm,-2.1614,-4.5756,0,0.8982,2.0725,0.1651,0.8357,2.0054,0.214,0.8703,1.9255,0.1737,0.8677,1.8245,0.1895,0.8982,2.0725,0.1651
20,4x3,norm,0.3943,3.0066,0,0.1303,1.3084,0.1849,0.1366,1.3404,0.1604,0.1311,1.36,0.1819,0.1326,1.2767,0.187,0.1303,1.3084,0.1849
20,4x3,norm,-2.4953,-0.5543,0,1.0843,0.3241,0.082,1.0683,0.3059,0.1026,1.0662,0.2984,0.0895,1.0377,0.3074,0.0744,1.0843,0.3241,0.082
20,4x3,norm,-5.9241,-2.1798,0,2.093,0.9271,0.1871,1.9355,0.8557,0.2762,1.8512,0.953,0.1507,1.9168,0.9043,0.1977,2.093,0.9271,0.1871
20,4x3,norm,7.6567,-2.0921,0,3.105,0.9001,0.1426,2.2506,0.8224,0.2669,2.1173,0.882,0.1519,2.1476,0.8663,0.2615,3.105,0.9001,0.1426
20,4x3,norm,3.8077,-7.5322,0,1.6408,3.1445,0.2344,1.6644,3.208,0.4058,1.7506,2.6878,0.2273,1.4997,2.6266,0.3159,1.6408,3.1445,0.2344
20,4x3,norm,4.5116,3.1411,0,1.8226,1.6239,0.2039,1.6602,1.5777,0.2913,1.5798,1.6385,0.2167,1.6641,1.5423,0.177,1.8226,1.6239,0.2039
20,4x3,norm,2.1883,4.5286,0,0.9219,2.4177,0.1082,0.8549,2.0377,0.2716,0.8496,1.6887,0.1151,0.788,1.6825,0.0959,0.9219,2.4177,0.1082
20,4x3,norm,6.0502,-6.1069,0,2.5323,2.8095,0.1374,2.4285,2.7975,0.445,2.2611,2.7406,0.1206,2.287,2.5434,0.1081,2.5323,2.8095,0.1374
20,4x3,norm,0.4713,-1.7717,0,0.1773,0.7302,0.1812,0.1786,0.7298,0.2029,0.1697,0.7289,0.1907,0.176,0.7117,0.1851,0.1773,0.7302,0.1812
20,4x3,norm,1.0599,7.0782,0,0.4712,3.4828,0.1787,0.4106,2.0569,0.173,0.4697,2.0136,0.189,0.4292,1.7896,0.1784,0.4712,3.4828,0.1787
20,4x3,norm,-3.0434,1.2128,0,1.3284,0.6203,0.1298,1.1964,0.5927,0.2296,1.1121,0.6537,0.1502,1.1794,0.6136,0.1508,1.3284,0.6203,0.1298
20,4x3,norm,2.5414,2.6211,0,1.067,1.1449,0.1401,1.063,1.125,0.1771,1.0847,1.1403,0.1344,1.0506,1.1161,0.1475,1.067,1.1449,0.1401
20,4x3,norm,0.9276,3.8379,0,0.4359,1.9371,0.1392,0.4114,1.6442,0.166,0.428,1.5648,0.1569,0.4038,1.4651,0.1571,0.4359,1.9371,0.1392
20,4x3,norm,2.528,-7.6822,0,1.1826,3.6787,0.1695,1.1426,3.5475,0.2106,1.2318,3.1184,0.1583,0.9852,2.6059,0.1297,1.1826,3.6787,0.1695
20,4x3,norm,-4.0624,5.9626,0,1.7364,2.8256,0.1175,1.3074,2.2344,0.2916,1.3535,1.6318,0.1348,1.3923,2.0674,0.2681,1.7364,2.8256,0.1175
20,4x3,norm,5.692,1.7824,0,2.8372,0.797,0.2014,2.6224,0.7927,0.1883,2.3692,0.8011,0.2058,2.0116,0.7141,0.2007,2.8372,0.797,0.2014
20,4x3,norm,6.7294,-5.0491,0,2.9953,2.3929,0.2561,2.9246,2.3879,0.6114,2.2943,2.5215,0.2142,2.4485,2.0696,0.2447,2.9953,2.3929,0.2561
20,4x3,norm,1.716,-6.9061,0,0.7406,3.2343,0.1367,0.6539,2.0118,0.1616,0.7269,1.77,0.1382,0.671,1.7546,0.1741,0.7406,3.2343,0.1367
20,4x3,norm,7.535,7.7027,0,3.312,3.5708,0.1169,2.4306,2.6629,0.53,2.4721,1.5602,0.1146,1.9392,2.0565,0.1889,3.312,3.5708,0.1169
20,4x3,norm,2.9156,4.7565,0,1.13,2.2242,0.0962,1.0993,2.2915,0.2058,1.1487,2.2675,0.1,1.0948,2.0475,0.1771,1.13,2.2242,0.0962
20,4x3,norm,1.0945,-4.0173,0,0.48,2.0884,0.081,0.4584,1.8224,0.1456,0.4894,1.7268,0.0995,0.4738,1.5773,0.1125,0.48,2.0884,0.081
20,4x3,norm,-3.4483,-4.4459,0,1.3174,1.8042,0.1851,1.3362,1.9217,0.3509,1.1582,1.9686,0.19,1.2508,1.7074,0.1727,1.3174,1.8042,0.1851
20,4x3,norm,1.8015,-1.685,0,0.7458,0.6935,0.2431,0.7478,0.6579,0.2351,0.7523,0.6647,0.2489,0.7563,0.6803,0.2194,0.7458,0.6935,0.2431
20,4x3,norm,1.4878,0.9164,0,0.3887,0.2959,0.088,0.3869,0.2989,0.0907,0.3937,0.3096,0.081,0.393,0.2955,0.0918,0.3887,0.2959,0.088
20,4x3,norm,6.5377,7.4264,0,2.653,3.1389,0.2377,2.4163,2.9787,0.4929,2.038,2.9135,0.2368,2.1626,2.5522,0.1386,2.653,3.1389,0.2377
