Participant,Difficulty,Technique,Time
P01,Level1,A,0.2
P01,Level1,B,0.17
P01,Level1,C,0.14
P01,Level2,A,0.45
P01,Level2,B,0.5
P01,Level2,C,0.27
P01,Level3,A,0.64
P01,Level3,B,0.63
P01,Level3,C,0.83
P01,Level4,A,0.75
P01,Level4,B,1.35
P01,Level4,C,1.25
P02,Level1,A,0.71
P02,Level1,B,0.47
P02,Level1,C,0.59
P02,Level2,A,1.82
P02,Level2,B,0.87
P02,Level2,C,1.29
P02,Level3,A,1.35
P02,Level3,B,4.44
P02,Level3,C,1.92
P02,Level4,A,3.22
P02,Level4,B,9.62
P02,Level4,C,5.33
P03,Level1,A,0.55
P03,Level1,B,0.21
P03,Level1,C,0.43
P03,Level2,A,0.88
P03,Level2,B,1.07
P03,Level2,C,1.36
P03,Level3,A,0.85
P03,Level3,B,0.66
P03,Level3,C,2.19
P03,Level4,A,3.21
P03,Level4,B,3.44
P03,Level4,C,2.07
P04,Level1,A,0.54
P04,Level1,B,0.41
P04,Level1,C,0.52
P04,Level2,A,1.02
P04,Level2,B,0.61
P04,Level2,C,0.8
P04,Level3,A,2.19
P04,Level3,B,1.75
P04,Level3,C,2.36
P04,Level4,A,9.82
P04,Level4,B,4.32
P04,Level4,C,3.58
P05,Level1,A,0.79
P05,Level1,B,0.78
P05,Level1,C,0.45
P05,Level2,A,2.41
P05,Level2,B,0.99
P05,Level2,C,1.8
P05,Level3,A,2.7
P05,Level3,B,2.85
P05,Level3,C,2.25
P05,Level4,A,3.13
P05,Level4,B,5.38
P05,Level4,C,6.24
P06,Level1,A,0.64
P06,Level1,B,0.23
P06,Level1,C,0.34
P06,Level2,A,0.9
P06,Level2,B,0.93
P06,Level2,C,0.45
P06,Level3,A,1.32
P06,Level3,B,1.34
P06,Level3,C,1.8
P06,Level4,A,5.47
P06,Level4,B,4.64
P06,Level4,C,2.5
P07,Level1,A,0.17
P07,Level1,B,0.17
P07,Level1,C,0.16
P07,Level2,A,0.24
P07,Level2,B,0.3
P07,Level2,C,0.27
P07,Level3,A,0.72
P07,Level3,B,1.3
P07,Level3,C,0.36
P07,Level4,A,1.06
P07,Level4,B,1.01
P07,Level4,C,0.55
P08,Level1,A,0.36
P08,Level1,B,0.38
P08,Level1,C,0.22
P08,Level2,A,0.69
P08,Level2,B,1.02
P08,Level2,C,0.89
P08,Level3,A,0.99
P08,Level3,B,1.75
P08,Level3,C,1.15
P08,Level4,A,3.87
P08,Level4,B,4.63
P08,Level4,C,4.89
P09,Level1,A,0.33
P09,Level1,B,0.24
P09,Level1,C,0.21
P09,Level2,A,0.39
P09,Level2,B,1.01
P09,Level2,C,0.42
P09,Level3,A,0.79
P09,Level3,B,1.17
P09,Level3,C,1.86
P09,Level4,A,3.47
P09,Level4,B,2.86
P09,Level4,C,1.21
P10,Level1,A,0.18
P10,Level1,B,0.24
P10,Level1,C,0.59
P10,Level2,A,0.27
P10,Level2,B,0.77
P10,Level2,C,0.61
P10,Level3,A,1.57
P10,Level3,B,0.9
P10,Level3,C,1.43
P10,Level4,A,4.73
P10,Level4,B,3.71
P10,Level4,C,1.13
P11,Level1,A,0.15
P11,Level1,B,0.57
P11,Level1,C,0.38
P11,Level2,A,1.43
P11,Level2,B,0.39
P11,Level2,C,0.79
P11,Level3,A,1.9
P11,Level3,B,2.14
P11,Level3,C,0.89
P11,Level4,A,3.92
P11,Level4,B,7.19
P11,Level4,C,3.62
P12,Level1,A,0.23
P12,Level1,B,0.41
P12,Level1,C,0.56
P12,Level2,A,1.09
P12,Level2,B,1.06
P12,Level2,C,0.98
P12,Level3,A,1.7
P12,Level3,B,1.39
P12,Level3,C,1.42
P12,Level4,A,3.09
P12,Level4,B,6.24
P12,Level4,C,1.14
