;UserID;TrialID;Type;isFoV;SecInFov;TimesInFov;Detected;TimeToDetect;TimeToDetectFromFirst;Manipulation;Size;Distance;Isolated;Complexity;Detection Ratio
0;0;0;CH;False;11.523007958536596;8.0;False;45.1;0.01429659971814304;Manipulation_CH_001;0;1;1;0;19.0
1;0;1;AD;False;6.191024480440659;7.0;False;45.1;8.366427512086142;Manipulation_AD_002;1;1;0;1;19.0
2;0;2;FOV;True;9.550111471300651;1.0;True;18.6;9.04988852869933;Manipulation_FOV_RE_001;0;0;0;0;19.0
3;0;3;AD;False;4.441793375218415;8.0;False;45.1;11.81934644410573;Manipulation_AD_003;0;1;1;0;19.0
4;0;4;FOV;True;43.28035274815419;1.0;False;45.1;0.006943305077030882;Manipulation_FOV_RE_000;0;0;1;0;19.0
5;0;5;FOV;True;43.30860773598357;1.0;False;45.1;0.010235471475499755;Manipulation_FOV_CH_000;0;0;1;1;19.0
6;0;6;CH;False;10.284620237332957;5.0;True;26.0;14.031926525256946;Manipulation_CH_005;1;1;1;1;19.0
7;0;7;RE;False;15.110984527461357;10.0;True;29.8;8.65025387563468;Manipulation_RE_000;0;0;0;0;19.0
8;0;8;RE;False;6.150514823196873;15.0;False;45.1;0.009309592172982164;Manipulation_RE_004;0;1;1;1;19.0
10;0;10;RE;False;8.863417762103307;8.0;True;17.1;0.010234049374806913;Manipulation_RE_002;0;0;1;1;19.0
11;0;11;AD;False;11.73107956866982;12.0;False;45.1;0.011216713151311078;Manipulation_AD_005;1;1;0;0;19.0
12;0;12;FOV;True;9.5;1.0;True;9.5;0.006670480846758768;Manipulation_FOV_AD_000;1;1;0;1;19.0
13;0;13;FOV;True;43.084533531488056;1.0;False;45.1;0.00938361508453206;Manipulation_FOV_CH_002;1;1;0;1;19.0
14;0;14;CH;False;17.909292351679987;9.0;False;45.1;1.2208312059634188;Manipulation_CH_002;0;0;1;0;19.0
15;0;15;RE;False;20.7611010333105;10.0;True;31.3;0.011776245952091823;Manipulation_RE_001;0;1;0;0;19.0
16;0;16;FOV;True;4.680984445757059;1.0;True;6.4;1.7260720614293996;Manipulation_FOV_CH_001;1;0;1;0;19.0
17;0;17;AD;False;13.56958519715836;11.0;False;45.1;21.088229710934826;Manipulation_AD_004;1;0;1;0;19.0
19;0;19;RL;False;8.015665896843593;6.0;True;16.6;7.282866628175554;Manipulation_RL_000;0;0;1;0;19.0
23;0;23;CH;False;5.587474264341804;11.0;False;45.1;0.8141979914949763;Manipulation_CH_004;1;1;0;0;19.0
25;0;25;RL;False;7.77761585170975;7.0;True;35.6;22.415826142537664;Manipulation_RL_002;1;1;0;1;19.0
26;0;26;FOV;True;8.818888745482914;1.0;True;11.4;1.4544269488899468;Manipulation_FOV_AD_001;1;1;1;0;19.0
27;0;27;RL;False;9.904898905628944;7.0;True;33.9;22.10686926436665;Manipulation_RL_001;0;1;0;0;19.0
28;0;28;RL;False;12.137564868031928;9.0;False;45.1;15.429697933523126;Manipulation_RL_003;0;0;1;1;19.0
29;0;29;RE;False;11.267851431274938;13.0;False;45.1;1.7920501537733882;Manipulation_RE_005;1;0;1;1;19.0
30;0;30;AD;False;9.780995522232503;7.0;False;45.1;29.26485473289597;Manipulation_AD_001;0;1;0;0;19.0
31;0;31;CH;False;4.616049777179795;5.0;True;23.7;17.273320440595324;Manipulation_CH_006;1;1;0;0;19.0
32;0;32;RL;False;11.192235541814421;2.0;False;45.1;0.011976252347173307;Manipulation_RL_004;0;0;1;1;19.0
33;0;33;AD;False;5.243967288739711;6.0;True;8.4;0.9810861815895304;Manipulation_AD_000;0;0;0;0;19.0
34;0;34;RE;False;20.614759805207413;13.0;False;45.1;1.2528338953984184;Manipulation_RE_003;0;1;1;0;19.0
35;1;0;AD;False;16.890918983749824;5.0;True;37.3;4.821531280610304;Manipulation_AD_001;0;1;0;0;21.0
36;1;1;AD;False;9.094006155348817;6.0;False;45.1;3.2932110894606907;Manipulation_AD_004;1;0;1;0;21.0
37;1;2;FOV;True;21.838849973058228;1.0;True;27.5;0.4930336386729295;Manipulation_FOV_CH_001;1;0;1;0;21.0
38;1;3;RL;False;11.586586655538161;2.0;False;45.1;1.2307002063127277;Manipulation_RL_004;0;0;1;1;21.0
39;1;4;CH;False;14.566902924593803;6.0;True;36.2;6.358260860199992;Manipulation_CH_002;0;0;1;0;21.0
44;1;9;AD;False;4.4123847555614635;6.0;True;34.4;13.46369794045846;Manipulation_AD_003;0;1;1;0;21.0
45;1;10;CH;False;5.7877614063551714;7.0;True;13.1;2.2623236838933867;Manipulation_CH_003;0;1;1;1;21.0
46;1;11;RL;False;5.524520207179172;6.0;True;35.3;25.782366937858253;Manipulation_RL_001;0;1;0;0;21.0
47;1;12;AD;False;7.277814334807759;8.0;False;45.1;0.009730162888464108;Manipulation_AD_006;1;1;0;1;21.0
49;1;14;RL;False;11.547671768153783;12.0;False;45.1;3.1825138391403414;Manipulation_RL_006;1;1;1;1;21.0
50;1;15;RE;False;10.306475135018989;13.0;False;45.1;0.010055824400894912;Manipulation_RE_003;0;1;1;0;21.0
51;1;16;FOV;True;34.911092339223316;1.0;False;45.1;4.705359220074284;Manipulation_FOV_AD_000;1;1;0;1;21.0
52;1;17;AD;False;7.682166824529937;8.0;True;19.2;2.8013945708470187;Manipulation_AD_002;1;1;0;1;21.0
53;1;18;FOV;True;21.482406680465328;1.0;True;25.4;3.533991863535816;Manipulation_FOV_CH_002;1;1;0;1;21.0
54;1;19;RL;False;5.288932127732596;7.0;True;17.0;8.137896303078882;Manipulation_RL_000;0;0;1;0;21.0
55;1;20;CH;False;5.6536059318847895;8.0;False;45.1;0.011443688444496348;Manipulation_CH_001;0;1;1;0;21.0
56;1;21;AD;False;6.297033005312167;11.0;False;45.1;9.664510145432374;Manipulation_AD_005;1;1;0;0;21.0
57;1;22;RE;False;7.6993533381046095;10.0;True;28.6;0.010234127389844779;Manipulation_RE_006;1;1;0;0;21.0
58;1;23;FOV;True;40.835254268745324;1.0;False;45.1;0.011718634001398021;Manipulation_FOV_CH_000;0;0;1;1;21.0
60;1;25;FOV;True;18.404291141706647;1.0;True;24.7;2.746627808806236;Manipulation_FOV_AD_001;1;1;1;0;21.0
62;1;27;RL;False;4.4286624810646575;8.0;False;45.1;9.928934958032887;Manipulation_RL_002;1;1;0;1;21.0
63;1;28;RE;False;11.547515450142011;11.0;True;27.3;2.1564431267745734;Manipulation_RE_001;0;1;0;0;21.0
64;1;29;CH;False;5.23877283363514;9.0;False;45.1;9.3009388209541;Manipulation_CH_004;1;1;0;0;21.0
65;1;30;FOV;True;39.42143082405616;1.0;False;45.1;0.009600586584266069;Manipulation_FOV_RE_000;0;0;1;0;21.0
66;1;31;CH;False;6.101009075710761;5.0;True;18.9;11.248817769285953;Manipulation_CH_000;0;0;1;0;21.0
67;1;32;RE;False;8.17439633638554;11.0;False;45.1;1.1739279766861808;Manipulation_RE_000;0;0;0;0;21.0
68;1;33;RL;False;15.086299361055813;17.0;False;45.1;0.01159526552845702;Manipulation_RL_003;0;0;1;1;21.0
69;1;34;RE;False;14.622706583309533;9.0;True;17.3;0.919793204176114;Manipulation_RE_002;0;0;1;1;21.0
70;2;0;AD;False;19.09741803626029;8.0;False;45.1;5.256447575151087;Manipulation_AD_006;1;1;0;1;21.0
71;2;1;RE;False;18.030354912527024;5.0;False;45.1;7.455835348914229;Manipulation_RE_000;0;0;0;0;21.0
72;2;2;FOV;True;17.296286018329088;1.0;True;25.7;0.010845175080502062;Manipulation_FOV_CH_002;1;1;0;1;21.0
73;2;3;FOV;True;29.276111865132545;1.0;False;45.1;1.1779372913486927;Manipulation_FOV_AD_000;1;1;0;1;21.0
74;2;4;CH;False;8.275830461436168;5.0;False;45.1;0.011626599707947582;Manipulation_CH_003;0;1;1;1;21.0
75;2;5;RL;False;13.98249563291929;5.0;False;45.1;0.011641637498005923;Manipulation_RL_002;1;1;0;1;21.0
76;2;6;AD;False;16.20983910879377;5.0;False;45.1;0.011868803047458607;Manipulation_AD_005;1;1;0;0;21.0
77;2;7;AD;False;9.671228494559603;7.0;False;45.1;0.011811623532786695;Manipulation_AD_002;1;1;0;1;21.0
79;2;9;AD;False;10.782476230262418;5.0;True;29.3;8.420577612555928;Manipulation_AD_001;0;1;0;0;21.0
80;2;10;CH;False;11.098975706343806;5.0;False;45.1;0.01202117127409282;Manipulation_CH_001;0;1;1;0;21.0
81;2;11;CH;False;11.000657133645694;6.0;False;45.1;1.9411414970889789;Manipulation_CH_004;1;1;0;0;21.0
82;2;12;CH;False;9.963822388872835;3.0;True;25.1;0.01126173765343882;Manipulation_CH_006;1;1;0;0;21.0
83;2;13;RE;False;14.837972741754694;7.0;True;36.0;0.011894507050571938;Manipulation_RE_002;0;0;1;1;21.0
86;2;16;FOV;True;17.474131019790214;1.0;True;29.3;7.296664237259645;Manipulation_FOV_AD_001;1;1;1;0;21.0
88;2;18;RE;False;6.539001607684352;3.0;True;20.0;13.472394635625456;Manipulation_RE_005;1;0;1;1;21.0
89;2;19;CH;False;10.942847408543091;4.0;True;28.2;0.01080873898046976;Manipulation_CH_000;0;0;1;0;21.0
90;2;20;RL;False;12.806646716450794;4.0;False;45.1;0.011143751372739309;Manipulation_RL_003;0;0;1;1;21.0
93;2;23;AD;False;5.887278481012657;3.0;True;16.7;10.813099005424943;Manipulation_AD_003;0;1;1;0;21.0
95;2;25;RE;False;4.666879989760519;5.0;True;26.0;19.27193894693055;Manipulation_RE_004;0;1;1;1;21.0
97;2;27;CH;False;4.140036023054924;3.0;True;10.3;6.159963976945248;Manipulation_CH_002;0;0;1;0;21.0
98;2;28;FOV;True;17.636471480176443;1.0;True;26.7;6.344271506934791;Manipulation_FOV_RE_000;0;0;1;0;21.0
99;2;29;FOV;True;5.937565918336596;1.0;True;6.9;0.9694515594395188;Manipulation_FOV_CH_001;1;0;1;0;21.0
101;2;31;CH;False;8.820293619531641;6.0;False;45.1;0.011585887994538356;Manipulation_CH_005;1;1;1;1;21.0
102;2;32;RE;False;17.913989685626085;4.0;False;45.1;0.011776664894861963;Manipulation_RE_001;0;1;0;0;21.0
103;2;33;RL;False;14.068118953845062;2.0;False;45.1;8.770831442728216;Manipulation_RL_004;0;0;1;1;21.0
104;2;34;RE;False;4.667688292952021;6.0;False;45.1;1.6995506428480225;Manipulation_RE_003;0;1;1;0;21.0
105;3;0;CH;False;4.862654554515993;5.0;True;21.6;8.049901094171222;Manipulation_CH_003;0;1;1;1;17.0
106;3;1;AD;False;13.381454898556203;8.0;False;45.1;0.010317436152752851;Manipulation_AD_000;0;0;0;0;17.0
107;3;2;RL;False;10.102008845833405;2.0;False;45.1;7.461760118316034;Manipulation_RL_004;0;0;1;1;17.0
108;3;3;RL;False;14.457504127290957;9.0;False;45.1;0.011590494520692357;Manipulation_RL_000;0;0;1;0;17.0
110;3;5;CH;False;6.661292413500693;7.0;False;45.1;8.436399180347179;Manipulation_CH_002;0;0;1;0;17.0
111;3;6;RE;False;5.337222702391238;7.0;True;13.4;0.9051994723194824;Manipulation_RE_006;1;1;0;0;17.0
