n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,2x4,norm,PAR,0.05,0.8,0,0,0.9667,0.0333,0.0333
20,2x4,norm,RNK,0.05,0.8,0,0,0.9667,0,0.0333
20,2x4,norm,ART,0.05,0.8,0,0,0.9667,0,0.0333
20,2x4,norm,INT,0.05,0.8,0,0,0.9667,0,0.0333
20,2x4,norm,PAR,0.01,0.8,0,0,0.8667,0,0
20,2x4,norm,RNK,0.01,0.8,0,0,0.8667,0,0
20,2x4,norm,ART,0.01,0.8,0,0,0.8667,0,0
20,2x4,norm,INT,0.01,0.8,0,0,0.8667,0,0
20,2x4,norm,PAR,0.05,0,0.8,0,0.0667,0.9667,0.0333
20,2x4,norm,RNK,0.05,0,0.8,0,0.0667,0.9667,0.0667
20,2x4,norm,ART,0.05,0,0.8,0,0.0667,0.9667,0.0667
20,2x4,norm,INT,0.05,0,0.8,0,0.0667,0.9667,0.0333
20,2x4,norm,PAR,0.01,0,0.8,0,0,0.8667,0.0333
20,2x4,norm,RNK,0.01,0,0.8,0,0,0.8667,0.0333
20,2x4,norm,ART,0.01,0,0.8,0,0,0.8333,0.0333
20,2x4,norm,INT,0.01,0,0.8,0,0,0.9,0.0333
20,2x4,lnorm,PAR,0.05,0.8,0,0,0.9667,0,0.0333
20,2x4,lnorm,RNK,0.05,0.8,0,0,1,0.0333,0.1
20,2x4,lnorm,ART,0.05,0.8,0,0,1,0.0667,0.1333
20,2x4,lnorm,INT,0.05,0.8,0,0,1,0.0333,0.0667
20,2x4,lnorm,PAR,0.01,0.8,0,0,0.7,0,0
20,2x4,lnorm,RNK,0.01,0.8,0,0,0.9333,0,0.0333
20,2x4,lnorm,ART,0.01,0.8,0,0,0.9,0,0
20,2x4,lnorm,INT,0.01,0.8,0,0,0.9333,0,0.0333
20,2x4,lnorm,PAR,0.05,0,0.8,0,0.0667,0.6333,0.0667
20,2x4,lnorm,RNK,0.05,0,0.8,0,0.1,0.9333,0.0667
20,2x4,lnorm,ART,0.05,0,0.8,0,0.2,0.9667,0.1667
20,2x4,lnorm,INT,0.05,0,0.8,0,0.1,0.9667,0.0667
20,2x4,lnorm,PAR,0.01,0,0.8,0,0,0.4,0.0333
20,2x4,lnorm,RNK,0.01,0,0.8,0,0.0333,0.8,0
