n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
32,4x3,lnorm,PAR,0.05,1,0,0,1,0,0.25
32,4x3,lnorm,RNK,0.05,1,0,0,1,0,0
32,4x3,lnorm,ART,0.05,1,0,0,1,0,0
32,4x3,lnorm,INT,0.05,1,0,0,1,0,0
32,4x3,lnorm,PAR,0.01,1,0,0,1,0,0
32,4x3,lnorm,RNK,0.01,1,0,0,1,0,0
32,4x3,lnorm,ART,0.01,1,0,0,1,0,0
32,4x3,lnorm,INT,0.01,1,0,0,1,0,0
64,4x3,lnorm,PAR,0.05,1,0,0,1,0,0
64,4x3,lnorm,RNK,0.05,1,0,0,1,0,0
64,4x3,lnorm,ART,0.05,1,0,0,1,0,0.5
64,4x3,lnorm,INT,0.05,1,0,0,1,0,0
64,4x3,lnorm,PAR,0.01,1,0,0,1,0,0
64,4x3,lnorm,RNK,0.01,1,0,0,1,0,0
64,4x3,lnorm,ART,0.01,1,0,0,1,0,0
64,4x3,lnorm,INT,0.01,1,0,0,1,0,0
128,4x3,lnorm,PAR,0.05,1,0,0,1,0.25,0
128,4x3,lnorm,RNK,0.05,1,0,0,1,0,0
128,4x3,lnorm,ART,0.05,1,0,0,1,0,0
128,4x3,lnorm,INT,0.05,1,0,0,1,0,0
128,4x3,lnorm,PAR,0.01,1,0,0,1,0,0
128,4x3,lnorm,RNK,0.01,1,0,0,1,0,0
128,4x3,lnorm,ART,0.01,1,0,0,1,0,0
128,4x3,lnorm,INT,0.01,1,0,0,1,0,0
256,4x3,lnorm,PAR,0.05,1,0,0,1,0,0
256,4x3,lnorm,RNK,0.05,1,0,0,1,0,0
256,4x3,lnorm,ART,0.05,1,0,0,1,0.25,0
256,4x3,lnorm,INT,0.05,1,0,0,1,0,0
256,4x3,lnorm,PAR,0.01,1,0,0,1,0,0
256,4x3,lnorm,RNK,0.01,1,0,0,1,0,0
256,4x3,lnorm,ART,0.01,1,0,0,1,0,0
256,4x3,lnorm,INT,0.01,1,0,0,1,0,0
512,4x3,lnorm,PAR,0.05,1,0,0,1,0,0.25
512,4x3,lnorm,RNK,0.05,1,0,0,1,0,0.25
512,4x3,lnorm,ART,0.05,1,0,0,1,0,0.25
512,4x3,lnorm,INT,0.05,1,0,0,1,0,0.25
512,4x3,lnorm,PAR,0.01,1,0,0,1,0,0
512,4x3,lnorm,RNK,0.01,1,0,0,1,0,0.25
512,4x3,lnorm,ART,0.01,1,0,0,1,0,0.25
512,4x3,lnorm,INT,0.01,1,0,0,1,0,0.25
