n,design,family,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,1,PAR,0.05,0,0,0,0.06,0.1,0.01
20,4x3,norm,1,RNK,0.05,0,0,0,0.06,0.08,0.01
20,4x3,norm,1,ART,0.05,0,0,0,0.05,0.1,0.01
20,4x3,norm,1,INT,0.05,0,0,0,0.06,0.1,0.01
20,4x3,norm,1,PAR,0.01,0,0,0,0.02,0.03,0.01
20,4x3,norm,1,RNK,0.01,0,0,0,0,0.02,0.01
20,4x3,norm,1,ART,0.01,0,0,0,0.01,0.02,0.01
20,4x3,norm,1,INT,0.01,0,0,0,0.02,0.03,0.01
20,4x3,norm,1.5,PAR,0.05,0,0,0,0.05,0.06,0
20,4x3,norm,1.5,RNK,0.05,0,0,0,0.06,0.06,0.01
20,4x3,norm,1.5,ART,0.05,0,0,0,0.07,0.06,0.01
20,4x3,norm,1.5,INT,0.05,0,0,0,0.05,0.07,0
20,4x3,norm,1.5,PAR,0.01,0,0,0,0.02,0.01,0
20,4x3,norm,1.5,RNK,0.01,0,0,0,0.02,0,0
20,4x3,norm,1.5,ART,0.01,0,0,0,0.02,0.02,0
20,4x3,norm,1.5,INT,0.01,0,0,0,0.02,0.01,0
20,4x3,norm,2,PAR,0.05,0,0,0,0.02,0.04,0.05
20,4x3,norm,2,RNK,0.05,0,0,0,0.03,0.06,0.04
20,4x3,norm,2,ART,0.05,0,0,0,0.03,0.07,0.05
20,4x3,norm,2,INT,0.05,0,0,0,0.02,0.04,0.05
20,4x3,norm,2,PAR,0.01,0,0,0,0.01,0,0.01
20,4x3,norm,2,RNK,0.01,0,0,0,0.01,0.01,0
20,4x3,norm,2,ART,0.01,0,0,0,0.01,0.02,0.01
20,4x3,norm,2,INT,0.01,0,0,0,0.01,0.01,0.01
20,4x3,norm,2.5,PAR,0.05,0,0,0,0.04,0.05,0.05
20,4x3,norm,2.5,RNK,0.05,0,0,0,0.05,0.05,0.03
20,4x3,norm,2.5,ART,0.05,0,0,0,0.05,0.11,0.03
20,4x3,norm,2.5,INT,0.05,0,0,0,0.03,0.04,0.03
20,4x3,norm,2.5,PAR,0.01,0,0,0,0,0,0.03
20,4x3,norm,2.5,RNK,0.01,0,0,0,0,0,0
20,4x3,norm,2.5,ART,0.01,0,0,0,0,0.02,0
20,4x3,norm,2.5,INT,0.01,0,0,0,0,0.01,0.01
20,4x3,norm,3,PAR,0.05,0,0,0,0.08,0.08,0.08
20,4x3,norm,3,RNK,0.05,0,0,0,0.09,0.06,0.06
20,4x3,norm,3,ART,0.05,0,0,0,0.09,0.15,0.11
20,4x3,norm,3,INT,0.05,0,0,0,0.08,0.07,0.08
20,4x3,norm,3,PAR,0.01,0,0,0,0.02,0.02,0.03
20,4x3,norm,3,RNK,0.01,0,0,0,0.02,0.01,0.01
20,4x3,norm,3,ART,0.01,0,0,0,0.02,0.06,0.01
20,4x3,norm,3,INT,0.01,0,0,0,0.02,0.02,0.02
20,4x3,norm,1,PAR,0.05,4,0,0,1,0.05,0.02
20,4x3,norm,1,RNK,0.05,4,0,0,1,0.05,0.1
20,4x3,norm,1,ART,0.05,4,0,0,1,0.06,0.08
20,4x3,norm,1,INT,0.05,4,0,0,1,0.04,0.04
20,4x3,norm,1,PAR,0.01,4,0,0,1,0.02,0
20,4x3,norm,1,RNK,0.01,4,0,0,1,0.01,0.02
20,4x3,norm,1,ART,0.01,4,0,0,1,0.01,0.01
20,4x3,norm,1,INT,0.01,4,0,0,1,0.01,0
20,4x3,norm,1.5,PAR,0.05,4,0,0,1,0.05,0.04
20,4x3,norm,1.5,RNK,0.05,4,0,0,1,0.06,0.07
20,4x3,norm,1.5,ART,0.05,4,0,0,1,0.06,0.05
20,4x3,norm,1.5,INT,0.05,4,0,0,1,0.04,0.05
20,4x3,norm,1.5,PAR,0.01,4,0,0,1,0.01,0.01
20,4x3,norm,1.5,RNK,0.01,4,0,0,1,0.01,0
20,4x3,norm,1.5,ART,0.01,4,0,0,1,0.01,0.01
20,4x3,norm,1.5,INT,0.01,4,0,0,1,0.01,0.01
20,4x3,norm,2,PAR,0.05,4,0,0,1,0.03,0.09
20,4x3,norm,2,RNK,0.05,4,0,0,1,0.03,0.07
20,4x3,norm,2,ART,0.05,4,0,0,1,0.04,0.09
20,4x3,norm,2,INT,0.05,4,0,0,1,0.02,0.1
20,4x3,norm,2,PAR,0.01,4,0,0,1,0.01,0.02
20,4x3,norm,2,RNK,0.01,4,0,0,1,0,0.02
20,4x3,norm,2,ART,0.01,4,0,0,1,0.02,0.03
20,4x3,norm,2,INT,0.01,4,0,0,1,0.01,0.02
20,4x3,norm,2.5,PAR,0.05,4,0,0,1,0.04,0.04
20,4x3,norm,2.5,RNK,0.05,4,0,0,1,0.04,0.02
20,4x3,norm,2.5,ART,0.05,4,0,0,1,0.05,0.05
20,4x3,norm,2.5,INT,0.05,4,0,0,1,0.04,0.02
20,4x3,norm,2.5,PAR,0.01,4,0,0,1,0.01,0.01
20,4x3,norm,2.5,RNK,0.01,4,0,0,1,0.02,0
20,4x3,norm,2.5,ART,0.01,4,0,0,1,0.02,0.01
20,4x3,norm,2.5,INT,0.01,4,0,0,1,0.02,0.01
20,4x3,norm,3,PAR,0.05,4,0,0,1,0.08,0.04
20,4x3,norm,3,RNK,0.05,4,0,0,1,0.08,0.04
20,4x3,norm,3,ART,0.05,4,0,0,1,0.12,0.06
20,4x3,norm,3,INT,0.05,4,0,0,1,0.08,0.04
20,4x3,norm,3,PAR,0.01,4,0,0,1,0.03,0
20,4x3,norm,3,RNK,0.01,4,0,0,1,0.03,0
20,4x3,norm,3,ART,0.01,4,0,0,1,0.04,0
20,4x3,norm,3,INT,0.01,4,0,0,1,0.02,0
20,2x3,norm,1,PAR,0.05,0,0,0,0.04,0.06,0.1
20,2x3,norm,1,RNK,0.05,0,0,0,0.05,0.07,0.09
20,2x3,norm,1,ART,0.05,0,0,0,0.04,0.07,0.1
20,2x3,norm,1,INT,0.05,0,0,0,0.05,0.06,0.11
20,2x3,norm,1,PAR,0.01,0,0,0,0.01,0.02,0.01
20,2x3,norm,1,RNK,0.01,0,0,0,0.01,0.02,0.02
20,2x3,norm,1,ART,0.01,0,0,0,0.01,0.02,0.02
