n,design,family,missingratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,0.1,PAR,0.05,4,0,0,1,0.06,0.025
20,4x3,norm,0.1,RNK,0.05,4,0,0,1,0.03,0.04
20,4x3,norm,0.1,ART,0.05,4,0,0,1,0.075,0.035
20,4x3,norm,0.1,INT,0.05,4,0,0,1,0.04,0.03
20,4x3,norm,0.1,PAR,0.01,4,0,0,1,0.005,0.005
20,4x3,norm,0.1,RNK,0.01,4,0,0,1,0,0.01
20,4x3,norm,0.1,ART,0.01,4,0,0,1,0.02,0.005
20,4x3,norm,0.1,INT,0.01,4,0,0,1,0,0.005
20,4x3,norm,0.4,PAR,0.05,4,0,0,1,0.04,0.03
20,4x3,norm,0.4,RNK,0.05,4,0,0,1,0.045,0.025
20,4x3,norm,0.4,ART,0.05,4,0,0,1,0.21,0.035
20,4x3,norm,0.4,INT,0.05,4,0,0,1,0.03,0.045
20,4x3,norm,0.4,PAR,0.01,4,0,0,1,0.01,0.01
20,4x3,norm,0.4,RNK,0.01,4,0,0,1,0.005,0.01
20,4x3,norm,0.4,ART,0.01,4,0,0,1,0.045,0.01
20,4x3,norm,0.4,INT,0.01,4,0,0,1,0.01,0.005
20,2x4,norm,0.1,PAR,0.05,4,0,0,1,0.03,0.06
20,2x4,norm,0.1,RNK,0.05,4,0,0,1,0.05,0.03
20,2x4,norm,0.1,ART,0.05,4,0,0,1,0.17,0.03
20,2x4,norm,0.1,INT,0.05,4,0,0,1,0.045,0.035
20,2x4,norm,0.1,PAR,0.01,4,0,0,1,0.01,0.005
20,2x4,norm,0.1,RNK,0.01,4,0,0,1,0.015,0.005
20,2x4,norm,0.1,ART,0.01,4,0,0,1,0.04,0.005
20,2x4,norm,0.1,INT,0.01,4,0,0,1,0.015,0.005
20,2x4,norm,0.4,PAR,0.05,4,0,0,1,0.04,0.09
20,2x4,norm,0.4,RNK,0.05,4,0,0,1,0.055,0.08
20,2x4,norm,0.4,ART,0.05,4,0,0,1,0.295,0.075
20,2x4,norm,0.4,INT,0.05,4,0,0,1,0.035,0.085
20,2x4,norm,0.4,PAR,0.01,4,0,0,1,0.015,0.02
20,2x4,norm,0.4,RNK,0.01,4,0,0,1,0.015,0.025
20,2x4,norm,0.4,ART,0.01,4,0,0,1,0.14,0.02
20,2x4,norm,0.4,INT,0.01,4,0,0,1,0.015,0.02
