n,design,family,missingratio,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,0.2,2,PAR,0.05,2,0,0,1,0.08,0.04
20,4x3,norm,0.2,2,RNK,0.05,2,0,0,1,0.065,0.045
20,4x3,norm,0.2,2,ART,0.05,2,0,0,1,0.11,0.045
20,4x3,norm,0.2,2,INT,0.05,2,0,0,1,0.07,0.05
20,4x3,norm,0.2,2,PAR,0.01,2,0,0,1,0.015,0.01
20,4x3,norm,0.2,2,RNK,0.01,2,0,0,1,0.005,0.015
20,4x3,norm,0.2,2,ART,0.01,2,0,0,1,0.025,0.01
20,4x3,norm,0.2,2,INT,0.01,2,0,0,1,0.015,0.01
20,2x4,norm,0.2,2,PAR,0.05,2,0,0,1,0.08,0.055
20,2x4,norm,0.2,2,RNK,0.05,2,0,0,1,0.055,0.075
20,2x4,norm,0.2,2,ART,0.05,2,0,0,1,0.135,0.085
20,2x4,norm,0.2,2,INT,0.05,2,0,0,1,0.06,0.055
20,2x4,norm,0.2,2,PAR,0.01,2,0,0,1,0.01,0.02
20,2x4,norm,0.2,2,RNK,0.01,2,0,0,1,0.01,0.02
20,2x4,norm,0.2,2,ART,0.01,2,0,0,1,0.045,0.025
20,2x4,norm,0.2,2,INT,0.01,2,0,0,1,0.01,0.02
