n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,lnorm,PAR,0.05,4,0,0,1,0.03,0.08
20,4x3,lnorm,ART,0.05,4,0,0,1,0.9,0.72
20,4x3,lnorm,ART-MED,0.05,4,0,0,1,0.43,0.28
20,4x3,lnorm,INT,0.05,4,0,0,1,0.04,0.045
20,4x3,lnorm,PAR,0.01,4,0,0,1,0.01,0.03
20,4x3,lnorm,ART,0.01,4,0,0,1,0.825,0.585
20,4x3,lnorm,ART-MED,0.01,4,0,0,1,0.27,0.105
20,4x3,lnorm,INT,0.01,4,0,0,1,0.005,0.01
20,4x3,lnorm,PAR,0.05,8,0,0,1,0.015,0.095
20,4x3,lnorm,ART,0.05,8,0,0,1,0.95,0.9
20,4x3,lnorm,ART-MED,0.05,8,0,0,1,0.64,0.405
20,4x3,lnorm,INT,0.05,8,0,0,1,0.045,0.045
20,4x3,lnorm,PAR,0.01,8,0,0,1,0,0.045
20,4x3,lnorm,ART,0.01,8,0,0,1,0.925,0.82
20,4x3,lnorm,ART-MED,0.01,8,0,0,1,0.51,0.205
20,4x3,lnorm,INT,0.01,8,0,0,1,0.02,0.025
20,4x3,binom,PAR,0.05,4,0,0,1,0.025,0.07
20,4x3,binom,ART,0.05,4,0,0,1,0.46,0.34
20,4x3,binom,ART-MED,0.05,4,0,0,1,0.48,0.1
20,4x3,binom,INT,0.05,4,0,0,1,0.03,0.065
20,4x3,binom,PAR,0.01,4,0,0,1,0.01,0.025
20,4x3,binom,ART,0.01,4,0,0,1,0.265,0.17
20,4x3,binom,ART-MED,0.01,4,0,0,1,0.45,0.03
20,4x3,binom,INT,0.01,4,0,0,1,0.01,0.01
20,4x3,binom,PAR,0.05,8,0,0,1,0.035,0.065
20,4x3,binom,ART,0.05,8,0,0,1,0.83,0.765
20,4x3,binom,ART-MED,0.05,8,0,0,1,0.12,0.09
20,4x3,binom,INT,0.05,8,0,0,1,0.03,0.075
20,4x3,binom,PAR,0.01,8,0,0,1,0.005,0.03
20,4x3,binom,ART,0.01,8,0,0,1,0.74,0.63
20,4x3,binom,ART-MED,0.01,8,0,0,1,0.075,0.03
20,4x3,binom,INT,0.01,8,0,0,1,0,0.025
