n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,2x2,norm,PAR,0.05,8,0,8,1,0.02,1
20,2x2,norm,RNK,0.05,8,0,8,1,0,1
20,2x2,norm,ART,0.05,8,0,8,1,0.05,1
20,2x2,norm,INT,0.05,8,0,8,1,0,1
20,2x2,norm,PAR,0.01,8,0,8,1,0,1
20,2x2,norm,RNK,0.01,8,0,8,1,0,1
20,2x2,norm,ART,0.01,8,0,8,1,0,1
20,2x2,norm,INT,0.01,8,0,8,1,0,1
20,2x2,norm,PAR,0.05,0,0,8,0.03,0.04,1
20,2x2,norm,RNK,0.05,0,0,8,0.04,0.03,1
20,2x2,norm,ART,0.05,0,0,8,0.03,0.04,1
20,2x2,norm,INT,0.05,0,0,8,0.04,0.04,1
20,2x2,norm,PAR,0.01,0,0,8,0,0,1
20,2x2,norm,RNK,0.01,0,0,8,0.01,0.01,1
20,2x2,norm,ART,0.01,0,0,8,0.01,0.01,1
20,2x2,norm,INT,0.01,0,0,8,0,0,1
20,2x2,lnorm,PAR,0.05,8,0,8,1,0.99,0.99
20,2x2,lnorm,RNK,0.05,8,0,8,1,0,1
20,2x2,lnorm,ART,0.05,8,0,8,1,1,1
20,2x2,lnorm,INT,0.05,8,0,8,1,0,1
20,2x2,lnorm,PAR,0.01,8,0,8,0.96,0.93,0.93
20,2x2,lnorm,RNK,0.01,8,0,8,1,0,1
20,2x2,lnorm,ART,0.01,8,0,8,1,1,1
20,2x2,lnorm,INT,0.01,8,0,8,1,0,1
20,2x2,lnorm,PAR,0.05,0,0,8,0.05,0.06,1
20,2x2,lnorm,RNK,0.05,0,0,8,0.08,0.04,1
20,2x2,lnorm,ART,0.05,0,0,8,0.68,0.68,1
20,2x2,lnorm,INT,0.05,0,0,8,0.09,0.05,1
20,2x2,lnorm,PAR,0.01,0,0,8,0,0,0.98
20,2x2,lnorm,RNK,0.01,0,0,8,0.02,0.04,1
20,2x2,lnorm,ART,0.01,0,0,8,0.27,0.26,1
20,2x2,lnorm,INT,0.01,0,0,8,0.03,0.03,1
20,2x2,binom,PAR,0.05,8,0,8,1,1,1
20,2x2,binom,RNK,0.05,8,0,8,1,1,1
20,2x2,binom,ART,0.05,8,0,8,1,1,1
20,2x2,binom,INT,0.05,8,0,8,1,1,1
20,2x2,binom,PAR,0.01,8,0,8,1,1,1
20,2x2,binom,RNK,0.01,8,0,8,1,1,1
20,2x2,binom,ART,0.01,8,0,8,1,1,1
20,2x2,binom,INT,0.01,8,0,8,1,1,1
20,2x2,binom,PAR,0.05,0,0,8,0.03,0.02,1
20,2x2,binom,RNK,0.05,0,0,8,0.04,0.02,1
20,2x2,binom,ART,0.05,0,0,8,0.48,0.55,1
20,2x2,binom,INT,0.05,0,0,8,0.02,0.03,1
20,2x2,binom,PAR,0.01,0,0,8,0.01,0.01,1
20,2x2,binom,RNK,0.01,0,0,8,0.01,0,1
20,2x2,binom,ART,0.01,0,0,8,0.22,0.21,1
20,2x2,binom,INT,0.01,0,0,8,0.02,0,1
