n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,PAR,0.05,0,0,0.5,0,0,0.5
20,4x3,norm,RNK,0.05,0,0,0.5,0,0,0.5
20,4x3,norm,ART,0.05,0,0,0.5,0,0,0.5
20,4x3,norm,INT,0.05,0,0,0.5,0,0,0.5
20,4x3,norm,PAR,0.01,0,0,0.5,0,0,0.5
20,4x3,norm,RNK,0.01,0,0,0.5,0,0,0.5
20,4x3,norm,ART,0.01,0,0,0.5,0,0,0.5
20,4x3,norm,INT,0.01,0,0,0.5,0,0,0.5
20,4x3,norm,PAR,0.05,0,0,1,0.5,0,0.5
20,4x3,norm,RNK,0.05,0,0,1,0.5,0,0.5
20,4x3,norm,ART,0.05,0,0,1,0.5,0,0.5
20,4x3,norm,INT,0.05,0,0,1,0.5,0,0.5
20,4x3,norm,PAR,0.01,0,0,1,0.5,0,0.5
20,4x3,norm,RNK,0.01,0,0,1,0.5,0,0.5
20,4x3,norm,ART,0.01,0,0,1,0.5,0,0.5
20,4x3,norm,INT,0.01,0,0,1,0.5,0,0.5
20,4x3,norm,PAR,0.05,0,0,1.5,0,0,1
20,4x3,norm,RNK,0.05,0,0,1.5,0,0,1
20,4x3,norm,ART,0.05,0,0,1.5,0,0,1
20,4x3,norm,INT,0.05,0,0,1.5,0,0,1
20,4x3,norm,PAR,0.01,0,0,1.5,0,0,0.5
20,4x3,norm,RNK,0.01,0,0,1.5,0,0,0.5
20,4x3,norm,ART,0.01,0,0,1.5,0,0,0.5
20,4x3,norm,INT,0.01,0,0,1.5,0,0,0.5
20,4x3,norm,PAR,0.05,0,0,2,0,0,1
20,4x3,norm,RNK,0.05,0,0,2,0,0,1
20,4x3,norm,ART,0.05,0,0,2,0,0,1
20,4x3,norm,INT,0.05,0,0,2,0,0,1
20,4x3,norm,PAR,0.01,0,0,2,0,0,1
20,4x3,norm,RNK,0.01,0,0,2,0,0,1
20,4x3,norm,ART,0.01,0,0,2,0,0,1
20,4x3,norm,INT,0.01,0,0,2,0,0,1
20,4x3,norm,PAR,0.05,0.2,0,0,0,0,0.5
20,4x3,norm,RNK,0.05,0.2,0,0,0,0,0.5
20,4x3,norm,ART,0.05,0.2,0,0,0,0,0.5
20,4x3,norm,INT,0.05,0.2,0,0,0,0,0.5
20,4x3,norm,PAR,0.01,0.2,0,0,0,0,0
20,4x3,norm,RNK,0.01,0.2,0,0,0,0,0
20,4x3,norm,ART,0.01,0.2,0,0,0,0,0
20,4x3,norm,INT,0.01,0.2,0,0,0,0,0
20,4x3,norm,PAR,0.05,0.4,0,0,0.5,0,0
20,4x3,norm,RNK,0.05,0.4,0,0,0.5,0,0
20,4x3,norm,ART,0.05,0.4,0,0,0.5,0,0
20,4x3,norm,INT,0.05,0.4,0,0,0.5,0,0
20,4x3,norm,PAR,0.01,0.4,0,0,0,0,0
20,4x3,norm,RNK,0.01,0.4,0,0,0,0,0
20,4x3,norm,ART,0.01,0.4,0,0,0,0,0
