n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
10,4x3,poisson,PAR,0.05,0,0,0,0,0,0
10,4x3,poisson,ART,0.05,0,0,0,0,0,0
10,4x3,poisson,ART-MED,0.05,0,0,0,0,0.5,0
10,4x3,poisson,INT,0.05,0,0,0,0,0,0.25
10,4x3,poisson,PAR,0.01,0,0,0,0,0,0
10,4x3,poisson,ART,0.01,0,0,0,0,0,0
10,4x3,poisson,ART-MED,0.01,0,0,0,0,0.25,0
10,4x3,poisson,INT,0.01,0,0,0,0,0,0
10,4x3,poisson,PAR,0.05,8,8,0,1,1,1
10,4x3,poisson,ART,0.05,8,8,0,1,1,1
10,4x3,poisson,ART-MED,0.05,8,8,0,0,0.75,1
10,4x3,poisson,INT,0.05,8,8,0,1,1,1
10,4x3,poisson,PAR,0.01,8,8,0,1,1,1
10,4x3,poisson,ART,0.01,8,8,0,1,1,1
10,4x3,poisson,ART-MED,0.01,8,8,0,0,0.75,1
10,4x3,poisson,INT,0.01,8,8,0,1,1,1
20,4x3,poisson,PAR,0.05,0,0,0,0,0,0.25
20,4x3,poisson,ART,0.05,0,0,0,0,0,0.25
20,4x3,poisson,ART-MED,0.05,0,0,0,0.75,0.5,0
20,4x3,poisson,INT,0.05,0,0,0,0,0,0.25
20,4x3,poisson,PAR,0.01,0,0,0,0,0,0
20,4x3,poisson,ART,0.01,0,0,0,0,0,0
20,4x3,poisson,ART-MED,0.01,0,0,0,0.75,0.25,0
20,4x3,poisson,INT,0.01,0,0,0,0,0,0
20,4x3,poisson,PAR,0.05,8,8,0,1,1,1
20,4x3,poisson,ART,0.05,8,8,0,1,1,1
20,4x3,poisson,ART-MED,0.05,8,8,0,0.5,0.5,1
20,4x3,poisson,INT,0.05,8,8,0,1,1,1
20,4x3,poisson,PAR,0.01,8,8,0,1,1,1
20,4x3,poisson,ART,0.01,8,8,0,1,1,1
20,4x3,poisson,ART-MED,0.01,8,8,0,0.5,0.5,1
20,4x3,poisson,INT,0.01,8,8,0,1,1,1
30,4x3,poisson,PAR,0.05,0,0,0,0,0,0
30,4x3,poisson,ART,0.05,0,0,0,0,0,0
30,4x3,poisson,ART-MED,0.05,0,0,0,0.25,0,0
30,4x3,poisson,INT,0.05,0,0,0,0,0,0
30,4x3,poisson,PAR,0.01,0,0,0,0,0,0
30,4x3,poisson,ART,0.01,0,0,0,0,0,0
30,4x3,poisson,ART-MED,0.01,0,0,0,0.25,0,0
30,4x3,poisson,INT,0.01,0,0,0,0,0,0
30,4x3,poisson,PAR,0.05,8,8,0,1,1,1
30,4x3,poisson,ART,0.05,8,8,0,1,1,1
30,4x3,poisson,ART-MED,0.05,8,8,0,0.5,0.5,1
30,4x3,poisson,INT,0.05,8,8,0,1,1,1
30,4x3,poisson,PAR,0.01,8,8,0,1,1,1
30,4x3,poisson,ART,0.01,8,8,0,1,1,1
30,4x3,poisson,ART-MED,0.01,8,8,0,0.25,0.5,1
30,4x3,poisson,INT,0.01,8,8,0,1,1,1
