n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
10,2x2,norm,PAR,0.05,0,0,0,0,0,0
10,2x2,norm,RNK,0.05,0,0,0,0,0,0
10,2x2,norm,ART,0.05,0,0,0,0,0,0
10,2x2,norm,INT,0.05,0,0,0,0,0,0
10,2x2,norm,PAR,0.01,0,0,0,0,0,0
10,2x2,norm,RNK,0.01,0,0,0,0,0,0
10,2x2,norm,ART,0.01,0,0,0,0,0,0
10,2x2,norm,INT,0.01,0,0,0,0,0,0
10,2x2,norm,PAR,0.05,0,0,0.5,0,0,0
10,2x2,norm,RNK,0.05,0,0,0.5,0,0,0
10,2x2,norm,ART,0.05,0,0,0.5,0,0,0
10,2x2,norm,INT,0.05,0,0,0.5,0,0,0
10,2x2,norm,PAR,0.01,0,0,0.5,0,0,0
10,2x2,norm,RNK,0.01,0,0,0.5,0,0,0
10,2x2,norm,ART,0.01,0,0,0.5,0,0,0
10,2x2,norm,INT,0.01,0,0,0.5,0,0,0
10,2x2,norm,PAR,0.05,0,0,1,0,0,1
10,2x2,norm,RNK,0.05,0,0,1,0,0,0
10,2x2,norm,ART,0.05,0,0,1,0,0,0.5
10,2x2,norm,INT,0.05,0,0,1,0.5,0,0.5
10,2x2,norm,PAR,0.01,0,0,1,0,0,0
10,2x2,norm,RNK,0.01,0,0,1,0,0,0
10,2x2,norm,ART,0.01,0,0,1,0,0,0
10,2x2,norm,INT,0.01,0,0,1,0,0,0
10,2x2,norm,PAR,0.05,0,0,2,0,0,0.5
10,2x2,norm,RNK,0.05,0,0,2,0,0,0.5
10,2x2,norm,ART,0.05,0,0,2,0,0,0.5
10,2x2,norm,INT,0.05,0,0,2,0,0,1
10,2x2,norm,PAR,0.01,0,0,2,0,0,0
10,2x2,norm,RNK,0.01,0,0,2,0,0,0
10,2x2,norm,ART,0.01,0,0,2,0,0,0
10,2x2,norm,INT,0.01,0,0,2,0,0,0
10,2x2,norm,PAR,0.05,0,0,4,0,0,1
10,2x2,norm,RNK,0.05,0,0,4,0,0,1
10,2x2,norm,ART,0.05,0,0,4,0,0,1
10,2x2,norm,INT,0.05,0,0,4,0,0,1
10,2x2,norm,PAR,0.01,0,0,4,0,0,1
10,2x2,norm,RNK,0.01,0,0,4,0,0,1
10,2x2,norm,ART,0.01,0,0,4,0,0,1
10,2x2,norm,INT,0.01,0,0,4,0,0,1
10,2x2,norm,PAR,0.05,0,0,8,0,0,1
10,2x2,norm,RNK,0.05,0,0,8,0,0,1
10,2x2,norm,ART,0.05,0,0,8,0,0,1
10,2x2,norm,INT,0.05,0,0,8,0,0,1
10,2x2,norm,PAR,0.01,0,0,8,0,0,1
10,2x2,norm,RNK,0.01,0,0,8,0,0,1
10,2x2,norm,ART,0.01,0,0,8,0,0,1
10,2x2,norm,INT,0.01,0,0,8,0,0,1
10,2x2,norm,PAR,0.05,0.5,0,0.5,1,0,0
10,2x2,norm,RNK,0.05,0.5,0,0.5,1,0,0
10,2x2,norm,ART,0.05,0.5,0,0.5,0.5,0,0
10,2x2,norm,INT,0.05,0.5,0,0.5,0.5,0,0
10,2x2,norm,PAR,0.01,0.5,0,0.5,0,0,0
10,2x2,norm,RNK,0.01,0.5,0,0.5,0,0,0
10,2x2,norm,ART,0.01,0.5,0,0.5,0,0,0
10,2x2,norm,INT,0.01,0.5,0,0.5,0,0,0
10,2x2,norm,PAR,0.05,1,0,1,1,0,0.5
10,2x2,norm,RNK,0.05,1,0,1,1,0,0
10,2x2,norm,ART,0.05,1,0,1,1,0,0.5
10,2x2,norm,INT,0.05,1,0,1,1,0,0
10,2x2,norm,PAR,0.01,1,0,1,1,0,0
10,2x2,norm,RNK,0.01,1,0,1,1,0,0
10,2x2,norm,ART,0.01,1,0,1,1,0,0
10,2x2,norm,INT,0.01,1,0,1,1,0,0
10,2x2,norm,PAR,0.05,2,0,2,1,0,0.5
10,2x2,norm,RNK,0.05,2,0,2,1,0,0.5
10,2x2,norm,ART,0.05,2,0,2,1,0,0.5
10,2x2,norm,INT,0.05,2,0,2,1,0,0.5
10,2x2,norm,PAR,0.01,2,0,2,1,0,0.5
10,2x2,norm,RNK,0.01,2,0,2,1,0,0
10,2x2,norm,ART,0.01,2,0,2,1,0,0
10,2x2,norm,INT,0.01,2,0,2,1,0,0.5
10,2x2,norm,PAR,0.05,4,0,4,1,0,1
10,2x2,norm,RNK,0.05,4,0,4,1,0,1
10,2x2,norm,ART,0.05,4,0,4,1,0,1
10,2x2,norm,INT,0.05,4,0,4,1,0,1
10,2x2,norm,PAR,0.01,4,0,4,1,0,1
10,2x2,norm,RNK,0.01,4,0,4,1,0,1
10,2x2,norm,ART,0.01,4,0,4,1,0,1
10,2x2,norm,INT,0.01,4,0,4,1,0,1
10,2x2,norm,PAR,0.05,8,0,8,1,0,1
10,2x2,norm,RNK,0.05,8,0,8,1,0,1
10,2x2,norm,ART,0.05,8,0,8,1,0,1
10,2x2,norm,INT,0.05,8,0,8,1,0,1
10,2x2,norm,PAR,0.01,8,0,8,1,0,1
10,2x2,norm,RNK,0.01,8,0,8,1,0,1
10,2x2,norm,ART,0.01,8,0,8,1,0,1
10,2x2,norm,INT,0.01,8,0,8,1,0,1
20,2x2,norm,PAR,0.05,0,0,0,0,0,0
20,2x2,norm,RNK,0.05,0,0,0,0,0,0
20,2x2,norm,ART,0.05,0,0,0,0,0,0
20,2x2,norm,INT,0.05,0,0,0,0,0,0
20,2x2,norm,PAR,0.01,0,0,0,0,0,0
20,2x2,norm,RNK,0.01,0,0,0,0,0,0
20,2x2,norm,ART,0.01,0,0,0,0,0,0
20,2x2,norm,INT,0.01,0,0,0,0,0,0
20,2x2,norm,PAR,0.05,0,0,0.5,0,0,0
20,2x2,norm,RNK,0.05,0,0,0.5,0,0,0
20,2x2,norm,ART,0.05,0,0,0.5,0,0,0
20,2x2,norm,INT,0.05,0,0,0.5,0,0,0
20,2x2,norm,PAR,0.01,0,0,0.5,0,0,0
20,2x2,norm,RNK,0.01,0,0,0.5,0,0,0
20,2x2,norm,ART,0.01,0,0,0.5,0,0,0
