n,design,family,sdratio,method,alpha,effect1,rateX1
20,2,norm,1,PAR,0.05,0,0
20,2,norm,1,RNK,0.05,0,0
20,2,norm,1,INT,0.05,0,0
20,2,norm,1,NON,0.05,0,0
20,2,norm,1,PAR,0.01,0,0
20,2,norm,1,RNK,0.01,0,0
20,2,norm,1,INT,0.01,0,0
20,2,norm,1,NON,0.01,0,0
20,2,norm,1.5,PAR,0.05,0,0
20,2,norm,1.5,RNK,0.05,0,0
20,2,norm,1.5,INT,0.05,0,0
20,2,norm,1.5,NON,0.05,0,0
20,2,norm,1.5,PAR,0.01,0,0
20,2,norm,1.5,RNK,0.01,0,0
20,2,norm,1.5,INT,0.01,0,0
20,2,norm,1.5,NON,0.01,0,0
20,2,norm,2,PAR,0.05,0,0
20,2,norm,2,RNK,0.05,0,0
20,2,norm,2,INT,0.05,0,0
20,2,norm,2,NON,0.05,0,0
20,2,norm,2,PAR,0.01,0,0
20,2,norm,2,RNK,0.01,0,0
20,2,norm,2,INT,0.01,0,0
20,2,norm,2,NON,0.01,0,0
20,2,norm,2.5,PAR,0.05,0,0
20,2,norm,2.5,RNK,0.05,0,0.25
20,2,norm,2.5,INT,0.05,0,0
20,2,norm,2.5,NON,0.05,0,0.25
20,2,norm,2.5,PAR,0.01,0,0
20,2,norm,2.5,RNK,0.01,0,0
20,2,norm,2.5,INT,0.01,0,0
20,2,norm,2.5,NON,0.01,0,0
20,2,norm,3,PAR,0.05,0,0.25
20,2,norm,3,RNK,0.05,0,0.25
20,2,norm,3,INT,0.05,0,0.25
20,2,norm,3,NON,0.05,0,0.25
20,2,norm,3,PAR,0.01,0,0.25
20,2,norm,3,RNK,0.01,0,0.25
20,2,norm,3,INT,0.01,0,0.25
20,2,norm,3,NON,0.01,0,0.25
20,2,likert_5,1,PAR,0.05,0,0
20,2,likert_5,1,RNK,0.05,0,0
20,2,likert_5,1,INT,0.05,0,0
20,2,likert_5,1,NON,0.05,0,0
