n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,-2.4881,0.2677,0,0.9273,0.1208,0.1469,0.8971,0.1284,0.1179,0.9078,0.1222,0.1435,0.884,0.1051,0.1405,0.9273,0.1208,0.1469
20,4x3,norm,0.2429,-2.0245,0,0.1947,0.8316,0.1711,0.1888,0.8445,0.1705,0.2031,0.8416,0.1626,0.1832,0.8341,0.1763,0.1947,0.8316,0.1711
20,4x3,norm,-0.4212,0.5575,0,0.0591,0.3998,0.1166,0.0794,0.3813,0.1393,0.0589,0.3716,0.1151,0.0603,0.4001,0.1172,0.0591,0.3998,0.1166
20,4x3,norm,-3.6971,0.2283,0,1.5577,0.0853,0.1152,1.6173,0.0896,0.1214,1.6102,0.0904,0.1268,1.375,0.0897,0.105,1.5577,0.0853,0.1152
20,4x3,norm,3.9063,0.9524,0,1.4229,0.551,0.22,1.4102,0.5239,0.2287,1.4245,0.5365,0.1938,1.3988,0.559,0.2142,1.4229,0.551,0.22
20,4x3,norm,0.9151,0.7384,0,0.2969,0.2966,0.2269,0.2787,0.301,0.2229,0.2799,0.2902,0.2156,0.2914,0.2996,0.2317,0.2969,0.2966,0.2269
20,4x3,norm,-3.5558,-0.5013,0,1.1928,0.1677,0.1724,1.0728,0.1386,0.1726,1.0713,0.157,0.1455,1.0571,0.1633,0.1649,1.1928,0.1677,0.1724
20,4x3,norm,-1.4911,1.3317,0,0.7765,0.7813,0.3216,0.8044,0.7965,0.3465,0.8053,0.7741,0.3228,0.7677,0.7789,0.3175,0.7765,0.7813,0.3216
20,4x3,norm,-9e-04,2.7427,0,0.0885,1.3026,0.096,0.0833,1.2411,0.0836,0.0952,1.2477,0.1068,0.0891,1.1386,0.0998,0.0885,1.3026,0.096
20,4x3,norm,3.1252,2.7877,0,1.2329,1.4251,0.176,1.1863,1.3817,0.1165,1.3455,1.4731,0.159,1.1598,1.3181,0.0968,1.2329,1.4251,0.176
20,4x3,norm,-1.233,-0.4407,0,0.5987,0.1795,0.1917,0.5958,0.1678,0.1759,0.5863,0.1673,0.169,0.5804,0.1803,0.1916,0.5987,0.1795,0.1917
20,4x3,norm,-3.6008,-3.8393,0,1.5864,1.7655,0.2087,1.5417,1.7505,0.3102,1.7201,1.5139,0.2016,1.4801,1.6385,0.233,1.5864,1.7655,0.2087
20,4x3,norm,0.3472,2.2567,0,0.2478,1.0936,0.1802,0.2329,1.0902,0.1713,0.2564,1.103,0.2013,0.2518,1.0558,0.1697,0.2478,1.0936,0.1802
20,4x3,norm,1.7128,-1.4556,0,0.8026,0.6507,0.1823,0.8011,0.6628,0.1914,0.8331,0.6827,0.2149,0.7897,0.6424,0.1783,0.8026,0.6507,0.1823
20,4x3,norm,-0.1324,-3.2198,0,0.0778,1.3461,0.3109,0.101,1.3999,0.3374,0.1076,1.4084,0.3105,0.0591,1.2787,0.3065,0.0778,1.3461,0.3109
20,4x3,norm,-3.3395,2.4502,0,1.6256,1.3367,0.2306,1.6767,1.3548,0.3235,1.5777,1.3585,0.2287,1.5353,1.2349,0.1631,1.6256,1.3367,0.2306
20,4x3,norm,-0.813,2.6089,0,0.3947,1.0411,0.2043,0.3879,1.0514,0.2034,0.4225,1.0558,0.215,0.3848,1.0065,0.2153,0.3947,1.0411,0.2043
20,4x3,norm,0.9414,-2.6,0,0.3613,1.1712,0.2371,0.3495,1.1704,0.2453,0.3586,1.194,0.2269,0.3589,1.0921,0.2244,0.3613,1.1712,0.2371
20,4x3,norm,3.9047,-1.5025,0,1.7135,0.7718,0.1857,1.4961,0.7508,0.255,1.4105,0.784,0.1899,1.4073,0.7078,0.156,1.7135,0.7718,0.1857
20,4x3,norm,-3.2059,0.4044,0,1.2868,0.3544,0.2654,1.0759,0.2708,0.217,1.1319,0.3178,0.262,1.0688,0.3342,0.2223,1.2868,0.3544,0.2654
20,4x3,norm,-3.181,2.8943,0,1.5753,1.4696,0.1194,1.4514,1.3374,0.1431,1.5599,1.3327,0.132,1.4515,1.3345,0.07,1.5753,1.4696,0.1194
20,4x3,norm,1.894,0.1997,0,0.9357,0.1403,0.1188,0.9091,0.1149,0.1027,0.913,0.1206,0.1144,0.8793,0.1309,0.1101,0.9357,0.1403,0.1188
20,4x3,norm,0.2978,1.902,0,0.3156,0.7342,0.1565,0.3071,0.7398,0.1464,0.307,0.7407,0.1511,0.3168,0.7297,0.1535,0.3156,0.7342,0.1565
20,4x3,norm,-2.3329,0.2862,0,0.9284,0.1614,0.1845,0.9804,0.1419,0.2071,0.9775,0.1325,0.1888,0.9401,0.1608,0.1832,0.9284,0.1614,0.1845
20,4x3,norm,-1.3921,-3.5072,0,0.6005,1.8093,0.1902,0.6037,1.6759,0.2425,0.5805,1.4907,0.1893,0.5946,1.4476,0.2318,0.6005,1.8093,0.1902
20,4x3,norm,-2.8115,2.3424,0,1.0705,1.0433,0.1773,1.0764,1.0364,0.26,1.0976,1.0889,0.1863,1.0887,1.0461,0.2117,1.0705,1.0433,0.1773
20,4x3,norm,-1.7321,0.6628,0,0.6769,0.3174,0.0935,0.6374,0.3111,0.0882,0.6451,0.2947,0.0909,0.6642,0.3087,0.0978,0.6769,0.3174,0.0935
20,4x3,norm,3.8664,1.5091,0,1.4304,0.658,0.1559,1.3261,0.6073,0.1688,1.2818,0.6692,0.1732,1.3175,0.6513,0.1691,1.4304,0.658,0.1559
20,4x3,norm,0.5252,1.2479,0,0.2837,0.5563,0.1601,0.2944,0.5596,0.1958,0.2748,0.5508,0.1584,0.2794,0.5532,0.1565,0.2837,0.5563,0.1601
