n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,-0.0284,-0.9058,-3.6041,0.0698,0.306,0.7094,0.0333,0.2549,0.7113,0.0573,0.2739,0.6984,0.0595,0.2891,0.7141,0.0698,0.306,0.7094
20,4x3,norm,1.1785,-2.0866,3.9347,0.5016,0.988,0.7488,0.5503,1.0363,0.7641,0.4779,0.9777,0.706,0.484,0.9535,0.7173,0.5016,0.988,0.7488
20,4x3,norm,-3.5614,2.4349,-3.0307,1.8712,1.2105,0.7235,1.6576,1.0097,0.5235,1.8345,1.179,0.6983,1.4194,0.9159,0.4352,1.8712,1.2105,0.7235
20,4x3,norm,-3.1112,-2.1765,-3.8475,1.2807,1.0647,0.821,0.8805,0.8839,0.4908,1.1458,1.0824,0.7954,0.9227,0.9182,0.54,1.2807,1.0647,0.821
20,4x3,norm,0.6652,3.0974,-0.9861,0.301,1.401,0.248,0.2973,1.4176,0.2414,0.2909,1.3926,0.228,0.3151,1.3378,0.2683,0.301,1.401,0.248
20,4x3,norm,-2.0506,1.4543,-2.4274,0.9376,0.5097,0.482,0.9273,0.4707,0.4868,0.9713,0.5193,0.5027,0.9064,0.4617,0.4649,0.9376,0.5097,0.482
20,4x3,norm,1.8328,2.6536,-2.3771,0.9349,1.2529,0.5402,0.8255,1.1437,0.37,1.0062,1.3156,0.5427,0.7912,1.0881,0.3779,0.9349,1.2529,0.5402
20,4x3,norm,3.451,-3.8042,-0.6919,1.3801,1.456,0.1082,1.3831,1.4359,0.2061,1.4658,1.4823,0.107,1.3122,1.3797,0.0972,1.3801,1.456,0.1082
20,4x3,norm,2.0423,-3.4555,1.5895,0.9833,1.6382,0.3411,1.0029,1.7243,0.4219,0.9965,1.5322,0.3117,0.9561,1.5593,0.3138,0.9833,1.6382,0.3411
20,4x3,norm,3.3419,-0.81,-0.4473,1.4268,0.4976,0.2631,1.377,0.5303,0.3131,1.2518,0.4869,0.2631,1.2784,0.5132,0.2605,1.4268,0.4976,0.2631
