n,designStr,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,0,1,0,0.0191,0.2231,0.0154,0.0153,0.2122,0.012,0.0131,0.2099,0.0136,0.0179,0.2218,0.0145,0.0191,0.2231,0.0154
20,4x3,norm,0,1,0,0.009,0.1875,0.0142,0.0089,0.1886,0.0171,0.0068,0.1886,0.0151,0.0078,0.1889,0.0109,0.009,0.1875,0.0142
20,4x3,norm,0,1,0,0.017,0.1501,0.0421,0.0171,0.1485,0.0332,0.014,0.1512,0.0347,0.0172,0.1509,0.0404,0.017,0.1501,0.0421
20,4x3,norm,0,1,0,0.0145,0.2355,0.0555,0.0105,0.242,0.0489,0.0099,0.2386,0.0533,0.0154,0.24,0.0548,0.0145,0.2355,0.0555
20,4x3,norm,0,1,0,0.0048,0.1871,0.0312,0.0076,0.1927,0.0422,0.0075,0.1901,0.0369,0.0043,0.1866,0.0309,0.0048,0.1871,0.0312
20,4x3,norm,0,1,0,0.0268,0.2695,0.0169,0.0232,0.2581,0.0175,0.0278,0.2644,0.0145,0.027,0.2632,0.018,0.0268,0.2695,0.0169
20,4x3,norm,0,1,0,0.0233,0.1243,0.0418,0.0156,0.1144,0.0391,0.0164,0.1146,0.0367,0.022,0.121,0.039,0.0233,0.1243,0.0418
20,4x3,norm,0,1,0,0.0128,0.1802,0.0515,0.0126,0.1701,0.049,0.009,0.167,0.0452,0.013,0.1864,0.0565,0.0128,0.1802,0.0515
20,4x3,norm,0,1,0,0.0135,0.1091,0.0276,0.0165,0.1047,0.0231,0.0139,0.1043,0.0251,0.016,0.1142,0.0257,0.0135,0.1091,0.0276
20,4x3,norm,0,1,0,0.0011,0.1728,0.0297,0.0021,0.1576,0.0203,0.0043,0.161,0.0227,0.0011,0.1764,0.0306,0.0011,0.1728,0.0297
20,4x3,norm,0,2,0,0.0319,0.5317,0.0096,0.0382,0.5484,0.0115,0.0317,0.5526,0.0051,0.032,0.5297,0.0087,0.0319,0.5317,0.0096
20,4x3,norm,0,2,0,0.0077,0.3782,0.0369,0.0051,0.3909,0.0453,0.0051,0.3958,0.0449,0.008,0.3819,0.0375,0.0077,0.3782,0.0369
20,4x3,norm,0,2,0,0.0015,0.5584,0.0272,0.0048,0.5667,0.0224,0.0017,0.5709,0.0199,1e-04,0.5206,0.025,0.0015,0.5584,0.0272
20,4x3,norm,0,2,0,0.019,0.3974,0.0438,0.0172,0.3992,0.0341,0.0174,0.403,0.0487,0.0188,0.3972,0.0429,0.019,0.3974,0.0438
20,4x3,norm,0,2,0,0.0123,0.5074,0.0161,0.0114,0.5268,0.01,0.018,0.5317,0.0211,0.0112,0.491,0.0174,0.0123,0.5074,0.0161
20,4x3,norm,0,2,0,0.0197,0.4716,0.0331,0.0174,0.4895,0.0302,0.0155,0.4892,0.0193,0.017,0.4627,0.0347,0.0197,0.4716,0.0331
20,4x3,norm,0,2,0,0.0122,0.4494,0.0138,0.0133,0.452,0.0174,0.0134,0.4512,0.0122,0.0136,0.447,0.0154,0.0122,0.4494,0.0138
20,4x3,norm,0,2,0,0.0035,0.4559,0.0146,8e-04,0.4576,0.0137,0.0022,0.4644,0.0171,0.0025,0.454,0.0146,0.0035,0.4559,0.0146
20,4x3,norm,0,2,0,0.0083,0.4495,0.0055,0.0051,0.4431,0.0047,0.0079,0.4489,0.0088,0.01,0.4295,0.0051,0.0083,0.4495,0.0055
20,4x3,norm,0,2,0,0.016,0.4355,0.0199,0.0187,0.4422,0.0153,0.0157,0.4417,0.0167,0.0151,0.4167,0.0161,0.016,0.4355,0.0199
20,4x3,lnorm,0,1,0,0.0264,0.0937,0.0523,0.0172,0.1929,0.0252,0.0284,0.1825,0.051,0.0197,0.173,0.0284,0.0176,0.1833,0.0241
20,4x3,lnorm,0,1,0,0.0234,0.12,0.0419,0.0139,0.1615,0.0403,0.0573,0.1418,0.0793,0.0137,0.1708,0.0432,0.0127,0.1644,0.0395
20,4x3,lnorm,0,1,0,0.0293,0.1593,0.0626,0.0106,0.175,0.0362,0.0562,0.1936,0.0741,0.0152,0.1889,0.0313,0.0144,0.1875,0.0327
20,4x3,lnorm,0,1,0,0.0103,0.1165,0.0238,0.0066,0.2188,0.0237,0.0941,0.174,0.1048,0.0069,0.2255,0.026,0.0077,0.2333,0.0271
20,4x3,lnorm,0,1,0,0.0211,0.0986,0.0411,0.0401,0.2582,0.0328,0.0556,0.2209,0.0721,0.0321,0.2319,0.0364,0.0328,0.2402,0.036
20,4x3,lnorm,0,1,0,0.0099,0.123,0.0204,0.0035,0.1641,0.0034,0.006,0.1676,0.0075,0.0071,0.1798,0.006,0.0058,0.1826,0.0054
20,4x3,lnorm,0,1,0,0.0057,0.0708,0.0653,0.0089,0.1201,0.0376,0.0228,0.1099,0.0499,0.0059,0.1292,0.0417,0.0049,0.1269,0.0415
20,4x3,lnorm,0,1,0,0.0041,0.1097,0.0058,0.011,0.1813,0.013,0.0119,0.1808,0.011,0.0054,0.1877,0.0114,0.0052,0.189,0.0112
20,4x3,lnorm,0,1,0,0.0081,0.1332,0.0326,0.0166,0.2509,0.0281,0.0318,0.2351,0.0323,0.0193,0.2396,0.0341,0.0174,0.2445,0.0315
20,4x3,lnorm,0,1,0,0.0141,0.1072,0.0147,0.0106,0.1855,0.0308,0.0151,0.1579,0.0353,0.0158,0.1848,0.0274,0.0161,0.1901,0.0254
20,4x3,lnorm,0,2,0,0.0204,0.3005,0.0616,0.0045,0.4879,0.0211,0.1507,0.3576,0.1749,0.0097,0.4802,0.0396,0.0081,0.5034,0.0384
20,4x3,lnorm,0,2,0,0.0237,0.1471,0.016,0.0091,0.465,0.0234,0.0231,0.4546,0.0509,0.0047,0.4251,0.0232,0.0048,0.436,0.0225
20,4x3,lnorm,0,2,0,0.0243,0.2,0.0194,0.027,0.4473,0.019,0.037,0.372,0.0284,0.0287,0.4366,0.0185,0.0327,0.4505,0.0216
20,4x3,lnorm,0,2,0,0.0018,0.3241,0.0118,0.0022,0.5091,0.0179,0.0377,0.4984,0.0171,0.0039,0.4842,0.0156,0.0037,0.5018,0.0151
20,4x3,lnorm,0,2,0,0.0176,0.1142,0.037,0.0029,0.4837,0.0189,0.0211,0.4067,0.0258,0.0077,0.4655,0.0123,0.0074,0.4827,0.0127
20,4x3,lnorm,0,2,0,0.0141,0.1436,0.0166,0.0305,0.3914,0.0086,0.0277,0.3459,0.0252,0.0306,0.384,0.0126,0.0304,0.3915,0.012
20,4x3,lnorm,0,2,0,0.016,0.2367,0.0151,0.0203,0.4664,0.0279,0.0387,0.3788,0.0466,0.022,0.4425,0.0196,0.0231,0.4529,0.0211
20,4x3,lnorm,0,2,0,0.0213,0.206,0.0766,0.0127,0.4535,0.0739,0.0722,0.3769,0.0994,0.0112,0.4371,0.0832,0.0108,0.4399,0.0835
20,4x3,lnorm,0,2,0,0.0136,0.067,0.0386,0.0037,0.4541,0.0284,0.0523,0.3898,0.0744,0.0045,0.4477,0.033,0.0071,0.4644,0.0298
20,4x3,lnorm,0,2,0,4e-04,0.1843,0.001,0.0091,0.4323,0.0129,0.0016,0.4285,0.0139,0.0024,0.411,0.0212,0.0034,0.4206,0.0164
20,4x3,likert,0,1,0,0.0097,0.0845,0.014,0.0053,0.098,0.0117,0.0057,0.0735,0.0096,0.0088,0.0911,0.0145,0.0063,0.1633,0.0293
20,4x3,likert,0,1,0,0.007,0.1918,0.0768,0.0061,0.1803,0.0719,0.0245,0.1793,0.0841,0.0072,0.1855,0.074,0.0087,0.2026,0.0608
20,4x3,likert,0,1,0,0.0191,0.1476,0.0072,0.0202,0.148,0.0061,0.0148,0.1557,0.0045,0.0184,0.1497,0.0084,0.0128,0.1592,0.0078
20,4x3,likert,0,1,0,0.006,0.1771,0.048,0.0053,0.1751,0.0515,7e-04,0.1953,0.0395,0.0058,0.1806,0.0491,0.0145,0.1804,0.072
20,4x3,likert,0,1,0,0.0124,0.2356,0.0441,0.0116,0.2466,0.0383,0.0154,0.322,0.0488,0.0114,0.2447,0.0388,0.0243,0.2848,0.0496
20,4x3,likert,0,1,0,0.0532,0.167,0.0396,0.0331,0.1909,0.0235,0.0861,0.2406,0.0642,0.0502,0.1783,0.023,0.0555,0.2154,0.0242
20,4x3,likert,0,1,0,0.0051,0.2004,0.0193,0.0018,0.1994,0.0121,0.0027,0.2409,0.0225,0.0032,0.2071,0.0138,0.0011,0.2121,0.0106
20,4x3,likert,0,1,0,0.0179,0.1382,0.0519,0.0202,0.1373,0.0638,0.0186,0.0991,0.062,0.0245,0.1341,0.0603,0.0177,0.1732,0.0653
20,4x3,likert,0,1,0,0.0114,0.1769,0.0104,0.017,0.2584,0.0146,0.0546,0.2737,0.0461,0.0155,0.242,0.0093,0.0244,0.2437,0.0127
20,4x3,likert,0,1,0,0.0189,0.0946,0.021,0.0164,0.1179,0.011,0.0174,0.1392,0.0054,0.0152,0.1193,0.0137,0.0086,0.1954,0.0306
20,4x3,likert,0,2,0,0.0103,0.232,0.0158,0.0043,0.3101,0.0072,0.0027,0.287,0.0317,0.006,0.2967,0.0104,0.0087,0.3828,0.0065
20,4x3,likert,0,2,0,0.0195,0.1849,0.0556,0.016,0.243,0.0619,0.0387,0.2207,0.09,0.0187,0.2332,0.0624,0.0142,0.4256,0.056
20,4x3,likert,0,2,0,0.0042,0.4521,0.0118,0.0036,0.4522,0.0133,0.0044,0.4258,0.0137,0.0044,0.4478,0.0119,0.008,0.4561,0.0245
20,4x3,likert,0,2,0,0.0063,0.1754,0.0293,0.004,0.1993,0.0311,0.0135,0.2064,0.0282,0.006,0.1894,0.03,0.0219,0.4101,0.0207
20,4x3,likert,0,2,0,0.0254,0.4124,0.0329,0.0328,0.3985,0.0264,0.092,0.3713,0.0526,0.0301,0.4067,0.0306,0.0277,0.4277,0.0241
20,4x3,likert,0,2,0,0.0108,0.3008,0.0264,0.0122,0.32,0.0432,0.0193,0.3511,0.0377,0.0113,0.3178,0.0338,0.0055,0.4686,0.0518
20,4x3,likert,0,2,0,0.0075,0.4084,0.0298,0.0064,0.3951,0.0357,0.0229,0.3971,0.0392,0.007,0.4035,0.0339,0.0067,0.4509,0.0224
20,4x3,likert,0,2,0,0.0333,0.2527,0.0181,0.0408,0.3353,0.0149,0.042,0.2656,0.0321,0.0395,0.3168,0.015,0.0166,0.5049,0.0049
20,4x3,likert,0,2,0,0.0046,0.4132,0.0133,0.0073,0.4226,0.035,0.0155,0.3913,0.0461,0.0063,0.4011,0.0195,0.0069,0.4589,0.034
20,4x3,likert,0,2,0,0.0056,0.1164,0.03,0.0036,0.1585,0.0304,0.0059,0.1132,0.0341,0.0053,0.1595,0.0238,3e-04,0.4439,0.0072
