n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,PAR,0.05,0,0,0.5,0.0462,0.0504,0.1352
20,4x3,norm,RNK,0.05,0,0,0.5,0.0466,0.0506,0.1338
20,4x3,norm,ATS,0.05,0,0,0.5,0.0478,0.0594,0.112
20,4x3,norm,INT,0.05,0,0,0.5,0.0462,0.051,0.1346
20,4x3,norm,PAR,0.01,0,0,0.5,0.009,0.009,0.0424
20,4x3,norm,RNK,0.01,0,0,0.5,0.0088,0.0092,0.041
20,4x3,norm,ATS,0.01,0,0,0.5,0.0094,0.013,0.0326
20,4x3,norm,INT,0.01,0,0,0.5,0.0084,0.0092,0.0412
20,4x3,norm,PAR,0.05,0,0,1,0.0492,0.0506,0.4526
20,4x3,norm,RNK,0.05,0,0,1,0.047,0.0504,0.4376
20,4x3,norm,ATS,0.05,0,0,1,0.049,0.0582,0.3906
20,4x3,norm,INT,0.05,0,0,1,0.0488,0.052,0.4518
20,4x3,norm,PAR,0.01,0,0,1,0.009,0.0106,0.2278
20,4x3,norm,RNK,0.01,0,0,1,0.0084,0.0108,0.2164
20,4x3,norm,ATS,0.01,0,0,1,0.0096,0.0124,0.1676
20,4x3,norm,INT,0.01,0,0,1,0.0082,0.0106,0.225
20,4x3,norm,PAR,0.05,0,0,1.5,0.0434,0.0496,0.8398
20,4x3,norm,RNK,0.05,0,0,1.5,0.0476,0.0478,0.8142
20,4x3,norm,ATS,0.05,0,0,1.5,0.0522,0.0534,0.7824
20,4x3,norm,INT,0.05,0,0,1.5,0.0452,0.051,0.8358
20,4x3,norm,PAR,0.01,0,0,1.5,0.0108,0.0116,0.6506
20,4x3,norm,RNK,0.01,0,0,1.5,0.0114,0.0112,0.6172
20,4x3,norm,ATS,0.01,0,0,1.5,0.012,0.0152,0.543
20,4x3,norm,INT,0.01,0,0,1.5,0.011,0.0114,0.6446
20,4x3,norm,PAR,0.05,0,0,2,0.0562,0.0466,0.9796
20,4x3,norm,RNK,0.05,0,0,2,0.0588,0.045,0.9724
20,4x3,norm,ATS,0.05,0,0,2,0.0606,0.055,0.9638
20,4x3,norm,INT,0.05,0,0,2,0.0546,0.046,0.9782
20,4x3,norm,PAR,0.01,0,0,2,0.0106,0.0098,0.9302
20,4x3,norm,RNK,0.01,0,0,2,0.0096,0.0108,0.9158
20,4x3,norm,ATS,0.01,0,0,2,0.0112,0.0132,0.8824
20,4x3,norm,INT,0.01,0,0,2,0.0104,0.01,0.9274
20,4x3,norm,PAR,0.05,0.2,0,0,0.1504,0.053,0.0516
20,4x3,norm,RNK,0.05,0.2,0,0,0.144,0.052,0.0566
20,4x3,norm,ATS,0.05,0.2,0,0,0.1448,0.0586,0.0486
20,4x3,norm,INT,0.05,0.2,0,0,0.1524,0.0528,0.0512
20,4x3,norm,PAR,0.01,0.2,0,0,0.0482,0.0094,0.0132
20,4x3,norm,RNK,0.01,0.2,0,0,0.0472,0.0092,0.011
20,4x3,norm,ATS,0.01,0.2,0,0,0.05,0.0146,0.007
20,4x3,norm,INT,0.01,0.2,0,0,0.048,0.0098,0.0136
20,4x3,norm,PAR,0.05,0.4,0,0,0.5012,0.0476,0.0514
20,4x3,norm,RNK,0.05,0.4,0,0,0.4782,0.0512,0.0504
20,4x3,norm,ATS,0.05,0.4,0,0,0.4678,0.0582,0.0424
20,4x3,norm,INT,0.05,0.4,0,0,0.5008,0.048,0.0514
20,4x3,norm,PAR,0.01,0.4,0,0,0.2704,0.0102,0.0126
20,4x3,norm,RNK,0.01,0.4,0,0,0.2552,0.0098,0.0128
20,4x3,norm,ATS,0.01,0.4,0,0,0.2406,0.0122,0.0082
20,4x3,norm,INT,0.01,0.4,0,0,0.2682,0.0108,0.012
