n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,RNK,0.05,0,0,0.5,0.0466,0.0542,0.1178
20,4x3,norm,INT,0.05,0,0,0.5,0.0474,0.0564,0.1228
20,4x3,norm,VDW,0.05,0,0,0.5,0.0428,0.0508,0.1112
20,4x3,norm,KWF,0.05,0,0,0.5,0.0426,0.0514,0.109
20,4x3,norm,RNK,0.01,0,0,0.5,0.0108,0.012,0.0322
20,4x3,norm,INT,0.01,0,0,0.5,0.0094,0.0112,0.0322
20,4x3,norm,VDW,0.01,0,0,0.5,0.0096,0.0084,0.0262
20,4x3,norm,KWF,0.01,0,0,0.5,0.0094,0.0084,0.0258
20,4x3,norm,RNK,0.05,0,0,1,0.0528,0.0478,0.4102
20,4x3,norm,INT,0.05,0,0,1,0.0564,0.0466,0.4302
20,4x3,norm,VDW,0.05,0,0,1,0.0504,0.0458,0.3788
20,4x3,norm,KWF,0.05,0,0,1,0.0488,0.0474,0.3746
20,4x3,norm,RNK,0.01,0,0,1,0.0152,0.0136,0.2042
20,4x3,norm,INT,0.01,0,0,1,0.013,0.012,0.2116
20,4x3,norm,VDW,0.01,0,0,1,0.0096,0.0084,0.163
20,4x3,norm,KWF,0.01,0,0,1,0.0094,0.0096,0.1594
20,4x3,norm,RNK,0.05,0,0,1.5,0.0504,0.055,0.8114
20,4x3,norm,INT,0.05,0,0,1.5,0.0478,0.0544,0.8284
20,4x3,norm,VDW,0.05,0,0,1.5,0.045,0.0506,0.7736
20,4x3,norm,KWF,0.05,0,0,1.5,0.0444,0.0502,0.7648
20,4x3,norm,RNK,0.01,0,0,1.5,0.0092,0.0126,0.5994
20,4x3,norm,INT,0.01,0,0,1.5,0.0096,0.0126,0.6254
20,4x3,norm,VDW,0.01,0,0,1.5,0.0056,0.009,0.5346
20,4x3,norm,KWF,0.01,0,0,1.5,0.0064,0.0082,0.5252
20,4x3,norm,RNK,0.05,0,0,2,0.0518,0.0494,0.9742
20,4x3,norm,INT,0.05,0,0,2,0.0538,0.046,0.979
20,4x3,norm,VDW,0.05,0,0,2,0.0492,0.046,0.9622
20,4x3,norm,KWF,0.05,0,0,2,0.0476,0.0458,0.9594
20,4x3,norm,RNK,0.01,0,0,2,0.0102,0.012,0.9066
20,4x3,norm,INT,0.01,0,0,2,0.0122,0.0122,0.9238
20,4x3,norm,VDW,0.01,0,0,2,0.0076,0.008,0.8664
20,4x3,norm,KWF,0.01,0,0,2,0.0078,0.0072,0.8576
20,4x3,norm,RNK,0.05,0.2,0,0,0.131,0.0506,0.0512
20,4x3,norm,INT,0.05,0.2,0,0,0.1354,0.053,0.047
20,4x3,norm,VDW,0.05,0.2,0,0,0.1212,0.0532,0.0434
20,4x3,norm,KWF,0.05,0.2,0,0,0.118,0.0496,0.0422
20,4x3,norm,RNK,0.01,0.2,0,0,0.0408,0.01,0.008
20,4x3,norm,INT,0.01,0.2,0,0,0.0406,0.01,0.0088
20,4x3,norm,VDW,0.01,0.2,0,0,0.0312,0.0064,0.0078
20,4x3,norm,KWF,0.01,0.2,0,0,0.029,0.0066,0.0064
20,4x3,norm,RNK,0.05,0.4,0,0,0.471,0.0482,0.05
20,4x3,norm,INT,0.05,0.4,0,0,0.4932,0.052,0.0498
20,4x3,norm,VDW,0.05,0.4,0,0,0.4382,0.048,0.0456
20,4x3,norm,KWF,0.05,0.4,0,0,0.4356,0.0458,0.0452
20,4x3,norm,RNK,0.01,0.4,0,0,0.2332,0.0092,0.0106
20,4x3,norm,INT,0.01,0.4,0,0,0.2486,0.0096,0.0102
20,4x3,norm,VDW,0.01,0.4,0,0,0.1966,0.0068,0.008
20,4x3,norm,KWF,0.01,0.4,0,0,0.192,0.007,0.009
20,4x3,norm,RNK,0.05,0.6,0,0,0.8254,0.0504,0.0508
20,4x3,norm,INT,0.05,0.6,0,0,0.849,0.0526,0.0486
20,4x3,norm,VDW,0.05,0.6,0,0,0.7986,0.0442,0.0448
20,4x3,norm,KWF,0.05,0.6,0,0,0.7928,0.0468,0.0458
20,4x3,norm,RNK,0.01,0.6,0,0,0.6358,0.0082,0.0084
20,4x3,norm,INT,0.01,0.6,0,0,0.6606,0.0102,0.008
20,4x3,norm,VDW,0.01,0.6,0,0,0.5634,0.0066,0.0084
20,4x3,norm,KWF,0.01,0.6,0,0,0.5522,0.0066,0.0072
20,4x3,norm,RNK,0.05,0.8,0,0,0.9774,0.0526,0.05
20,4x3,norm,INT,0.05,0.8,0,0,0.9816,0.0532,0.0492
20,4x3,norm,VDW,0.05,0.8,0,0,0.9668,0.0486,0.0444
20,4x3,norm,KWF,0.05,0.8,0,0,0.9666,0.0508,0.0438
20,4x3,norm,RNK,0.01,0.8,0,0,0.9136,0.0116,0.0116
20,4x3,norm,INT,0.01,0.8,0,0,0.925,0.0116,0.0122
20,4x3,norm,VDW,0.01,0.8,0,0,0.8706,0.0074,0.0084
20,4x3,norm,KWF,0.01,0.8,0,0,0.864,0.0076,0.0084
20,4x3,norm,RNK,0.05,0,0.2,0,0.054,0.1864,0.0568
20,4x3,norm,INT,0.05,0,0.2,0,0.0522,0.1938,0.0512
20,4x3,norm,VDW,0.05,0,0.2,0,0.05,0.172,0.0484
20,4x3,norm,KWF,0.05,0,0.2,0,0.0474,0.169,0.0494
20,4x3,norm,RNK,0.01,0,0.2,0,0.0096,0.0658,0.0106
20,4x3,norm,INT,0.01,0,0.2,0,0.0086,0.0682,0.0106
20,4x3,norm,VDW,0.01,0,0.2,0,0.0066,0.0476,0.0094
20,4x3,norm,KWF,0.01,0,0.2,0,0.0068,0.0478,0.0094
20,4x3,norm,RNK,0.05,0,0.4,0,0.0458,0.6046,0.0494
20,4x3,norm,INT,0.05,0,0.4,0,0.0512,0.6258,0.049
20,4x3,norm,VDW,0.05,0,0.4,0,0.0448,0.5688,0.046
20,4x3,norm,KWF,0.05,0,0.4,0,0.043,0.5636,0.0468
20,4x3,norm,RNK,0.01,0,0.4,0,0.0108,0.3538,0.011
20,4x3,norm,INT,0.01,0,0.4,0,0.0096,0.3734,0.0096
20,4x3,norm,VDW,0.01,0,0.4,0,0.0078,0.2874,0.0076
20,4x3,norm,KWF,0.01,0,0.4,0,0.0076,0.2788,0.0084
20,4x3,norm,RNK,0.05,0,0.6,0,0.0526,0.9256,0.0476
20,4x3,norm,INT,0.05,0,0.6,0,0.053,0.9378,0.0466
20,4x3,norm,VDW,0.05,0,0.6,0,0.0498,0.9,0.045
20,4x3,norm,KWF,0.05,0,0.6,0,0.048,0.8958,0.045
20,4x3,norm,RNK,0.01,0,0.6,0,0.0114,0.7832,0.0122
20,4x3,norm,INT,0.01,0,0.6,0,0.0118,0.7986,0.0096
20,4x3,norm,VDW,0.01,0,0.6,0,0.0086,0.7064,0.0066
20,4x3,norm,KWF,0.01,0,0.6,0,0.0092,0.6994,0.0064
20,4x3,norm,RNK,0.05,0,0.8,0,0.0478,0.9968,0.0502
20,4x3,norm,INT,0.05,0,0.8,0,0.047,0.998,0.0518
20,4x3,norm,VDW,0.05,0,0.8,0,0.047,0.9954,0.0458
20,4x3,norm,KWF,0.05,0,0.8,0,0.0468,0.9944,0.046
20,4x3,norm,RNK,0.01,0,0.8,0,0.0102,0.976,0.0122
20,4x3,norm,INT,0.01,0,0.8,0,0.0088,0.98,0.0106
20,4x3,norm,VDW,0.01,0,0.8,0,0.0068,0.9556,0.0096
20,4x3,norm,KWF,0.01,0,0.8,0,0.0064,0.9528,0.0102
20,4x3,lnorm,RNK,0.05,0,0,0.5,0.0546,0.0496,0.1226
20,4x3,lnorm,INT,0.05,0,0,0.5,0.0534,0.0474,0.1228
20,4x3,lnorm,VDW,0.05,0,0,0.5,0.0456,0.0474,0.1084
20,4x3,lnorm,KWF,0.05,0,0,0.5,0.0446,0.0482,0.11
20,4x3,lnorm,RNK,0.01,0,0,0.5,0.0088,0.0084,0.033
20,4x3,lnorm,INT,0.01,0,0,0.5,0.0082,0.009,0.0326
20,4x3,lnorm,VDW,0.01,0,0,0.5,0.007,0.006,0.023
20,4x3,lnorm,KWF,0.01,0,0,0.5,0.0072,0.006,0.0232
20,4x3,lnorm,RNK,0.05,0,0,1,0.0514,0.0484,0.4194
20,4x3,lnorm,INT,0.05,0,0,1,0.0514,0.05,0.4354
20,4x3,lnorm,VDW,0.05,0,0,1,0.0488,0.0444,0.3872
20,4x3,lnorm,KWF,0.05,0,0,1,0.0482,0.046,0.3814
20,4x3,lnorm,RNK,0.01,0,0,1,0.009,0.0112,0.2066
20,4x3,lnorm,INT,0.01,0,0,1,0.0084,0.0102,0.2148
20,4x3,lnorm,VDW,0.01,0,0,1,0.0068,0.0072,0.1712
20,4x3,lnorm,KWF,0.01,0,0,1,0.007,0.0076,0.1664
20,4x3,lnorm,RNK,0.05,0,0,1.5,0.0488,0.049,0.8014
20,4x3,lnorm,INT,0.05,0,0,1.5,0.0492,0.05,0.8234
20,4x3,lnorm,VDW,0.05,0,0,1.5,0.049,0.0438,0.7598
20,4x3,lnorm,KWF,0.05,0,0,1.5,0.0452,0.0478,0.7532
20,4x3,lnorm,RNK,0.01,0,0,1.5,0.0106,0.01,0.5976
20,4x3,lnorm,INT,0.01,0,0,1.5,0.0104,0.009,0.6204
20,4x3,lnorm,VDW,0.01,0,0,1.5,0.0064,0.0062,0.5256
20,4x3,lnorm,KWF,0.01,0,0,1.5,0.008,0.007,0.515
20,4x3,lnorm,RNK,0.05,0,0,2,0.0472,0.0488,0.9726
20,4x3,lnorm,INT,0.05,0,0,2,0.045,0.0508,0.9776
20,4x3,lnorm,VDW,0.05,0,0,2,0.046,0.0472,0.963
20,4x3,lnorm,KWF,0.05,0,0,2,0.0448,0.0472,0.9606
20,4x3,lnorm,RNK,0.01,0,0,2,0.0082,0.0082,0.9062
20,4x3,lnorm,INT,0.01,0,0,2,0.0088,0.0082,0.9194
20,4x3,lnorm,VDW,0.01,0,0,2,0.0076,0.0062,0.867
20,4x3,lnorm,KWF,0.01,0,0,2,0.0076,0.006,0.8626
20,4x3,lnorm,RNK,0.05,0.2,0,0,0.1306,0.0472,0.0548
20,4x3,lnorm,INT,0.05,0.2,0,0,0.1376,0.0506,0.0584
20,4x3,lnorm,VDW,0.05,0.2,0,0,0.1248,0.0458,0.0538
20,4x3,lnorm,KWF,0.05,0.2,0,0,0.1224,0.0442,0.0532
20,4x3,lnorm,RNK,0.01,0.2,0,0,0.0432,0.0106,0.0122
20,4x3,lnorm,INT,0.01,0.2,0,0,0.0398,0.0106,0.0104
20,4x3,lnorm,VDW,0.01,0.2,0,0,0.0302,0.0066,0.01
20,4x3,lnorm,KWF,0.01,0.2,0,0,0.0292,0.0072,0.0096
20,4x3,lnorm,RNK,0.05,0.4,0,0,0.458,0.0632,0.0572
20,4x3,lnorm,INT,0.05,0.4,0,0,0.4782,0.058,0.0582
20,4x3,lnorm,VDW,0.05,0.4,0,0,0.4254,0.055,0.0498
20,4x3,lnorm,KWF,0.05,0.4,0,0,0.4178,0.0566,0.049
20,4x3,lnorm,RNK,0.01,0.4,0,0,0.233,0.0144,0.0106
20,4x3,lnorm,INT,0.01,0.4,0,0,0.2476,0.013,0.0088
20,4x3,lnorm,VDW,0.01,0.4,0,0,0.1922,0.0082,0.0092
20,4x3,lnorm,KWF,0.01,0.4,0,0,0.1858,0.0076,0.0098
20,4x3,lnorm,RNK,0.05,0.6,0,0,0.8282,0.0534,0.05
20,4x3,lnorm,INT,0.05,0.6,0,0,0.8478,0.0576,0.0526
20,4x3,lnorm,VDW,0.05,0.6,0,0,0.796,0.05,0.046
20,4x3,lnorm,KWF,0.05,0.6,0,0,0.7876,0.0494,0.0458
20,4x3,lnorm,RNK,0.01,0.6,0,0,0.617,0.0102,0.009
20,4x3,lnorm,INT,0.01,0.6,0,0,0.6468,0.0124,0.009
