n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,RNK,0.05,0.6,0,0,0.837,0.0494,0.0478
20,4x3,norm,INT,0.05,0.6,0,0,0.852,0.0504,0.049
20,4x3,norm,VDW,0.05,0.6,0,0,0.8088,0.0456,0.0458
20,4x3,norm,KWF,0.05,0.6,0,0,0.7996,0.046,0.044
20,4x3,norm,RNK,0.01,0.6,0,0,0.6374,0.0104,0.0108
20,4x3,norm,INT,0.01,0.6,0,0,0.6708,0.0102,0.0104
20,4x3,norm,VDW,0.01,0.6,0,0,0.5604,0.006,0.0068
20,4x3,norm,KWF,0.01,0.6,0,0,0.5572,0.0064,0.0076
20,4x3,norm,RNK,0.05,0.6,1,0,0.833,0.9998,0.0456
20,4x3,norm,INT,0.05,0.6,1,0,0.853,0.9998,0.0484
20,4x3,norm,VDW,0.05,0.6,1,0,0.7934,0.9998,0.047
20,4x3,norm,KWF,0.05,0.6,1,0,0.7862,0.9998,0.0472
20,4x3,norm,RNK,0.01,0.6,1,0,0.6292,0.999,0.0096
20,4x3,norm,INT,0.01,0.6,1,0,0.6612,0.999,0.0102
20,4x3,norm,VDW,0.01,0.6,1,0,0.5482,0.998,0.0078
20,4x3,norm,KWF,0.01,0.6,1,0,0.535,0.9962,0.008
20,4x3,norm,RNK,0.05,0.6,2,0,0.8182,1,0.056
20,4x3,norm,INT,0.05,0.6,2,0,0.8426,1,0.0492
20,4x3,norm,VDW,0.05,0.6,2,0,0.7798,1,0.0462
20,4x3,norm,KWF,0.05,0.6,2,0,0.7686,1,0.05
20,4x3,norm,RNK,0.01,0.6,2,0,0.6158,1,0.0124
20,4x3,norm,INT,0.01,0.6,2,0,0.6486,1,0.0104
20,4x3,norm,VDW,0.01,0.6,2,0,0.5334,1,0.0106
20,4x3,norm,KWF,0.01,0.6,2,0,0.5166,1,0.0106
20,4x3,norm,RNK,0.05,0.6,4,0,0.821,1,0.0658
20,4x3,norm,INT,0.05,0.6,4,0,0.8308,1,0.048
20,4x3,norm,VDW,0.05,0.6,4,0,0.7648,1,0.0478
20,4x3,norm,KWF,0.05,0.6,4,0,0.754,1,0.0636
20,4x3,norm,RNK,0.01,0.6,4,0,0.6162,1,0.0156
20,4x3,norm,INT,0.01,0.6,4,0,0.6294,1,0.0082
20,4x3,norm,VDW,0.01,0.6,4,0,0.5032,1,0.0094
20,4x3,norm,KWF,0.01,0.6,4,0,0.4954,1,0.0134
20,4x3,norm,RNK,0.05,0.6,8,0,0.8264,1,0.0638
20,4x3,norm,INT,0.05,0.6,8,0,0.807,1,0.0642
20,4x3,norm,VDW,0.05,0.6,8,0,0.7416,1,0.061
20,4x3,norm,KWF,0.05,0.6,8,0,0.7344,1,0.061
20,4x3,norm,RNK,0.01,0.6,8,0,0.6094,1,0.0148
20,4x3,norm,INT,0.01,0.6,8,0,0.5896,1,0.0152
20,4x3,norm,VDW,0.01,0.6,8,0,0.4664,1,0.011
20,4x3,norm,KWF,0.01,0.6,8,0,0.4704,1,0.0108
20,4x3,norm,RNK,0.05,0,0.6,0,0.0516,0.9328,0.047
20,4x3,norm,INT,0.05,0,0.6,0,0.0502,0.9434,0.044
20,4x3,norm,VDW,0.05,0,0.6,0,0.0454,0.9088,0.0432
20,4x3,norm,KWF,0.05,0,0.6,0,0.045,0.9076,0.045
20,4x3,norm,RNK,0.01,0,0.6,0,0.014,0.7908,0.01
20,4x3,norm,INT,0.01,0,0.6,0,0.0126,0.8096,0.012
20,4x3,norm,VDW,0.01,0,0.6,0,0.008,0.7182,0.0086
20,4x3,norm,KWF,0.01,0,0.6,0,0.0088,0.7092,0.0084
20,4x3,norm,RNK,0.05,1,0.6,0,0.9988,0.9166,0.0516
20,4x3,norm,INT,0.05,1,0.6,0,0.9994,0.9262,0.0484
20,4x3,norm,VDW,0.05,1,0.6,0,0.998,0.8916,0.048
20,4x3,norm,KWF,0.05,1,0.6,0,0.9974,0.8826,0.0482
20,4x3,norm,RNK,0.01,1,0.6,0,0.9926,0.764,0.0098
20,4x3,norm,INT,0.01,1,0.6,0,0.9942,0.7906,0.0094
20,4x3,norm,VDW,0.01,1,0.6,0,0.9814,0.701,0.007
20,4x3,norm,KWF,0.01,1,0.6,0,0.9818,0.6886,0.0072
20,4x3,norm,RNK,0.05,2,0.6,0,1,0.9238,0.0498
20,4x3,norm,INT,0.05,2,0.6,0,1,0.9348,0.0436
20,4x3,norm,VDW,0.05,2,0.6,0,1,0.8938,0.0466
20,4x3,norm,KWF,0.05,2,0.6,0,1,0.8874,0.0476
20,4x3,norm,RNK,0.01,2,0.6,0,1,0.7638,0.0126
20,4x3,norm,INT,0.01,2,0.6,0,1,0.7956,0.009
20,4x3,norm,VDW,0.01,2,0.6,0,1,0.69,0.01
20,4x3,norm,KWF,0.01,2,0.6,0,1,0.6724,0.012
20,4x3,norm,RNK,0.05,4,0.6,0,1,0.9122,0.0722
20,4x3,norm,INT,0.05,4,0.6,0,1,0.9194,0.0566
20,4x3,norm,VDW,0.05,4,0.6,0,1,0.8688,0.0602
20,4x3,norm,KWF,0.05,4,0.6,0,1,0.8572,0.0712
20,4x3,norm,RNK,0.01,4,0.6,0,1,0.7564,0.0166
20,4x3,norm,INT,0.01,4,0.6,0,1,0.7716,0.0096
20,4x3,norm,VDW,0.01,4,0.6,0,1,0.6532,0.0116
20,4x3,norm,KWF,0.01,4,0.6,0,1,0.6346,0.016
20,4x3,norm,RNK,0.05,8,0.6,0,1,0.9066,0.084
20,4x3,norm,INT,0.05,8,0.6,0,1,0.9052,0.0782
20,4x3,norm,VDW,0.05,8,0.6,0,1,0.845,0.0692
20,4x3,norm,KWF,0.05,8,0.6,0,1,0.8398,0.0818
20,4x3,norm,RNK,0.01,8,0.6,0,1,0.7482,0.0202
20,4x3,norm,INT,0.01,8,0.6,0,1,0.7368,0.0204
20,4x3,norm,VDW,0.01,8,0.6,0,1,0.6008,0.0172
20,4x3,norm,KWF,0.01,8,0.6,0,1,0.597,0.0184
20,4x3,norm,RNK,0.05,0,0,1.5,0.0466,0.0598,0.801
20,4x3,norm,INT,0.05,0,0,1.5,0.047,0.061,0.8166
20,4x3,norm,VDW,0.05,0,0,1.5,0.042,0.0528,0.7676
20,4x3,norm,KWF,0.05,0,0,1.5,0.0412,0.0526,0.7572
20,4x3,norm,RNK,0.01,0,0,1.5,0.0084,0.0118,0.5942
20,4x3,norm,INT,0.01,0,0,1.5,0.0072,0.01,0.6204
20,4x3,norm,VDW,0.01,0,0,1.5,0.006,0.0084,0.5288
20,4x3,norm,KWF,0.01,0,0,1.5,0.0058,0.0098,0.5174
20,4x3,norm,RNK,0.05,0,1,1.5,0.0558,0.9998,0.7882
20,4x3,norm,INT,0.05,0,1,1.5,0.0526,1,0.8278
