n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
32,4x3,likert_5,PAR,0.05,0,0,0,0.0476,0.0508,0.0518
32,4x3,likert_5,RNK,0.05,0,0,0,0.048,0.0514,0.0534
32,4x3,likert_5,ART,0.05,0,0,0,0.0848,0.0738,0.0706
32,4x3,likert_5,INT,0.05,0,0,0,0.0474,0.0498,0.0516
32,4x3,likert_5,PAR,0.01,0,0,0,0.0114,0.008,0.0096
32,4x3,likert_5,RNK,0.01,0,0,0,0.0102,0.0072,0.0108
32,4x3,likert_5,ART,0.01,0,0,0,0.022,0.019,0.0172
32,4x3,likert_5,INT,0.01,0,0,0,0.0122,0.0082,0.0092
64,4x3,likert_5,PAR,0.05,0,0,0,0.052,0.0506,0.0516
64,4x3,likert_5,RNK,0.05,0,0,0,0.0498,0.0502,0.051
64,4x3,likert_5,ART,0.05,0,0,0,0.1292,0.1178,0.0928
64,4x3,likert_5,INT,0.05,0,0,0,0.0522,0.05,0.0512
64,4x3,likert_5,PAR,0.01,0,0,0,0.0118,0.0086,0.01
64,4x3,likert_5,RNK,0.01,0,0,0,0.0126,0.0086,0.0094
64,4x3,likert_5,ART,0.01,0,0,0,0.0404,0.0374,0.0264
64,4x3,likert_5,INT,0.01,0,0,0,0.0116,0.0094,0.0098
128,4x3,likert_5,PAR,0.05,0,0,0,0.0484,0.0472,0.0472
128,4x3,likert_5,RNK,0.05,0,0,0,0.0476,0.0474,0.0476
128,4x3,likert_5,ART,0.05,0,0,0,0.2022,0.18,0.1394
128,4x3,likert_5,INT,0.05,0,0,0,0.048,0.0464,0.0468
128,4x3,likert_5,PAR,0.01,0,0,0,0.0102,0.011,0.0082
128,4x3,likert_5,RNK,0.01,0,0,0,0.0104,0.011,0.0084
128,4x3,likert_5,ART,0.01,0,0,0,0.0824,0.0734,0.0434
128,4x3,likert_5,INT,0.01,0,0,0,0.0106,0.0102,0.0084
256,4x3,likert_5,PAR,0.05,0,0,0,0.0472,0.0498,0.0498
256,4x3,likert_5,RNK,0.05,0,0,0,0.0484,0.0472,0.0498
256,4x3,likert_5,ART,0.05,0,0,0,0.3502,0.2818,0.249
256,4x3,likert_5,INT,0.05,0,0,0,0.048,0.0502,0.0506
256,4x3,likert_5,PAR,0.01,0,0,0,0.0098,0.0068,0.012
256,4x3,likert_5,RNK,0.01,0,0,0,0.0106,0.0064,0.012
256,4x3,likert_5,ART,0.01,0,0,0,0.1958,0.1526,0.1032
256,4x3,likert_5,INT,0.01,0,0,0,0.0098,0.007,0.012
512,4x3,likert_5,PAR,0.05,0,0,0,0.0494,0.0488,0.0548
512,4x3,likert_5,RNK,0.05,0,0,0,0.0502,0.0476,0.054
512,4x3,likert_5,ART,0.05,0,0,0,0.5484,0.4466,0.4712
