n,design,family,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,1,PAR,0.05,0,0,0,0.0506,0.0528,0.0504
20,4x3,norm,1,RNK,0.05,0,0,0,0.052,0.0512,0.0504
20,4x3,norm,1,ART,0.05,0,0,0,0.0526,0.0522,0.0526
20,4x3,norm,1,INT,0.05,0,0,0,0.0498,0.0516,0.0522
20,4x3,norm,1,PAR,0.01,0,0,0,0.0108,0.01,0.0082
20,4x3,norm,1,RNK,0.01,0,0,0,0.0104,0.0102,0.0096
20,4x3,norm,1,ART,0.01,0,0,0,0.0116,0.0098,0.009
20,4x3,norm,1,INT,0.01,0,0,0,0.011,0.0104,0.0092
20,4x3,norm,1.5,PAR,0.05,0,0,0,0.0548,0.0502,0.0574
20,4x3,norm,1.5,RNK,0.05,0,0,0,0.0538,0.051,0.0542
20,4x3,norm,1.5,ART,0.05,0,0,0,0.0528,0.0576,0.0582
20,4x3,norm,1.5,INT,0.05,0,0,0,0.0494,0.05,0.0572
20,4x3,norm,1.5,PAR,0.01,0,0,0,0.0122,0.0082,0.0132
20,4x3,norm,1.5,RNK,0.01,0,0,0,0.0104,0.0096,0.0106
20,4x3,norm,1.5,ART,0.01,0,0,0,0.0096,0.012,0.0118
20,4x3,norm,1.5,INT,0.01,0,0,0,0.0106,0.0086,0.0136
20,4x3,norm,2,PAR,0.05,0,0,0,0.0538,0.0498,0.0578
20,4x3,norm,2,RNK,0.05,0,0,0,0.053,0.0498,0.0534
20,4x3,norm,2,ART,0.05,0,0,0,0.0538,0.0694,0.063
20,4x3,norm,2,INT,0.05,0,0,0,0.046,0.052,0.0574
20,4x3,norm,2,PAR,0.01,0,0,0,0.0164,0.0108,0.016
20,4x3,norm,2,RNK,0.01,0,0,0,0.0106,0.013,0.0124
20,4x3,norm,2,ART,0.01,0,0,0,0.0104,0.0162,0.0142
20,4x3,norm,2,INT,0.01,0,0,0,0.0134,0.0116,0.0152
20,4x3,norm,2.5,PAR,0.05,0,0,0,0.0634,0.0456,0.0636
20,4x3,norm,2.5,RNK,0.05,0,0,0,0.0602,0.043,0.0508
20,4x3,norm,2.5,ART,0.05,0,0,0,0.0618,0.0748,0.0668
20,4x3,norm,2.5,INT,0.05,0,0,0,0.0546,0.0432,0.0598
20,4x3,norm,2.5,PAR,0.01,0,0,0,0.0222,0.01,0.0188
20,4x3,norm,2.5,RNK,0.01,0,0,0,0.0174,0.0102,0.0124
20,4x3,norm,2.5,ART,0.01,0,0,0,0.0156,0.0172,0.016
20,4x3,norm,2.5,INT,0.01,0,0,0,0.0166,0.0104,0.0172
20,4x3,norm,3,PAR,0.05,0,0,0,0.0616,0.0486,0.0742
20,4x3,norm,3,RNK,0.05,0,0,0,0.0594,0.0522,0.0578
20,4x3,norm,3,ART,0.05,0,0,0,0.0584,0.094,0.08
20,4x3,norm,3,INT,0.05,0,0,0,0.0504,0.0524,0.066
20,4x3,norm,3,PAR,0.01,0,0,0,0.022,0.0126,0.0204
20,4x3,norm,3,RNK,0.01,0,0,0,0.0162,0.0102,0.017
20,4x3,norm,3,ART,0.01,0,0,0,0.017,0.0254,0.0238
20,4x3,norm,3,INT,0.01,0,0,0,0.0136,0.012,0.018
20,4x3,likert_5,1,PAR,0.05,0,0,0,0.0496,0.0504,0.0488
20,4x3,likert_5,1,RNK,0.05,0,0,0,0.0502,0.048,0.0492
20,4x3,likert_5,1,ART,0.05,0,0,0,0.0674,0.0668,0.0596
20,4x3,likert_5,1,INT,0.05,0,0,0,0.051,0.0502,0.0492
20,4x3,likert_5,1,PAR,0.01,0,0,0,0.0126,0.0082,0.0116
20,4x3,likert_5,1,RNK,0.01,0,0,0,0.0114,0.0086,0.011
20,4x3,likert_5,1,ART,0.01,0,0,0,0.015,0.0166,0.0128
20,4x3,likert_5,1,INT,0.01,0,0,0,0.0124,0.0086,0.0122
20,4x3,likert_5,1.5,PAR,0.05,0,0,0,0.0568,0.0522,0.0552
20,4x3,likert_5,1.5,RNK,0.05,0,0,0,0.0552,0.0544,0.0554
20,4x3,likert_5,1.5,ART,0.05,0,0,0,0.0764,0.0776,0.0718
20,4x3,likert_5,1.5,INT,0.05,0,0,0,0.0564,0.0528,0.0554
20,4x3,likert_5,1.5,PAR,0.01,0,0,0,0.0108,0.011,0.0114
20,4x3,likert_5,1.5,RNK,0.01,0,0,0,0.011,0.0102,0.0112
20,4x3,likert_5,1.5,ART,0.01,0,0,0,0.0164,0.0188,0.019
20,4x3,likert_5,1.5,INT,0.01,0,0,0,0.0108,0.011,0.0112
20,4x3,likert_5,2,PAR,0.05,0,0,0,0.0542,0.05,0.0504
20,4x3,likert_5,2,RNK,0.05,0,0,0,0.0526,0.048,0.0482
20,4x3,likert_5,2,ART,0.05,0,0,0,0.076,0.084,0.0776
20,4x3,likert_5,2,INT,0.05,0,0,0,0.0536,0.0496,0.052
20,4x3,likert_5,2,PAR,0.01,0,0,0,0.0104,0.0108,0.012
20,4x3,likert_5,2,RNK,0.01,0,0,0,0.0116,0.0098,0.0104
20,4x3,likert_5,2,ART,0.01,0,0,0,0.0192,0.0236,0.0178
20,4x3,likert_5,2,INT,0.01,0,0,0,0.0106,0.0106,0.0126
20,4x3,likert_5,2.5,PAR,0.05,0,0,0,0.0566,0.0566,0.0566
20,4x3,likert_5,2.5,RNK,0.05,0,0,0,0.0614,0.0546,0.0542
20,4x3,likert_5,2.5,ART,0.05,0,0,0,0.0806,0.1246,0.0922
20,4x3,likert_5,2.5,INT,0.05,0,0,0,0.0536,0.0564,0.0566
20,4x3,likert_5,2.5,PAR,0.01,0,0,0,0.014,0.013,0.0144
20,4x3,likert_5,2.5,RNK,0.01,0,0,0,0.0138,0.0142,0.0112
20,4x3,likert_5,2.5,ART,0.01,0,0,0,0.0208,0.0438,0.025
20,4x3,likert_5,2.5,INT,0.01,0,0,0,0.013,0.0128,0.0146
20,4x3,likert_5,3,PAR,0.05,0,0,0,0.0564,0.0514,0.0684
20,4x3,likert_5,3,RNK,0.05,0,0,0,0.057,0.0502,0.0598
20,4x3,likert_5,3,ART,0.05,0,0,0,0.0798,0.1466,0.1144
20,4x3,likert_5,3,INT,0.05,0,0,0,0.0538,0.0498,0.0674
20,4x3,likert_5,3,PAR,0.01,0,0,0,0.014,0.0106,0.0172
20,4x3,likert_5,3,RNK,0.01,0,0,0,0.0128,0.0112,0.0148
20,4x3,likert_5,3,ART,0.01,0,0,0,0.022,0.0528,0.0358
20,4x3,likert_5,3,INT,0.01,0,0,0,0.0122,0.0108,0.0176
20,4x3,likert_5_flex,1,PAR,0.05,0,0,0,0.053,0.053,0.0488
20,4x3,likert_5_flex,1,RNK,0.05,0,0,0,0.0488,0.052,0.0484
20,4x3,likert_5_flex,1,ART,0.05,0,0,0,0.147,0.1298,0.1132
20,4x3,likert_5_flex,1,INT,0.05,0,0,0,0.0502,0.0496,0.0488
20,4x3,likert_5_flex,1,PAR,0.01,0,0,0,0.0098,0.0096,0.0084
20,4x3,likert_5_flex,1,RNK,0.01,0,0,0,0.0116,0.0108,0.012
20,4x3,likert_5_flex,1,ART,0.01,0,0,0,0.0618,0.052,0.0388
20,4x3,likert_5_flex,1,INT,0.01,0,0,0,0.0098,0.0104,0.0096
20,4x3,likert_5_flex,1.5,PAR,0.05,0,0,0,0.0918,0.0494,0.055
20,4x3,likert_5_flex,1.5,RNK,0.05,0,0,0,0.069,0.0504,0.0514
20,4x3,likert_5_flex,1.5,ART,0.05,0,0,0,0.1654,0.153,0.136
20,4x3,likert_5_flex,1.5,INT,0.05,0,0,0,0.0728,0.05,0.0522
20,4x3,likert_5_flex,1.5,PAR,0.01,0,0,0,0.0242,0.0096,0.0102
20,4x3,likert_5_flex,1.5,RNK,0.01,0,0,0,0.0156,0.01,0.0096
20,4x3,likert_5_flex,1.5,ART,0.01,0,0,0,0.075,0.07,0.0484
20,4x3,likert_5_flex,1.5,INT,0.01,0,0,0,0.0188,0.0106,0.009
20,4x3,likert_5_flex,2,PAR,0.05,0,0,0,0.164,0.0482,0.0564
20,4x3,likert_5_flex,2,RNK,0.05,0,0,0,0.094,0.0488,0.0548
20,4x3,likert_5_flex,2,ART,0.05,0,0,0,0.2064,0.2058,0.1564
20,4x3,likert_5_flex,2,INT,0.05,0,0,0,0.106,0.0464,0.0562
20,4x3,likert_5_flex,2,PAR,0.01,0,0,0,0.0676,0.0114,0.0128
20,4x3,likert_5_flex,2,RNK,0.01,0,0,0,0.0362,0.011,0.0116
20,4x3,likert_5_flex,2,ART,0.01,0,0,0,0.1062,0.1076,0.0732
20,4x3,likert_5_flex,2,INT,0.01,0,0,0,0.0404,0.0106,0.0134
20,4x3,likert_5_flex,2.5,PAR,0.05,0,0,0,0.2432,0.0478,0.059
20,4x3,likert_5_flex,2.5,RNK,0.05,0,0,0,0.1372,0.0488,0.0536
20,4x3,likert_5_flex,2.5,ART,0.05,0,0,0,0.2372,0.2462,0.188
20,4x3,likert_5_flex,2.5,INT,0.05,0,0,0,0.1468,0.0504,0.0554
