n,design,family,missingratio,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,0.1,1,PAR,0.05,0,0,0,0.0544,0.0492,0.049
20,4x3,norm,0.1,1,RNK,0.05,0,0,0,0.0534,0.0496,0.0478
20,4x3,norm,0.1,1,ART,0.05,0,0,0,0.0532,0.0502,0.0466
20,4x3,norm,0.1,1,INT,0.05,0,0,0,0.054,0.0468,0.0498
20,4x3,norm,0.1,1,PAR,0.01,0,0,0,0.01,0.0106,0.0088
20,4x3,norm,0.1,1,RNK,0.01,0,0,0,0.0104,0.0098,0.01
20,4x3,norm,0.1,1,ART,0.01,0,0,0,0.01,0.0102,0.0094
20,4x3,norm,0.1,1,INT,0.01,0,0,0,0.0102,0.0096,0.0098
20,4x3,norm,0.2,1,PAR,0.05,0,0,0,0.0564,0.0482,0.051
20,4x3,norm,0.2,1,RNK,0.05,0,0,0,0.0554,0.05,0.0542
20,4x3,norm,0.2,1,ART,0.05,0,0,0,0.0536,0.046,0.0528
20,4x3,norm,0.2,1,INT,0.05,0,0,0,0.0564,0.0494,0.0512
20,4x3,norm,0.2,1,PAR,0.01,0,0,0,0.0106,0.0088,0.0084
20,4x3,norm,0.2,1,RNK,0.01,0,0,0,0.0114,0.0092,0.0098
20,4x3,norm,0.2,1,ART,0.01,0,0,0,0.011,0.0074,0.0082
20,4x3,norm,0.2,1,INT,0.01,0,0,0,0.0116,0.0078,0.009
20,4x3,norm,0.3,1,PAR,0.05,0,0,0,0.0504,0.0516,0.0508
20,4x3,norm,0.3,1,RNK,0.05,0,0,0,0.052,0.054,0.0548
20,4x3,norm,0.3,1,ART,0.05,0,0,0,0.0462,0.0496,0.0512
20,4x3,norm,0.3,1,INT,0.05,0,0,0,0.0498,0.0526,0.0518
20,4x3,norm,0.3,1,PAR,0.01,0,0,0,0.0108,0.0136,0.0112
20,4x3,norm,0.3,1,RNK,0.01,0,0,0,0.0122,0.0134,0.0112
20,4x3,norm,0.3,1,ART,0.01,0,0,0,0.0104,0.0124,0.0098
20,4x3,norm,0.3,1,INT,0.01,0,0,0,0.0122,0.0124,0.0106
20,4x3,norm,0.1,2,PAR,0.05,0,0,0,0.06,0.0516,0.0568
20,4x3,norm,0.1,2,RNK,0.05,0,0,0,0.0566,0.0532,0.0516
20,4x3,norm,0.1,2,ART,0.05,0,0,0,0.0528,0.067,0.0628
20,4x3,norm,0.1,2,INT,0.05,0,0,0,0.054,0.0516,0.055
20,4x3,norm,0.1,2,PAR,0.01,0,0,0,0.013,0.0112,0.015
20,4x3,norm,0.1,2,RNK,0.01,0,0,0,0.01,0.011,0.0108
20,4x3,norm,0.1,2,ART,0.01,0,0,0,0.0098,0.017,0.014
20,4x3,norm,0.1,2,INT,0.01,0,0,0,0.0106,0.0116,0.0146
20,4x3,norm,0.2,2,PAR,0.05,0,0,0,0.0574,0.0546,0.0618
20,4x3,norm,0.2,2,RNK,0.05,0,0,0,0.0568,0.0528,0.05
20,4x3,norm,0.2,2,ART,0.05,0,0,0,0.053,0.0728,0.0592
20,4x3,norm,0.2,2,INT,0.05,0,0,0,0.05,0.0582,0.0576
20,4x3,norm,0.2,2,PAR,0.01,0,0,0,0.0152,0.0116,0.0138
20,4x3,norm,0.2,2,RNK,0.01,0,0,0,0.0142,0.0104,0.012
20,4x3,norm,0.2,2,ART,0.01,0,0,0,0.0142,0.0152,0.0152
20,4x3,norm,0.2,2,INT,0.01,0,0,0,0.0144,0.0112,0.0132
20,4x3,norm,0.3,2,PAR,0.05,0,0,0,0.0542,0.0528,0.0606
20,4x3,norm,0.3,2,RNK,0.05,0,0,0,0.05,0.053,0.0522
20,4x3,norm,0.3,2,ART,0.05,0,0,0,0.0482,0.0632,0.0594
20,4x3,norm,0.3,2,INT,0.05,0,0,0,0.047,0.0522,0.0582
20,4x3,norm,0.3,2,PAR,0.01,0,0,0,0.012,0.0094,0.0154
20,4x3,norm,0.3,2,RNK,0.01,0,0,0,0.0122,0.0098,0.0126
20,4x3,norm,0.3,2,ART,0.01,0,0,0,0.011,0.0132,0.0138
20,4x3,norm,0.3,2,INT,0.01,0,0,0,0.0106,0.0094,0.0144
20,4x3,norm,0.1,1,PAR,0.05,0.5,0,0,0.6504,0.0498,0.0496
20,4x3,norm,0.1,1,RNK,0.05,0.5,0,0,0.6268,0.0474,0.0508
20,4x3,norm,0.1,1,ART,0.05,0.5,0,0,0.6284,0.0476,0.0484
20,4x3,norm,0.1,1,INT,0.05,0.5,0,0,0.6484,0.0496,0.0512
20,4x3,norm,0.1,1,PAR,0.01,0.5,0,0,0.4218,0.0094,0.0078
20,4x3,norm,0.1,1,RNK,0.01,0.5,0,0,0.4056,0.0104,0.009
20,4x3,norm,0.1,1,ART,0.01,0.5,0,0,0.4074,0.0084,0.0082
20,4x3,norm,0.1,1,INT,0.01,0.5,0,0,0.4182,0.0098,0.0082
20,4x3,norm,0.2,1,PAR,0.05,0.5,0,0,0.6106,0.0488,0.0494
20,4x3,norm,0.2,1,RNK,0.05,0.5,0,0,0.58,0.0476,0.049
20,4x3,norm,0.2,1,ART,0.05,0.5,0,0,0.5802,0.046,0.0494
20,4x3,norm,0.2,1,INT,0.05,0.5,0,0,0.6034,0.048,0.049
20,4x3,norm,0.2,1,PAR,0.01,0.5,0,0,0.3686,0.009,0.0098
20,4x3,norm,0.2,1,RNK,0.01,0.5,0,0,0.341,0.0098,0.0096
20,4x3,norm,0.2,1,ART,0.01,0.5,0,0,0.3358,0.0098,0.01
20,4x3,norm,0.2,1,INT,0.01,0.5,0,0,0.3612,0.0094,0.0106
20,4x3,norm,0.3,1,PAR,0.05,0.5,0,0,0.533,0.053,0.0478
20,4x3,norm,0.3,1,RNK,0.05,0.5,0,0,0.5092,0.0516,0.0514
20,4x3,norm,0.3,1,ART,0.05,0.5,0,0,0.5046,0.0496,0.0484
20,4x3,norm,0.3,1,INT,0.05,0.5,0,0,0.5298,0.0544,0.0478
