n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
10,2x2,norm,PAR,0.05,0,0,0,0.0504,0.0538,0.0484
10,2x2,norm,RNK,0.05,0,0,0,0.0524,0.053,0.0514
10,2x2,norm,ART,0.05,0,0,0,0.0532,0.0532,0.0494
10,2x2,norm,INT,0.05,0,0,0,0.0526,0.0516,0.0496
10,2x2,norm,PAR,0.01,0,0,0,0.0102,0.0094,0.0086
10,2x2,norm,RNK,0.01,0,0,0,0.0122,0.0104,0.0098
10,2x2,norm,ART,0.01,0,0,0,0.0116,0.0108,0.0094
10,2x2,norm,INT,0.01,0,0,0,0.0106,0.0096,0.0088
10,2x2,norm,PAR,0.05,0,0,0.5,0.0578,0.0514,0.123
10,2x2,norm,RNK,0.05,0,0,0.5,0.0584,0.052,0.1162
10,2x2,norm,ART,0.05,0,0,0.5,0.0584,0.0534,0.119
10,2x2,norm,INT,0.05,0,0,0.5,0.0578,0.052,0.1196
10,2x2,norm,PAR,0.01,0,0,0.5,0.0112,0.0124,0.033
10,2x2,norm,RNK,0.01,0,0,0.5,0.012,0.0128,0.0332
10,2x2,norm,ART,0.01,0,0,0.5,0.0116,0.0128,0.037
10,2x2,norm,INT,0.01,0,0,0.5,0.0112,0.0116,0.034
10,2x2,norm,PAR,0.05,0,0,1,0.0524,0.0542,0.3316
10,2x2,norm,RNK,0.05,0,0,1,0.0564,0.0556,0.3186
10,2x2,norm,ART,0.05,0,0,1,0.0534,0.0506,0.3168
10,2x2,norm,INT,0.05,0,0,1,0.057,0.0538,0.321
10,2x2,norm,PAR,0.01,0,0,1,0.0098,0.0074,0.1306
10,2x2,norm,RNK,0.01,0,0,1,0.0104,0.0094,0.1282
10,2x2,norm,ART,0.01,0,0,1,0.0096,0.01,0.1278
10,2x2,norm,INT,0.01,0,0,1,0.0088,0.008,0.1284
10,2x2,norm,PAR,0.05,0,0,2,0.0472,0.0544,0.862
10,2x2,norm,RNK,0.05,0,0,2,0.0494,0.0524,0.8454
10,2x2,norm,ART,0.05,0,0,2,0.0498,0.0536,0.8454
10,2x2,norm,INT,0.05,0,0,2,0.048,0.056,0.8512
10,2x2,norm,PAR,0.01,0,0,2,0.011,0.011,0.6532
10,2x2,norm,RNK,0.01,0,0,2,0.0124,0.0116,0.634
10,2x2,norm,ART,0.01,0,0,2,0.0122,0.0118,0.6356
10,2x2,norm,INT,0.01,0,0,2,0.0102,0.0102,0.6366
10,2x2,norm,PAR,0.05,0,0,4,0.0582,0.0518,1
10,2x2,norm,RNK,0.05,0,0,4,0.06,0.0516,1
10,2x2,norm,ART,0.05,0,0,4,0.0578,0.053,1
10,2x2,norm,INT,0.05,0,0,4,0.0586,0.0512,1
10,2x2,norm,PAR,0.01,0,0,4,0.014,0.0116,0.9996
10,2x2,norm,RNK,0.01,0,0,4,0.013,0.0092,0.9996
10,2x2,norm,ART,0.01,0,0,4,0.0128,0.0118,0.9992
10,2x2,norm,INT,0.01,0,0,4,0.0138,0.0122,0.9996
10,2x2,norm,PAR,0.05,0,0,8,0.0488,0.059,1
10,2x2,norm,RNK,0.05,0,0,8,0.0512,0.057,1
10,2x2,norm,ART,0.05,0,0,8,0.048,0.0592,1
10,2x2,norm,INT,0.05,0,0,8,0.0482,0.0566,1
10,2x2,norm,PAR,0.01,0,0,8,0.0092,0.0154,1
10,2x2,norm,RNK,0.01,0,0,8,0.0106,0.0146,1
10,2x2,norm,ART,0.01,0,0,8,0.0118,0.0152,1
10,2x2,norm,INT,0.01,0,0,8,0.0092,0.0134,1
10,2x2,norm,PAR,0.05,0.5,0,0.5,0.332,0.052,0.1196
10,2x2,norm,RNK,0.05,0.5,0,0.5,0.3198,0.0542,0.1142
10,2x2,norm,ART,0.05,0.5,0,0.5,0.322,0.055,0.1158
