n,design,family,sd_ratio,method,alpha,effect,rate
20,within-2,norm,1,PAR,0.05,0,0.0508
20,within-2,norm,1,RNK,0.05,0,0.0532
20,within-2,norm,1,INT,0.05,0,0.0498
20,within-2,norm,1,NON,0.05,0,0.0476
20,within-2,norm,1,PAR,0.01,0,0.0098
20,within-2,norm,1,RNK,0.01,0,0.0112
20,within-2,norm,1,INT,0.01,0,0.0108
20,within-2,norm,1,NON,0.01,0,0.01
20,within-2,norm,1.5,PAR,0.05,0,0.0454
20,within-2,norm,1.5,RNK,0.05,0,0.05
20,within-2,norm,1.5,INT,0.05,0,0.0416
20,within-2,norm,1.5,NON,0.05,0,0.0456
20,within-2,norm,1.5,PAR,0.01,0,0.0062
20,within-2,norm,1.5,RNK,0.01,0,0.0078
20,within-2,norm,1.5,INT,0.01,0,0.0056
20,within-2,norm,1.5,NON,0.01,0,0.007
20,within-2,norm,2,PAR,0.05,0,0.0506
20,within-2,norm,2,RNK,0.05,0,0.0612
20,within-2,norm,2,INT,0.05,0,0.044
20,within-2,norm,2,NON,0.05,0,0.0508
20,within-2,norm,2,PAR,0.01,0,0.0096
20,within-2,norm,2,RNK,0.01,0,0.013
20,within-2,norm,2,INT,0.01,0,0.0086
20,within-2,norm,2,NON,0.01,0,0.0098
20,within-2,norm,2.5,PAR,0.05,0,0.0492
20,within-2,norm,2.5,RNK,0.05,0,0.0662
20,within-2,norm,2.5,INT,0.05,0,0.0426
20,within-2,norm,2.5,NON,0.05,0,0.0486
20,within-2,norm,2.5,PAR,0.01,0,0.01
20,within-2,norm,2.5,RNK,0.01,0,0.0154
20,within-2,norm,2.5,INT,0.01,0,0.0078
20,within-2,norm,2.5,NON,0.01,0,0.009
20,within-2,norm,3,PAR,0.05,0,0.0492
20,within-2,norm,3,RNK,0.05,0,0.0692
20,within-2,norm,3,INT,0.05,0,0.0378
20,within-2,norm,3,NON,0.05,0,0.0476
20,within-2,norm,3,PAR,0.01,0,0.0096
20,within-2,norm,3,RNK,0.01,0,0.0154
20,within-2,norm,3,INT,0.01,0,0.0072
20,within-2,norm,3,NON,0.01,0,0.0104
20,within-2,likert_5,1,PAR,0.05,0,0.0524
20,within-2,likert_5,1,RNK,0.05,0,0.0524
20,within-2,likert_5,1,INT,0.05,0,0.051
20,within-2,likert_5,1,NON,0.05,0,0.0444
20,within-2,likert_5,1,PAR,0.01,0,0.011
20,within-2,likert_5,1,RNK,0.01,0,0.0106
20,within-2,likert_5,1,INT,0.01,0,0.0112
20,within-2,likert_5,1,NON,0.01,0,0.0066
20,within-2,likert_5,1.5,PAR,0.05,0,0.0542
20,within-2,likert_5,1.5,RNK,0.05,0,0.0524
20,within-2,likert_5,1.5,INT,0.05,0,0.0512
20,within-2,likert_5,1.5,NON,0.05,0,0.0454
20,within-2,likert_5,1.5,PAR,0.01,0,0.0116
20,within-2,likert_5,1.5,RNK,0.01,0,0.0122
20,within-2,likert_5,1.5,INT,0.01,0,0.0114
