n,design,distr,effectX1,effectX2,effectX1X2,X1,X2,X1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
16,4x3,likert5B,0,0,0,0.0507,0.0061,0.0256,0.0423,0.019,0.0516,0.0492,0.0227,0.0645,0.059,0.0294,0.0727,0.0579,0.0239,0.0587
16,4x3,likert5B,0,0,0,0.0089,0.0088,0.0386,0.0283,0.0081,0.0401,0.0224,0.0143,0.0408,0.035,0.0172,0.0453,0.0263,0.012,0.0436
16,4x3,likert5B,0,0,0,0.0169,0.0029,0.0481,0.012,0.0179,0.0288,0.0113,0.0211,0.0318,0.0296,0.0066,0.0519,0.0114,0.0213,0.03
16,4x3,likert5B,0,0,0,0.0374,0.0017,0.0385,0.0336,0.0012,0.0643,0.0423,0.0008,0.0606,0.0386,0.0035,0.06,0.0359,0.0023,0.0653
16,4x3,likert5B,0,0,0,0.0126,0.0259,0.0377,0.0156,0.0112,0.0682,0.0208,0.0108,0.0726,0.0217,0.0233,0.0855,0.0198,0.0116,0.0747
16,4x3,likert5B,0,0,0,0.0112,0.0058,0.0612,0.01,0.0019,0.0468,0.0093,0.0009,0.0453,0.0287,0.0099,0.0562,0.0097,0.0018,0.0518
16,4x3,likert5B,0,0,0,0.0176,0.0151,0.051,0.0251,0.0095,0.0366,0.0252,0.0102,0.0339,0.0623,0.0244,0.0455,0.0219,0.0105,0.0291
16,4x3,likert5B,0,0,0,0.0274,0.0034,0.0239,0.0373,0.0045,0.0308,0.0408,0.0041,0.0312,0.0496,0.0033,0.035,0.0362,0.0046,0.029
16,4x3,likert5B,0,0,0,0.0266,0.0128,0.016,0.0283,0.0125,0.0163,0.0366,0.0119,0.0113,0.0472,0.0247,0.03,0.0356,0.0099,0.012
16,4x3,likert5B,0,0,0,0.0079,0.0043,0.0087,0.0027,0.0009,0.0166,0.0019,0.0016,0.0085,0.0085,0.0011,0.0116,0.0027,0.0017,0.009
16,4x3,likert5B,0,0,0,0.0193,0.0055,0.0215,0.014,0.0245,0.0159,0.0166,0.0145,0.0082,0.0095,0.013,0.0064,0.015,0.0163,0.0092
16,4x3,likert5B,0,0,0,0.0177,0.0045,0.0577,0.0349,0.0128,0.0668,0.0251,0.0157,0.0668,0.0527,0.0209,0.0739,0.0245,0.0164,0.0697
16,4x3,likert5B,0,0,0,0.0345,0.0012,0.0524,0.0225,0.0027,0.0545,0.0292,0.0001,0.0469,0.0808,0.0106,0.0632,0.0258,0.0004,0.05
16,4x3,likert5B,0,0,0,0.0001,0.0024,0.0216,0.0116,0.0037,0.0193,0.0068,0.0028,0.011,0.0098,0.0041,0.0166,0.0077,0.0064,0.0119
16,4x3,likert5B,0,0,0,0.0067,0.0131,0.0388,0.0124,0.0149,0.0312,0.0047,0.0116,0.0321,0.0137,0.024,0.074,0.0074,0.0127,0.0303
16,4x3,likert5B,0,0,0,0.02,0.0085,0.0089,0.015,0.0042,0.018,0.0138,0.0044,0.0158,0.0061,0.0053,0.0196,0.0177,0.0056,0.017
16,4x3,likert5B,0,0,0,0.0133,0.0006,0.0428,0.0114,0.0012,0.1012,0.0037,0.0002,0.0896,0.0082,0.0072,0.0675,0.0049,0.0004,0.0933
16,4x3,likert5B,0,0,0,0.0208,0.0091,0.0641,0.0092,0.0104,0.0577,0.0116,0.0108,0.0537,0.0057,0.0022,0.052,0.0106,0.0123,0.0539
16,4x3,likert5B,0,0,0,0.0076,0.0224,0.0904,0.01,0.0343,0.0222,0.01,0.0329,0.0276,0.049,0.0301,0.0501,0.0104,0.0384,0.0371
16,4x3,likert5B,0,0,0,0.0041,0.0082,0.0472,0.0143,0.0036,0.0589,0.0113,0.0067,0.0442,0.0289,0.0329,0.0553,0.0098,0.0055,0.0466
16,4x3,likert5B,0,0,0,0.024,0.0092,0.0104,0.0301,0.0298,0.0148,0.03,0.0293,0.0148,0.0257,0.0187,0.0231,0.0278,0.0288,0.014
16,4x3,likert5B,0,0,0,0.0113,0.0205,0.0294,0.0198,0.0376,0.0166,0.0186,0.0407,0.0128,0.013,0.0185,0.0159,0.0219,0.0355,0.0151
16,4x3,likert5B,0,0,0,0.0002,0.0213,0.0419,0.0104,0.0101,0.0249,0.0094,0.0058,0.0072,0.0542,0.015,0.0266,0.0077,0.0073,0.0108
16,4x3,likert5B,0,0,0,0.0219,0.0038,0.0268,0.021,0.0013,0.0227,0.0241,0.007,0.0198,0.0251,0.0039,0.0468,0.0211,0.0028,0.0221
