Participant,Difficulty,Technique,Rating
s0001,Level1,A,3
s0001,Level1,B,3
s0001,Level1,C,3
s0001,Level2,A,5
s0001,Level2,B,3
s0001,Level2,C,3
s0001,Level3,A,4
s0001,Level3,B,4
s0001,Level3,C,5
s0001,Level4,A,2
s0001,Level4,B,3
s0001,Level4,C,1
s0002,Level1,A,1
s0002,Level1,B,3
s0002,Level1,C,3
s0002,Level2,A,1
s0002,Level2,B,3
s0002,Level2,C,1
s0002,Level3,A,2
s0002,Level3,B,1
s0002,Level3,C,3
s0002,Level4,A,3
s0002,Level4,B,4
s0002,Level4,C,1
s0003,Level1,A,5
s0003,Level1,B,4
s0003,Level1,C,4
s0003,Level2,A,3
s0003,Level2,B,3
s0003,Level2,C,3
s0003,Level3,A,4
s0003,Level3,B,3
s0003,Level3,C,3
s0003,Level4,A,3
s0003,Level4,B,3
s0003,Level4,C,3
s0004,Level1,A,5
s0004,Level1,B,3
s0004,Level1,C,4
s0004,Level2,A,3
s0004,Level2,B,5
s0004,Level2,C,3
s0004,Level3,A,5
s0004,Level3,B,5
s0004,Level3,C,5
s0004,Level4,A,3
s0004,Level4,B,3
s0004,Level4,C,4
s0005,Level1,A,1
s0005,Level1,B,3
s0005,Level1,C,3
s0005,Level2,A,3
s0005,Level2,B,2
s0005,Level2,C,3
s0005,Level3,A,3
s0005,Level3,B,1
s0005,Level3,C,3
s0005,Level4,A,2
s0005,Level4,B,3
s0005,Level4,C,3
s0006,Level1,A,3
s0006,Level1,B,5
s0006,Level1,C,3
s0006,Level2,A,5
s0006,Level2,B,4
s0006,Level2,C,3
s0006,Level3,A,5
s0006,Level3,B,4
s0006,Level3,C,4
s0006,Level4,A,5
s0006,Level4,B,4
s0006,Level4,C,5
s0007,Level1,A,3
s0007,Level1,B,5
s0007,Level1,C,5
s0007,Level2,A,5
s0007,Level2,B,3
s0007,Level2,C,5
s0007,Level3,A,5
s0007,Level3,B,4
s0007,Level3,C,3
s0007,Level4,A,3
s0007,Level4,B,4
s0007,Level4,C,5
s0008,Level1,A,1
s0008,Level1,B,3
s0008,Level1,C,3
s0008,Level2,A,3
s0008,Level2,B,4
s0008,Level2,C,3
s0008,Level3,A,3
s0008,Level3,B,3
s0008,Level3,C,3
s0008,Level4,A,3
s0008,Level4,B,4
s0008,Level4,C,3
s0009,Level1,A,1
s0009,Level1,B,1
s0009,Level1,C,1
s0009,Level2,A,1
s0009,Level2,B,1
s0009,Level2,C,1
s0009,Level3,A,1
s0009,Level3,B,2
s0009,Level3,C,1
s0009,Level4,A,1
s0009,Level4,B,1
s0009,Level4,C,1
s0010,Level1,A,4
s0010,Level1,B,4
s0010,Level1,C,3
s0010,Level2,A,3
s0010,Level2,B,3
s0010,Level2,C,3
s0010,Level3,A,3
s0010,Level3,B,3
s0010,Level3,C,1
s0010,Level4,A,3
s0010,Level4,B,4
s0010,Level4,C,3
s0011,Level1,A,3
s0011,Level1,B,3
s0011,Level1,C,3
s0011,Level2,A,3
s0011,Level2,B,5
s0011,Level2,C,3
s0011,Level3,A,5
s0011,Level3,B,3
s0011,Level3,C,3
s0011,Level4,A,3
s0011,Level4,B,3
s0011,Level4,C,1
s0012,Level1,A,3
s0012,Level1,B,3
s0012,Level1,C,3
s0012,Level2,A,2
s0012,Level2,B,3
s0012,Level2,C,3
s0012,Level3,A,3
s0012,Level3,B,3
s0012,Level3,C,3
s0012,Level4,A,4
s0012,Level4,B,3
s0012,Level4,C,3
s0013,Level1,A,3
s0013,Level1,B,3
s0013,Level1,C,3
s0013,Level2,A,3
s0013,Level2,B,1
s0013,Level2,C,2
s0013,Level3,A,3
s0013,Level3,B,1
s0013,Level3,C,1
s0013,Level4,A,3
s0013,Level4,B,2
s0013,Level4,C,5
s0014,Level1,A,3
s0014,Level1,B,3
s0014,Level1,C,4
s0014,Level2,A,3
s0014,Level2,B,3
s0014,Level2,C,3
s0014,Level3,A,4
s0014,Level3,B,4
s0014,Level3,C,3
s0014,Level4,A,3
s0014,Level4,B,3
s0014,Level4,C,5
s0015,Level1,A,3
s0015,Level1,B,3
s0015,Level1,C,3
s0015,Level2,A,3
s0015,Level2,B,4
s0015,Level2,C,2
s0015,Level3,A,3
s0015,Level3,B,3
s0015,Level3,C,3
s0015,Level4,A,3
s0015,Level4,B,4
s0015,Level4,C,3
s0016,Level1,A,3
s0016,Level1,B,3
s0016,Level1,C,5
s0016,Level2,A,1
s0016,Level2,B,3
s0016,Level2,C,3
s0016,Level3,A,2
s0016,Level3,B,4
s0016,Level3,C,3
s0016,Level4,A,3
s0016,Level4,B,1
s0016,Level4,C,3
s0017,Level1,A,3
s0017,Level1,B,3
s0017,Level1,C,1
s0017,Level2,A,3
s0017,Level2,B,3
s0017,Level2,C,3
s0017,Level3,A,3
s0017,Level3,B,3
s0017,Level3,C,3
s0017,Level4,A,3
s0017,Level4,B,3
s0017,Level4,C,3
s0018,Level1,A,3
s0018,Level1,B,1
s0018,Level1,C,2
s0018,Level2,A,3
s0018,Level2,B,3
s0018,Level2,C,1
s0018,Level3,A,3
s0018,Level3,B,3
s0018,Level3,C,1
s0018,Level4,A,1
s0018,Level4,B,3
s0018,Level4,C,3
s0019,Level1,A,2
s0019,Level1,B,3
s0019,Level1,C,3
s0019,Level2,A,1
s0019,Level2,B,1
s0019,Level2,C,3
s0019,Level3,A,3
s0019,Level3,B,3
s0019,Level3,C,3
s0019,Level4,A,4
s0019,Level4,B,3
s0019,Level4,C,1
s0020,Level1,A,3
s0020,Level1,B,3
s0020,Level1,C,3
s0020,Level2,A,4
s0020,Level2,B,3
s0020,Level2,C,3
s0020,Level3,A,3
s0020,Level3,B,4
s0020,Level3,C,3
s0020,Level4,A,3
s0020,Level4,B,3
s0020,Level4,C,3
s0021,Level1,A,1
s0021,Level1,B,2
s0021,Level1,C,3
s0021,Level2,A,3
s0021,Level2,B,1
s0021,Level2,C,1
s0021,Level3,A,1
s0021,Level3,B,3
s0021,Level3,C,2
s0021,Level4,A,2
s0021,Level4,B,3
s0021,Level4,C,1
s0022,Level1,A,3
s0022,Level1,B,3
s0022,Level1,C,4
s0022,Level2,A,3
s0022,Level2,B,3
s0022,Level2,C,3
s0022,Level3,A,3
s0022,Level3,B,3
s0022,Level3,C,3
s0022,Level4,A,3
s0022,Level4,B,4
s0022,Level4,C,3
s0023,Level1,A,3
s0023,Level1,B,4
s0023,Level1,C,3
s0023,Level2,A,3
s0023,Level2,B,3
s0023,Level2,C,3
s0023,Level3,A,3
s0023,Level3,B,3
s0023,Level3,C,3
s0023,Level4,A,3
s0023,Level4,B,5
s0023,Level4,C,4
s0024,Level1,A,3
s0024,Level1,B,3
s0024,Level1,C,1
s0024,Level2,A,3
s0024,Level2,B,2
s0024,Level2,C,3
s0024,Level3,A,2
s0024,Level3,B,3
s0024,Level3,C,3
s0024,Level4,A,3
s0024,Level4,B,3
s0024,Level4,C,3
s0025,Level1,A,3
s0025,Level1,B,1
s0025,Level1,C,1
s0025,Level2,A,1
s0025,Level2,B,1
s0025,Level2,C,5
s0025,Level3,A,3
s0025,Level3,B,3
s0025,Level3,C,3
s0025,Level4,A,3
s0025,Level4,B,1
s0025,Level4,C,3
s0026,Level1,A,1
s0026,Level1,B,3
s0026,Level1,C,3
s0026,Level2,A,4
s0026,Level2,B,1
s0026,Level2,C,4
s0026,Level3,A,3
s0026,Level3,B,3
s0026,Level3,C,5
s0026,Level4,A,4
s0026,Level4,B,3
s0026,Level4,C,3
s0027,Level1,A,5
s0027,Level1,B,3
s0027,Level1,C,3
s0027,Level2,A,3
s0027,Level2,B,3
s0027,Level2,C,4
s0027,Level3,A,4
s0027,Level3,B,3
s0027,Level3,C,5
s0027,Level4,A,5
s0027,Level4,B,3
s0027,Level4,C,3
s0028,Level1,A,1
s0028,Level1,B,3
s0028,Level1,C,3
s0028,Level2,A,2
s0028,Level2,B,3
s0028,Level2,C,3
s0028,Level3,A,4
s0028,Level3,B,3
s0028,Level3,C,3
s0028,Level4,A,3
s0028,Level4,B,3
s0028,Level4,C,3
s0029,Level1,A,1
s0029,Level1,B,3
s0029,Level1,C,1
s0029,Level2,A,1
s0029,Level2,B,2
s0029,Level2,C,1
s0029,Level3,A,2
s0029,Level3,B,3
s0029,Level3,C,3
s0029,Level4,A,1
s0029,Level4,B,1
s0029,Level4,C,3
s0030,Level1,A,3
s0030,Level1,B,3
s0030,Level1,C,3
s0030,Level2,A,2
s0030,Level2,B,3
s0030,Level2,C,3
s0030,Level3,A,1
s0030,Level3,B,3
s0030,Level3,C,1
s0030,Level4,A,3
s0030,Level4,B,4
s0030,Level4,C,3
s0031,Level1,A,3
s0031,Level1,B,3
s0031,Level1,C,3
s0031,Level2,A,3
s0031,Level2,B,3
s0031,Level2,C,3
s0031,Level3,A,3
s0031,Level3,B,3
s0031,Level3,C,2
s0031,Level4,A,3
s0031,Level4,B,3
s0031,Level4,C,1
s0032,Level1,A,3
s0032,Level1,B,3
s0032,Level1,C,1
s0032,Level2,A,1
s0032,Level2,B,1
s0032,Level2,C,3
s0032,Level3,A,1
s0032,Level3,B,3
s0032,Level3,C,3
s0032,Level4,A,3
s0032,Level4,B,3
s0032,Level4,C,1
s0033,Level1,A,3
s0033,Level1,B,1
s0033,Level1,C,1
s0033,Level2,A,1
s0033,Level2,B,1
s0033,Level2,C,1
s0033,Level3,A,2
s0033,Level3,B,2
s0033,Level3,C,1
s0033,Level4,A,1
s0033,Level4,B,3
s0033,Level4,C,3
s0034,Level1,A,3
s0034,Level1,B,4
s0034,Level1,C,3
s0034,Level2,A,3
s0034,Level2,B,5
s0034,Level2,C,3
s0034,Level3,A,3
s0034,Level3,B,4
s0034,Level3,C,3
s0034,Level4,A,3
s0034,Level4,B,3
s0034,Level4,C,3
s0035,Level1,A,5
s0035,Level1,B,5
s0035,Level1,C,4
s0035,Level2,A,5
s0035,Level2,B,4
s0035,Level2,C,5
s0035,Level3,A,3
s0035,Level3,B,5
s0035,Level3,C,3
s0035,Level4,A,4
s0035,Level4,B,4
s0035,Level4,C,5
