Participant,Difficulty,Technique,Time
s0001,Level1,A,0.41
s0001,Level1,B,0.23
s0001,Level1,C,0.21
s0001,Level2,A,0.6
s0001,Level2,B,0.42
s0001,Level2,C,0.56
s0001,Level3,A,0.37
s0001,Level3,B,0.43
s0001,Level3,C,0.61
s0001,Level4,A,1.67
s0001,Level4,B,1.84
s0001,Level4,C,3.41
s0002,Level1,A,0.58
s0002,Level1,B,0.98
s0002,Level1,C,0.96
s0002,Level2,A,1.21
s0002,Level2,B,0.61
s0002,Level2,C,1.2
s0002,Level3,A,0.55
s0002,Level3,B,0.47
s0002,Level3,C,0.69
s0002,Level4,A,5.34
s0002,Level4,B,2.15
s0002,Level4,C,4.41
s0003,Level1,A,1.19
s0003,Level1,B,0.37
s0003,Level1,C,0.53
s0003,Level2,A,0.5
s0003,Level2,B,0.76
s0003,Level2,C,0.86
s0003,Level3,A,0.98
s0003,Level3,B,0.9
s0003,Level3,C,0.95
s0003,Level4,A,2.7
s0003,Level4,B,12.45
s0003,Level4,C,2.32
s0004,Level1,A,1.34
s0004,Level1,B,1.69
s0004,Level1,C,1.22
s0004,Level2,A,0.98
s0004,Level2,B,1.2
s0004,Level2,C,0.99
s0004,Level3,A,1.08
s0004,Level3,B,1.22
s0004,Level3,C,2.28
s0004,Level4,A,4.07
s0004,Level4,B,4.12
s0004,Level4,C,4.48
s0005,Level1,A,0.2
s0005,Level1,B,0.99
s0005,Level1,C,0.2
s0005,Level2,A,0.64
s0005,Level2,B,0.53
s0005,Level2,C,0.2
s0005,Level3,A,0.29
s0005,Level3,B,0.53
s0005,Level3,C,0.28
s0005,Level4,A,1.02
s0005,Level4,B,1.69
s0005,Level4,C,1.7
s0006,Level1,A,0.22
s0006,Level1,B,0.62
s0006,Level1,C,0.23
s0006,Level2,A,0.24
s0006,Level2,B,0.55
s0006,Level2,C,0.38
s0006,Level3,A,0.7
s0006,Level3,B,0.41
s0006,Level3,C,0.64
s0006,Level4,A,2.37
s0006,Level4,B,5.43
s0006,Level4,C,2.81
s0007,Level1,A,0.66
s0007,Level1,B,0.31
s0007,Level1,C,0.39
s0007,Level2,A,0.64
s0007,Level2,B,0.65
s0007,Level2,C,0.54
s0007,Level3,A,0.54
s0007,Level3,B,0.57
s0007,Level3,C,0.79
s0007,Level4,A,3.83
s0007,Level4,B,2.38
s0007,Level4,C,2.86
s0008,Level1,A,0.75
s0008,Level1,B,0.51
s0008,Level1,C,0.44
s0008,Level2,A,0.77
s0008,Level2,B,0.6
s0008,Level2,C,0.39
s0008,Level3,A,0.37
s0008,Level3,B,0.53
s0008,Level3,C,0.48
s0008,Level4,A,1.5
s0008,Level4,B,3.06
s0008,Level4,C,1.01
s0009,Level1,A,0.84
s0009,Level1,B,0.45
s0009,Level1,C,0.91
s0009,Level2,A,1.02
s0009,Level2,B,0.8
s0009,Level2,C,1.04
s0009,Level3,A,0.48
s0009,Level3,B,0.47
s0009,Level3,C,1.03
s0009,Level4,A,6.79
s0009,Level4,B,7.14
s0009,Level4,C,1.4
s0010,Level1,A,0.81
s0010,Level1,B,1.56
s0010,Level1,C,0.61
s0010,Level2,A,0.99
s0010,Level2,B,0.59
s0010,Level2,C,1.53
s0010,Level3,A,0.22
s0010,Level3,B,0.55
s0010,Level3,C,0.86
s0010,Level4,A,2.76
s0010,Level4,B,3.12
s0010,Level4,C,3.87
s0011,Level1,A,1.02
s0011,Level1,B,0.71
s0011,Level1,C,0.46
s0011,Level2,A,0.98
s0011,Level2,B,0.94
s0011,Level2,C,0.76
s0011,Level3,A,0.47
s0011,Level3,B,0.48
s0011,Level3,C,0.55
s0011,Level4,A,2.3
s0011,Level4,B,3.21
s0011,Level4,C,4.07
s0012,Level1,A,0.82
s0012,Level1,B,1.46
s0012,Level1,C,1.38
s0012,Level2,A,1.08
s0012,Level2,B,2.04
s0012,Level2,C,3.11
s0012,Level3,A,3.72
s0012,Level3,B,1.89
s0012,Level3,C,0.56
s0012,Level4,A,5.49
s0012,Level4,B,15.21
s0012,Level4,C,3.01
s0013,Level1,A,0.18
s0013,Level1,B,0.54
s0013,Level1,C,0.53
s0013,Level2,A,0.49
s0013,Level2,B,0.48
s0013,Level2,C,0.5
s0013,Level3,A,0.4
s0013,Level3,B,0.53
s0013,Level3,C,0.19
s0013,Level4,A,3.37
s0013,Level4,B,2.98
s0013,Level4,C,1.66
s0014,Level1,A,0.84
s0014,Level1,B,0.78
s0014,Level1,C,0.35
s0014,Level2,A,0.74
s0014,Level2,B,1.01
s0014,Level2,C,0.62
s0014,Level3,A,0.92
s0014,Level3,B,0.54
s0014,Level3,C,0.57
s0014,Level4,A,5.24
s0014,Level4,B,8.19
s0014,Level4,C,2.18
s0015,Level1,A,0.71
s0015,Level1,B,1.27
s0015,Level1,C,0.62
s0015,Level2,A,0.5
s0015,Level2,B,0.86
s0015,Level2,C,0.35
s0015,Level3,A,0.89
s0015,Level3,B,0.76
s0015,Level3,C,0.55
s0015,Level4,A,2.4
s0015,Level4,B,4.86
s0015,Level4,C,3.14
s0016,Level1,A,0.28
s0016,Level1,B,0.4
s0016,Level1,C,0.33
s0016,Level2,A,0.34
s0016,Level2,B,0.26
s0016,Level2,C,0.14
