s,x1,x2,y
s0001,A1,B1,0
s0001,A1,B2,0
s0001,A1,B3,0
s0001,A2,B1,0
s0001,A2,B2,0
s0001,A2,B3,0
s0001,A3,B1,0
s0001,A3,B2,0
s0001,A3,B3,0
s0001,A4,B1,0
s0001,A4,B2,0
s0001,A4,B3,0
s0002,A1,B1,0
s0002,A1,B2,0
s0002,A1,B3,0
s0002,A2,B1,0
s0002,A2,B2,0
s0002,A2,B3,0
s0002,A3,B1,0
s0002,A3,B2,0
s0002,A3,B3,0
s0002,A4,B1,0
s0002,A4,B2,0
s0002,A4,B3,0
s0003,A1,B1,0
s0003,A1,B2,0
s0003,A1,B3,0
s0003,A2,B1,0
s0003,A2,B2,0
s0003,A2,B3,0
s0003,A3,B1,0
s0003,A3,B2,0
s0003,A3,B3,0
s0003,A4,B1,0
s0003,A4,B2,0
s0003,A4,B3,0
s0004,A1,B1,0
s0004,A1,B2,0
s0004,A1,B3,0
s0004,A2,B1,0
s0004,A2,B2,0
s0004,A2,B3,0
s0004,A3,B1,0
s0004,A3,B2,0
s0004,A3,B3,0
s0004,A4,B1,0
s0004,A4,B2,0
s0004,A4,B3,0
s0005,A1,B1,0
s0005,A1,B2,0
s0005,A1,B3,0
s0005,A2,B1,0
s0005,A2,B2,0
s0005,A2,B3,0
s0005,A3,B1,0
s0005,A3,B2,0
s0005,A3,B3,0
s0005,A4,B1,0
s0005,A4,B2,0
s0005,A4,B3,0
s0006,A1,B1,0
s0006,A1,B2,0
s0006,A1,B3,0
s0006,A2,B1,0
s0006,A2,B2,0
s0006,A2,B3,0
s0006,A3,B1,0
s0006,A3,B2,0
s0006,A3,B3,0
s0006,A4,B1,0
s0006,A4,B2,0
s0006,A4,B3,0
s0007,A1,B1,0
s0007,A1,B2,0
s0007,A1,B3,0
s0007,A2,B1,0
s0007,A2,B2,0
s0007,A2,B3,0
s0007,A3,B1,0
s0007,A3,B2,0
s0007,A3,B3,0
s0007,A4,B1,0
s0007,A4,B2,0
s0007,A4,B3,0
s0008,A1,B1,0
s0008,A1,B2,0
s0008,A1,B3,0
s0008,A2,B1,0
s0008,A2,B2,0
s0008,A2,B3,0
s0008,A3,B1,0
s0008,A3,B2,0
