s,x1,x2,y
s01,A1,B1,0
s01,A1,B2,0
s01,A1,B3,0
s01,A2,B1,0
s01,A2,B2,0
s01,A2,B3,0
s01,A3,B1,0
s01,A3,B2,0
s01,A3,B3,0
s01,A4,B1,0
s01,A4,B2,0
s01,A4,B3,0
s02,A1,B1,0
s02,A1,B2,0
s02,A1,B3,0
s02,A2,B1,0
s02,A2,B2,0
s02,A2,B3,0
s02,A3,B1,0
s02,A3,B2,0
s02,A3,B3,0
s02,A4,B1,0
s02,A4,B2,0
s02,A4,B3,0
s03,A1,B1,0
s03,A1,B2,0
s03,A1,B3,0
s03,A2,B1,0
s03,A2,B2,0
s03,A2,B3,0
s03,A3,B1,0
s03,A3,B2,0
s03,A3,B3,0
s03,A4,B1,0
s03,A4,B2,0
s03,A4,B3,0
s04,A1,B1,0
s04,A1,B2,0
s04,A1,B3,0
s04,A2,B1,0
s04,A2,B2,0
s04,A2,B3,0
s04,A3,B1,0
s04,A3,B2,0
s04,A3,B3,0
s04,A4,B1,0
s04,A4,B2,0
s04,A4,B3,0
s05,A1,B1,0
s05,A1,B2,0
s05,A1,B3,0
s05,A2,B1,0
s05,A2,B2,0
s05,A2,B3,0
s05,A3,B1,0
s05,A3,B2,0
s05,A3,B3,0
s05,A4,B1,0
s05,A4,B2,0
s05,A4,B3,0
s06,A1,B1,0
s06,A1,B2,0
s06,A1,B3,0
s06,A2,B1,0
s06,A2,B2,0
s06,A2,B3,0
s06,A3,B1,0
s06,A3,B2,0
s06,A3,B3,0
s06,A4,B1,0
s06,A4,B2,0
s06,A4,B3,0
s07,A1,B1,0
s07,A1,B2,0
s07,A1,B3,0
s07,A2,B1,0
s07,A2,B2,0
s07,A2,B3,0
s07,A3,B1,0
s07,A3,B2,0
s07,A3,B3,0
s07,A4,B1,0
s07,A4,B2,0
s07,A4,B3,0
s08,A1,B1,0
s08,A1,B2,0
s08,A1,B3,0
s08,A2,B1,0
s08,A2,B2,0
s08,A2,B3,0
s08,A3,B1,0
s08,A3,B2,0
s08,A3,B3,0
s08,A4,B1,0
s08,A4,B2,0
s08,A4,B3,0
s09,A1,B1,0
s09,A1,B2,0
s09,A1,B3,0
s09,A2,B1,0
s09,A2,B2,0
s09,A2,B3,0
s09,A3,B1,0
s09,A3,B2,0
s09,A3,B3,0
s09,A4,B1,0
s09,A4,B2,0
s09,A4,B3,0
s10,A1,B1,0
s10,A1,B2,0
s10,A1,B3,0
s10,A2,B1,0
s10,A2,B2,0
s10,A2,B3,0
s10,A3,B1,0
s10,A3,B2,0
s10,A3,B3,0
s10,A4,B1,0
s10,A4,B2,0
s10,A4,B3,0
s11,A1,B1,0
s11,A1,B2,0
s11,A1,B3,0
s11,A2,B1,0
s11,A2,B2,0
s11,A2,B3,0
s11,A3,B1,0
s11,A3,B2,0
s11,A3,B3,0
s11,A4,B1,0
s11,A4,B2,0
s11,A4,B3,0
s12,A1,B1,0
s12,A1,B2,0
s12,A1,B3,0
s12,A2,B1,0
s12,A2,B2,0
s12,A2,B3,0
s12,A3,B1,0
s12,A3,B2,0
s12,A3,B3,0
s12,A4,B1,0
s12,A4,B2,0
s12,A4,B3,0
s13,A1,B1,0
s13,A1,B2,0
s13,A1,B3,0
s13,A2,B1,0
s13,A2,B2,0
s13,A2,B3,0
s13,A3,B1,0
s13,A3,B2,0
s13,A3,B3,0
s13,A4,B1,0
s13,A4,B2,0
s13,A4,B3,0
s14,A1,B1,0
s14,A1,B2,0
s14,A1,B3,0
s14,A2,B1,0
s14,A2,B2,0
s14,A2,B3,0
s14,A3,B1,0
s14,A3,B2,0
s14,A3,B3,0
s14,A4,B1,0
s14,A4,B2,0
s14,A4,B3,0
s15,A1,B1,0
s15,A1,B2,0
s15,A1,B3,0
s15,A2,B1,0
s15,A2,B2,0
s15,A2,B3,0
s15,A3,B1,0
s15,A3,B2,0
s15,A3,B3,0
s15,A4,B1,0
s15,A4,B2,0
s15,A4,B3,0
s16,A1,B1,0
s16,A1,B2,0
s16,A1,B3,0
s16,A2,B1,0
s16,A2,B2,0
s16,A2,B3,0
s16,A3,B1,0
s16,A3,B2,0
s16,A3,B3,0
s16,A4,B1,0
s16,A4,B2,0
s16,A4,B3,0
s17,A1,B1,0
s17,A1,B2,0
s17,A1,B3,0
s17,A2,B1,0
s17,A2,B2,0
s17,A2,B3,0
s17,A3,B1,0
s17,A3,B2,0
s17,A3,B3,0
s17,A4,B1,0
s17,A4,B2,0
s17,A4,B3,0
s18,A1,B1,0
s18,A1,B2,0
s18,A1,B3,0
s18,A2,B1,0
s18,A2,B2,0
s18,A2,B3,0
s18,A3,B1,0
s18,A3,B2,0
s18,A3,B3,0
s18,A4,B1,0
s18,A4,B2,0
s18,A4,B3,0
s19,A1,B1,0
s19,A1,B2,0
s19,A1,B3,0
s19,A2,B1,0
s19,A2,B2,0
s19,A2,B3,0
s19,A3,B1,0
s19,A3,B2,0
s19,A3,B3,0
s19,A4,B1,0
s19,A4,B2,0
s19,A4,B3,0
s20,A1,B1,0
s20,A1,B2,0
s20,A1,B3,0
s20,A2,B1,0
s20,A2,B2,0
s20,A2,B3,0
s20,A3,B1,0
s20,A3,B2,0
s20,A3,B3,0
s20,A4,B1,0
s20,A4,B2,0
s20,A4,B3,0
